CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291562,2014,2015-03-18,9246,2014-10-02,1420,018006,,4,2,9,0200,0,1,3,,1,010,"RT 88","CAPLES LAKE SPILLWAY",84.00,E,N,A,-,Y,ALP,10,88,-,-,0.480,H,-,W,Y,1,1,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,1,1,"- ","- ",38.422020000000003,-120.03981,ALPINE,UNINCORPORATED,-120.06470846000001,38.70360342
6292139,2015,2015-05-15,9246,2015-02-22,1655,17372,,7,2,9,0200,0,1,3,,1,013,"RT 88","RT 89",13728.00,E,N,A,-,Y,ALP,10,88,-,-,15.900,H,-,W,Y,1,1,2,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",38.46405,-119.52572000000001,ALPINE,UNINCORPORATED,-119.87641992,38.773664940000003
6330941,2014,2016-05-11,9246,2014-01-13,0630,017612,,1,1,9,0200,0,1,3,,1,010,"RT 88","RED LAKE RD",1151.00,E,N,A,-,Y,ALP,10,88,-,-,7.070,H,-,E,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,C,H,-,D,D,0,,,,Y,Y,,G,26,0,1,0,0,0,0,0,0,0,"- ","- ",38.700189999999999,-119.96209,ALPINE,UNINCORPORATED,-119.96681973,38.702431310000001
6458703,2014,2016-04-13,9246,2014-04-30,1600,014471,,3,2,9,0200,0,1,3,,1,014,"RT 89","TURTLE ROCK COUNTY PARK RD",3696.00,S,N,B,-,Y,ALP,10,89,-,R,16.670,H,-,S,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.430079999999997,-119.47631,ALPINE,UNINCORPORATED,-119.79389015,38.716886340000002
6458711,2014,2016-04-11,9246,2014-04-14,1426,017612,,1,2,9,0200,0,1,3,,1,013,"RT 88","EMIGRANT TRL",1056.00,E,N,A,-,Y,ALP,10,88,-,-,23.600,H,-,E,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.822400000000002,-119.77903999999999,ALPINE,UNINCORPORATED,-119.77913293,38.822755149999999
6459071,2014,2016-04-11,9246,2014-04-15,0015,15487,,2,3,9,0200,0,1,3,,1,010,"RT 88","RED LAKE RD",562.00,E,N,A,-,Y,ALP,10,88,-,R,6.960,H,-,E,Y,3,0,1,1,A,-,01,23152,A,N,E,J,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.698790000000002,-119.96418,ALPINE,UNINCORPORATED,-119.97634788000001,38.703940690000003
6517569,2014,2015-03-05,9246,2014-06-02,1900,15992,,1,2,9,0200,0,1,3,,1,011,"RT 88","BLUE LAKES RD",1056.00,E,N,A,-,Y,ALP,10,88,-,-,11.100,H,-,W,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",,,ALPINE,UNINCORPORATED,-119.94260231,38.753912319999998
6536253,2014,2016-04-09,9246,2014-05-25,1440,17612,,7,2,9,0200,0,1,3,,1,016,"RT 4","CHALMERS MANSION",1426.00,W,N,A,-,Y,ALP,10,4,-,-,27.530,H,-,W,Y,3,0,1,2,A,-,05,21460,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",,,ALPINE,UNINCORPORATED,-119.74848638,38.618501240000001
6542648,2014,2015-03-05,9246,2014-06-25,0820,015992,,3,1,9,0200,0,1,3,,1,010,"RT 88","SCHNEIDER COW CAMP RD",9504.00,E,N,A,-,Y,ALP,10,88,-,-,4.030,H,-,E,N,3,0,1,2,A,-,03,22350,,N,C,C,A,A,D,-,A,A,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",,,ALPINE,UNINCORPORATED,-120.00942310000001,38.697117749999997
6560050,2014,2016-04-28,9246,2014-07-14,1430,017612,,1,2,9,0200,0,1,3,,1,013,"RT 88","OLD PONY EXPRESS WY",792.00,W,N,B,-,Y,ALP,10,88,-,-,18.870,H,-,E,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",38.773739999999997,-119.82915,ALPINE,UNINCORPORATED,-119.82959295000001,38.773436019999998
