CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912074,2014,2014-02-05,9295,2014-01-02,1639,19003,,4,2,9,0300,0,1,3,,1,064,"RT 88","TRAGEDY SPRINGS RD",4224.00,W,N,A,-,Y,AMA,10,88,-,R,61.930,H,-,W,Y,1,1,0,1,A,-,05,21650,,N,E,I,A,A,H,-,B,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",38.632599999999996,-120.16201,AMADOR,UNINCORPORATED,-120.16056973000001,38.632611699999998
6290164,2014,2015-12-21,9295,2014-01-24,1326,19229,,5,1,9,0300,0,2,4,,1,044,"RIDGE RD","RIDGEVIEW DR",1056.00,W,N,A,-,N,,,,,,,,,,Y,1,1,3,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,2,0,0,0,0,0,0,"- ","- ",38.398000000000003,-120.74059,AMADOR,UNINCORPORATED,-120.74068045999999,38.398021239999998
6291256,2014,2016-01-12,9295,2014-08-17,0909,16881,,7,1,9,0300,0,3,5,,2,002,"CARBONDALE RD","LAMBERT RD",40.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.44838,-120.98707,AMADOR,UNINCORPORATED,-121.00655055999999,38.424163120000003
6291257,2014,2016-01-14,9295,2014-08-19,1748,14408,,2,2,9,0300,0,2,4,,1,043,"RIDGE RD","RIDGE FRONTAGE RD",1003.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,Y,A,01,0,0,0,0,0,0,0,1,0,"- ","- ",38.233800000000002,-120.45440000000001,AMADOR,UNINCORPORATED,-120.80243,38.378410000000002
6291258,2014,2014-10-17,9295,2014-08-25,2500,13204,,1,4,9,0300,0,3,5,,2,004,"ELECTRA RD","RT 49",5808.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,05,21650,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,08,0,0,0,0,0,0,0,0,0,"- ","- ",38.317100000000003,-120.70262,AMADOR,UNINCORPORATED,-120.70225447999999,38.317369229999997
6292140,2015,2015-05-15,9295,2015-02-23,2500,14579,,1,4,9,0300,0,1,3,,1,064,"RT 88","THUNDER MTN TRL",1584.00,W,N,A,-,Y,AMA,10,88,-,R,69.140,H,-,W,Y,1,1,0,1,A,-,05,21650,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.704300000000003,-120.11228,AMADOR,UNINCORPORATED,-120.11222759,38.704232830000002
6292343,2015,2015-07-09,0303,2015-03-01,1540,B7342,,7,5,2,0303,0,0,0,,0,JKC,"RT 49","MARCUCCI LN",0.00,,Y,A,-,Y,AMA,10,49,-,-,3.890,I,5,S,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,AMADOR,JACKSON,-120.77126901,38.345626090000003
6307541,2014,2016-03-02,9295,2014-01-01,0620,019284,,3,1,9,0300,0,1,3,,1,013,"RT 49","BELL RD",5280.00,S,N,A,-,Y,AMA,10,49,-,-,20.250,H,-,N,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",38.523710000000001,-120.84729,AMADOR,UNINCORPORATED,-120.84765765,38.524730589999997
6328064,2014,2014-06-02,9295,2014-01-04,1515,014680,,6,2,9,0300,0,3,5,,2,005,"PARKWOOD DR","FAIRWAY DR",528.00,W,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,21,22106,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",38.456440000000001,-120.53608,AMADOR,UNINCORPORATED,-120.53809,38.455779999999997
6333489,2014,2015-11-25,9295,2014-01-15,2128,014408,,3,2,9,0300,0,1,3,,1,053,"RT 88","BERRY ST",100.00,E,N,A,-,Y,AMA,10,88,-,-,23.110,H,-,E,Y,4,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,C,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",38.413460000000001,-120.65993,AMADOR,UNINCORPORATED,-120.65981417,38.413510639999998
