CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291205,2014,2014-10-15,9495,2014-07-12,1438,19111,,6,2,9,1600,0,1,3,,1,010,"RT 41","YORK AV",4752.00,N,N,A,-,Y,KIN,6,41,-,-,17.450,H,-,N,Y,1,1,3,2,A,-,05,21650,,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,2,0,0,0,0,0,0,"- ","- ",35.832509999999999,-120.09004,KINGS,UNINCORPORATED,-119.95948964,35.998581950000002
6291325,2014,2014-10-22,9440,2014-07-01,0835,16774,,2,1,9,1600,0,1,3,,1,410,"RT 41","QUAIL AV",4224.00,N,N,A,-,Y,KIN,6,41,-,-,20.910,H,-,N,Y,1,1,0,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,Y,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.045850000000002,-119.94928,KINGS,UNINCORPORATED,-119.94963301,36.045481209999998
6291326,2014,2014-10-22,9440,2014-07-02,1930,17312,,3,2,9,1600,0,1,3,,1,410,"RT 41","OMAHA AV",7920.00,S,N,A,-,Y,KIN,6,41,-,-,23.480,H,-,S,Y,1,1,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",36.075319999999998,-119.9248,KINGS,UNINCORPORATED,-119.92429787,36.075998370000001
6291332,2014,2014-10-20,1602,2014-07-10,1517,1433,36,4,5,4,1602,0,0,0,,0,002,"E GRANGEVILLE BL","10TH AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,09,21453,B,N,D,C,A,A,H,-,A,A,0,,,Y,Y,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",,,KINGS,HANFORD,-119.63705997,36.34269003
6291480,2014,2014-10-29,9495,2014-08-16,2500,19734,,6,4,9,1600,0,1,3,,1,007,"RT 33","UTICA AV",13728.00,S,N,A,-,Y,KIN,6,33,-,-,8.920,H,-,S,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",35.903750000000002,-120.05753,KINGS,UNINCORPORATED,-120.05664486000001,35.903600240000003
6291481,2014,2014-10-29,9495,2014-08-29,2125,19962,,5,2,9,1600,0,1,3,,1,007,"RT 33","UTICA AV",3168.00,S,N,A,-,Y,KIN,6,33,-,-,10.990,H,-,S,Y,1,1,4,2,A,-,08,22107,,N,A,C,A,A,H,-,D,D,0,,,,,Y,,A,01,1,2,1,0,0,0,0,0,0,"- ","- ",35.927680000000002,-120.07876,KINGS,UNINCORPORATED,-120.07803093,35.926784249999997
6291670,2014,2014-11-21,9440,2014-10-26,1718,16961,,7,2,9,1600,0,3,5,,2,020,"16TH AV","JACKSON AV",906.00,S,N,A,-,N,,,,,,,,,,Y,1,1,2,1,A,-,01,23152,A,F,F,A,A,A,H,-,A,D,0,,,,,Y,Y,A,07,0,2,0,0,0,0,0,0,0,"- ","- ",36.252429999999997,-119.74464,KINGS,UNINCORPORATED,-119.7445393,36.252433109999998
6291777,2014,2014-12-22,1602,2014-11-12,1000,1457,29,3,5,4,1602,0,0,0,,0,001,"WEST LACEY BL","MAGNA CARTA AV",365.00,E,N,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,03,22350,,N,G,B,E,A,H,-,A,D,0,Y,,,,Y,,A,07,0,0,2,1,0,0,0,0,0,"- ","- ",36.327860000000001,-119.68276,KINGS,HANFORD,-119.68293237,36.32805295
6292307,2015,2015-06-24,9440,2015-04-28,1748,16979,,2,2,9,1600,0,2,4,,1,061,"6TH AV","BANGOR AV",806.00,N,N,A,-,N,,,,,,,,,,Y,1,1,4,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,3,0,0,0,0,0,0,"- ","- ",36.474020000000003,-119.56437,KINGS,UNINCORPORATED,-119.56428335,36.469102069999998
6292673,2015,2015-09-21,9440,2015-08-27,1632,16585,,4,2,9,1600,0,2,4,,1,067,"14TH AV","FARGO AV",1.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,M,46,0,0,0,0,0,0,0,0,0,"- ","- ",35.357300000000002,-119.7093,KINGS,UNINCORPORATED,-119.70899,36.35717726
