CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290312,2014,2015-12-21,9135,2014-02-15,0701,12142,,6,1,9,1800,0,3,5,,2,007,"KRAMER RD","FOUR CORNERS RD",9504.00,N,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-121.19140838,41.150856820000001
6292188,2015,2017-04-25,9165,2015-03-15,0540,18506,,7,3,9,1800,0,1,3,,2,063,"RT 395","POZZOLAN RD",6336.00,N,N,A,-,Y,LAS,2,395,-,R,11.330,H,-,S,Y,1,1,1,2,A,-,01,23152,A,N,A,C,A,A,H,-,D,D,0,,,,Y,Y,Y,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",39.870139999999999,-120.03532,LASSEN,UNINCORPORATED,-120.03400152,39.871742220000002
6292487,2015,2017-05-09,9140,2015-04-29,1700,14430,,3,2,9,1800,0,3,5,,2,010,"LAMBERT LN","ALEXANDER LN",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",40.350929999999998,-120.39910999999999,LASSEN,UNINCORPORATED,-120.39909999,40.350939959999998
6292569,2015,2017-04-06,9140,2015-06-19,1853,19275,,5,2,9,1800,0,3,5,,2,030,"GALLATIN RD","COUNTY ROAD A-1",1584.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",40.54468,-120.7906,LASSEN,UNINCORPORATED,-120.78973886999999,40.545499489999997
6315975,2014,2015-11-14,9140,2014-01-02,1145,13241,,4,1,9,1800,0,1,3,,2,041,"RT 36","BRIDGE 7-48",50.00,W,N,A,-,Y,LAS,2,36,-,-,7.280,H,-,E,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-120.93381664,40.328027380000002
6338345,2014,2014-06-04,9140,2014-01-13,0730,14898,,1,1,9,1800,0,3,5,,2,010,"COUNTY ROAD A 25","JAKES LN",1056.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",40.138069999999999,-120.20474,LASSEN,UNINCORPORATED,-120.20461856999999,40.138157929999998
6341078,2014,2015-11-14,9140,2014-01-06,0015,019493,,1,3,9,1800,0,1,3,,2,034,"RT 44","BUTTE LAKE RD",16368.00,E,N,A,-,Y,LAS,2,44,-,-,5.480,H,-,E,Y,3,0,2,1,A,-,05,21650,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,0,2,0,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-121.22269968000001,40.642529009999997
6352217,2014,2015-11-14,9140,2014-01-13,0730,16732,,1,1,9,1800,0,1,3,,2,041,"RT 36","RT 147",1056.00,W,N,A,-,Y,LAS,2,36,-,-,0.600,H,-,W,Y,4,0,2,1,A,-,03,22350,,N,E,I,A,C,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-121.05154403,40.311290630000002
6352229,2014,2014-06-12,9140,2014-01-10,1020,16279,,5,1,9,1800,0,3,5,,2,010,"CAPEZZOLI LN","LAMBERT LN",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,E,J,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-120.39895998,40.336399890000003
6362351,2014,2015-11-14,9140,2014-01-15,1745,13571,,3,2,9,1800,0,1,3,,2,031,"RT 139","HAGATA RD",4752.00,S,N,A,-,Y,LAS,2,139,-,-,11.200,H,-,S,Y,4,0,1,1,C,-,18,,,N,H,H,A,A,H,-,D,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",40.502249999999997,-120.56668999999999,LASSEN,UNINCORPORATED,-120.56684171000001,40.502411590000001
6367384,2014,2015-09-08,9140,2014-01-23,0750,16279,,4,1,9,1800,0,3,5,,2,010,"JOHNSTONVILLE RD","CENTER RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,LASSEN,UNINCORPORATED,-120.59231997000001,40.392789880000002
6389433,2014,2015-11-14,1801,2014-02-20,1000,838,LASSE,4,5,3,1801,0,0,0,,0,,"RT 139","1ST ST",0.00,,Y,A,-,Y,LAS,2,139,-,-,0.061,I,5,S,Y,4,0,1,2,A,-,04,21703,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,LASSEN,SUSANVILLE,-120.64859376,40.416360990000001
