CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290106,2014,2014-03-13,9450,2014-01-20,1630,14917,,1,2,9,2000,0,1,3,,2,012,"RT 99","AVENUE 24",3168.00,S,N,A,-,Y,MAD,6,99,-,-,23.160,H,-,S,Y,1,1,1,3,A,-,07,21658,A,F,H,C,A,A,H,-,A,D,1,,,,Y,Y,,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",37.09216,-120.21389000000001,MADERA,UNINCORPORATED,-120.21359545999999,37.089742659999999
6290411,2014,2014-04-25,2002,2014-03-22,1153,00048,,6,5,4,2002,0,0,0,,0,003,"YOSEMITE AV","Q ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,D,22,0,0,0,0,0,0,0,1,0,"- ","- ",,,MADERA,MADERA,-120.07208989999999,36.953500009999999
6290461,2014,2014-05-07,9456,2014-04-15,1558,17711,,2,2,9,2000,0,1,3,,1,052,"RT 41","COUNTY ROAD 620",28.00,S,N,A,-,Y,MAD,6,41,-,-,39.400,H,-,N,Y,1,1,0,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,Y,Y,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",37.371310000000001,-119.62999000000001,MADERA,UNINCORPORATED,-119.62923286,37.372633489999998
6290536,2014,2014-05-21,9456,2014-04-11,1028,18298,,5,1,9,2000,0,1,3,,1,051,"RT 41","VICTORIA LN",2112.00,S,N,A,-,Y,MAD,6,41,-,-,34.520,H,-,S,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",37.319479999999999,-119.66354,MADERA,UNINCORPORATED,-119.66381761,37.320083250000003
6290741,2014,2014-06-19,9450,2014-04-03,0909,14917,,4,1,9,2000,0,1,3,,1,013,"RT 152","COUNTY ROAD 12",2640.00,W,N,A,-,Y,MAD,6,152,-,-,8.510,H,-,W,Y,1,2,5,2,A,-,01,23152,A,N,C,C,A,A,H,-,A,D,5,,,,,Y,Y,A,01,2,2,1,0,0,0,0,0,0,"- ","- ",37.083559999999999,-120.34023000000001,MADERA,UNINCORPORATED,-120.33887269,37.083504210000001
6290747,2014,2015-12-29,9450,2014-04-22,0646,18075,,2,1,9,2000,0,3,5,,2,040,"AVENUE 12","COUNTY ROAD 39 1/2",2966.00,E,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,B,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.923250000000003,-119.81881,MADERA,UNINCORPORATED,-119.8204099,36.923142900000002
6291166,2014,2015-12-29,9450,2014-06-03,1928,17496,,2,2,9,2000,0,1,3,,1,043,"RT 41","COUNTY ROAD 208",4752.00,N,N,A,-,Y,MAD,6,41,-,-,12.310,H,-,N,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",37.051229999999997,-119.77472,MADERA,UNINCORPORATED,-119.77460289,37.051265450000002
6291169,2014,2016-01-29,9450,2014-06-01,0925,12319,,7,1,9,2000,0,2,4,,2,035,"AVENUE 12","BNSF RAILWAY TRACKS",23.00,W,N,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,12,22451,B,N,H,F,A,A,H,-,A,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",36.92324,-119.97409,MADERA,UNINCORPORATED,-119.97388333000001,36.923246769999999
6291174,2014,2014-08-21,9450,2014-06-11,0200,16341,,3,3,9,2000,0,3,5,,2,030,"AVENUE 9","COUNTY ROAD 23",3773.00,W,N,A,-,N,,,,,,,,,,Y,1,1,2,4,A,-,11,21956,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,1,0,1,1,2,0,0,0,0,"- ","- ",36.880270000000003,-120.14176999999999,MADERA,UNINCORPORATED,-120.14141377999999,36.880249999999997
6291177,2014,2015-12-30,9450,2014-06-26,1715,19818,,4,2,9,2000,0,2,4,,2,044,"COUNTY ROAD 145","RT 41",3061.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,05,21650,,N,A,C,A,A,D,G,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",37.010509999999996,-119.78138,MADERA,UNINCORPORATED,-119.78342323,37.0105
