CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912197,2014,2014-06-02,9150,2014-01-11,0400,14929,,6,3,9,2300,0,1,2,,2,022,"RT 101","NORTH STATE ST",188.00,W,N,A,-,Y,MEN,1,101,-,-,30.702,R,2,N,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,1,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,NF,"- ",39.23997,-123.20676,MENDOCINO,UNINCORPORATED,-123.20766058,39.238122590000003
5912222,2014,2014-04-18,9150,2014-02-10,0145,20398,,1,3,9,2300,0,1,3,,1,062,"RT 1","LARKIN ST",415.00,S,N,C,-,Y,MEN,1,1,-,R,51.210,H,-,N,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,B,H,-,C,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,MENDOCINO,UNINCORPORATED,-123.79828913999999,39.314888179999997
6290360,2014,2014-04-29,9126,2014-03-05,1730,20354,,3,2,9,2300,0,1,3,,2,050,"RT 162","DOS RIOS RD",16526.00,E,N,B,C,Y,MEN,1,162,-,-,18.410,H,-,E,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,B,H,-,B,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.423029999999997,-123.18446,MENDOCINO,UNINCORPORATED,-123.30696073999999,39.70513914
6290496,2014,2014-05-23,9150,2014-03-17,2000,20398,,1,2,9,2300,0,1,3,,1,062,"RT 1","OCEAN DR",325.00,S,N,A,-,Y,MEN,1,1,-,-,58.880,H,-,S,N,1,1,0,2,A,-,11,21956,,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",39.406959999999998,-123.80874,MENDOCINO,UNINCORPORATED,-123.80874591,39.406985419999998
6290573,2014,2014-05-28,9150,2014-01-06,1743,17279,,1,2,9,2300,0,1,3,,1,051,"RT 1","CURLY LN",200.00,N,N,A,-,Y,MEN,1,1,-,-,14.410,H,-,N,Y,1,1,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",,,MENDOCINO,UNINCORPORATED,-123.68984868,38.900507810000001
6291110,2014,2014-08-19,9150,2014-04-24,1615,14435,,4,2,9,2300,0,1,3,,2,041,"RT 128","ROBINSON CREEK",11616.00,E,N,B,-,Y,MEN,1,128,-,-,32.490,H,-,W,Y,1,1,1,1,A,-,01,23152,E,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.963830000000002,-123.34061,MENDOCINO,UNINCORPORATED,-123.34038318,38.962345190000001
6291113,2014,2014-08-19,9126,2014-04-30,0730,20354,,3,1,9,2300,0,1,3,,2,050,"RT 162","RODEO CREEK",2640.00,E,N,A,-,Y,MEN,1,162,-,-,10.580,H,-,W,Y,1,1,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",39.39423,-123.20649,MENDOCINO,UNINCORPORATED,-123.34383415000001,39.65822644
6291237,2014,2016-01-04,9126,2014-07-30,1425,019918,,3,2,9,2300,0,1,3,,2,050,"RT 162","DOS RIOS RD",21120.00,E,N,A,-,Y,MEN,1,162,-,-,19.290,H,-,W,Y,1,1,0,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,G,25,0,0,0,0,0,0,0,0,0,"- ","- ",39.711419999999997,-123.30068,MENDOCINO,UNINCORPORATED,-123.29961711,39.711823260000003
6291243,2014,2015-12-30,9126,2014-07-02,2500,020592,,3,4,9,2300,0,1,2,,2,055,"RT 101","BELL SPRINGS RD",1056.00,S,N,A,-,Y,MEN,1,101,-,-,80.860,H,-,N,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.824179999999998,-123.56712,MENDOCINO,UNINCORPORATED,-123.56780908,39.824929179999998
6291634,2014,2014-11-19,9150,2014-08-14,1920,19524,,4,2,9,2300,0,3,5,,2,003,"EASTSIDE RD","VALLEY RD",2640.00,S,N,A,-,N,,,,,,,,,,Y,1,1,2,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",39.405529999999999,-123.30516,MENDOCINO,UNINCORPORATED,-123.30514002,39.406107609999999
