CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291636,2014,2014-11-25,9145,2014-08-25,1239,18124,,1,1,9,2500,0,1,3,,1,090,"RT 139","COUNTY ROAD 123",1056.00,N,N,A,-,Y,MOD,2,139,-,-,41.560,H,-,N,Y,1,1,0,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",41.854790000000001,-121.32504,MODOC,UNINCORPORATED,-121.32507805,41.854845650000001
6292412,2015,2017-04-25,9170,2015-03-21,0115,19786,,6,3,9,2500,0,1,3,,1,004,"RT 299","COUNTY ROAD 24",3960.00,E,N,B,-,Y,MOD,2,299,-,-,59.640,H,-,E,Y,1,1,0,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",41.529879999999999,-120.12885,MODOC,UNINCORPORATED,-120.12849523,41.529781069999999
6292442,2015,2015-08-05,9170,2015-06-27,1545,19710,,6,2,9,2500,0,1,3,,1,004,"RT 299","CEDAR PASS SKI TOW RD",4224.00,W,N,A,-,Y,MOD,2,299,-,-,51.710,H,-,E,Y,1,1,1,2,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",41.557720000000003,-120.2662,MODOC,UNINCORPORATED,-120.26507865000001,41.557080810000002
6328043,2014,2014-06-02,9170,2014-01-06,1205,015993,,1,1,9,2500,0,3,5,,2,024,"COUNTY ROAD 71","COUNTY ROAD 72",5280.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",41.396140000000003,-120.68429,MODOC,UNINCORPORATED,-120.69705750999999,41.385613730000003
6337492,2014,2015-11-14,9170,2014-01-10,0555,19274,,5,3,9,2500,0,1,3,,1,004,"RT 299","COUNTY ROAD 267",2640.00,E,N,A,B,Y,MOD,2,299,-,-,46.120,H,-,W,Y,4,0,1,1,A,-,03,22350,,N,F,A,A,C,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",41.555140000000002,-120.25551,MODOC,UNINCORPORATED,-120.36602814,41.558138309999997
6373250,2014,2014-06-07,9170,2014-01-17,1841,01983,,5,2,9,2500,0,3,5,,2,025,"COUNTY ROAD 71","SHASTA VIEW DR",355.00,S,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,E,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",41.408900000000003,-120.6793,MODOC,UNINCORPORATED,-120.67931479000001,41.409007289999998
6373254,2014,2015-11-14,9170,2014-01-24,1955,019710,,5,2,9,2500,0,1,3,,1,004,"RT 299","COUNTY RD 58",715.00,E,N,A,-,Y,MOD,2,299,-,-,46.430,H,-,W,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",41.55715,-120.36,MODOC,UNINCORPORATED,-120.36025071,41.557113809999997
6428353,2014,2014-07-02,9170,2014-03-02,1200,019479,,7,1,9,2500,0,3,5,,2,024,"COUNTY RD 91","COUNTY RD 84",11616.00,S,N,B,C,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,MODOC,UNINCORPORATED,,
6428357,2014,2014-07-02,9170,2014-03-03,0430,019683,,1,3,9,2500,0,3,5,,2,024,"COUNTY RD 60","COUNTY RD 54",5808.00,S,N,B,-,N,,,,,,,,,,Y,3,0,1,1,C,-,18,,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",41.450600000000001,-120.56373000000001,MODOC,UNINCORPORATED,-120.76843,41.412289999999999
6491595,2014,2015-11-20,9170,2014-05-10,1130,13771,,6,1,9,2500,0,1,3,,1,004,"RT 299","COUNTY ROAD 58",528.00,E,N,D,-,Y,MOD,2,299,-,-,46.440,H,-,W,N,4,0,1,1,A,-,03,22350,,N,E,J,A,C,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,MODOC,UNINCORPORATED,-120.36005347,41.557114779999999
