CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290416,2014,2014-05-02,9820,2014-01-14,1220,19627,,2,1,9,2600,0,1,2,,1,022,"RT 395","GREEN CREEK RD",5280.00,N,N,A,-,Y,MNO,9,395,-,-,72.990,H,-,N,Y,1,1,1,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.208930000000002,-119.23018,MONO,UNINCORPORATED,-119.22974634000001,38.208442609999999
6290490,2014,2014-05-14,9820,2014-03-05,0515,20259,,3,3,9,2600,0,3,5,,2,040,"LUNDY LAKE RD","RT 395",28.00,W,N,B,-,Y,MNO,9,395,-,-,58.240,I,6,S,Y,1,1,1,1,A,-,03,22350,,N,E,I,A,A,H,-,B,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.045290000000001,-119.16091,MONO,UNINCORPORATED,-119.16079773,38.045301209999998
6291421,2014,2014-12-09,9820,2014-08-03,1110,19763,,7,1,9,2600,0,1,2,,1,041,"RT 395","PICNIC GROUNDS RD",4.00,S,N,B,-,Y,MNO,9,395,-,-,53.070,H,-,S,Y,1,1,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,1,0,"- ","- ",37.97672,-119.1357,MONO,UNINCORPORATED,-119.13557272,37.976681200000002
6291697,2014,2014-12-16,9820,2014-09-11,1305,18674,,4,1,9,2600,0,1,3,,1,014,"RT 108","WALKER RV BR #47-20",597.00,W,N,A,-,Y,MNO,9,108,-,-,12.780,H,-,W,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.365989999999996,-119.4843,MONO,UNINCORPORATED,-119.48447075999999,38.365889000000003
6364473,2014,2014-06-18,2601,2014-02-01,2303,0045,NORTH,6,5,2,2601,0,0,0,,0,4422,"FOREST TRL","HILLSIDE DR",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21954,A,N,G,B,D,C,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,MONO,"MAMMOTH LAKES",-118.9931801,37.651119989999998
6377909,2014,2015-01-21,2601,2014-01-31,1930,0014,,5,5,2,2601,0,0,0,,0,4413,"MINARET RD","RT 203",528.00,S,N,D,-,N,,,,,,,,,,Y,4,0,1,1,A,-,03,22350,,N,B,I,A,C,H,-,D,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",,,MONO,"MAMMOTH LAKES",-118.99436,37.655839999999998
6378232,2014,2016-01-23,9820,2014-01-10,1710,20390,,5,2,9,2600,0,1,2,,1,012,"RT 395","RT 108",1.10,N,N,A,-,Y,MNO,9,395,-,-,94.700,H,-,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.362000000000002,-119.4439,MONO,UNINCORPORATED,-119.44355441,38.361005120000002
6388712,2014,2016-01-23,9820,2014-01-30,1823,020486,,4,2,9,2600,0,1,2,,1,051,"RT 395","RT 203",11616.00,N,N,D,-,Y,MNO,9,395,-,-,27.950,H,-,N,Y,4,0,4,1,A,-,03,22350,,N,E,I,A,C,H,-,D,D,0,,,,,Y,,A,07,0,0,4,0,0,0,0,0,0,"- ","- ",37.669759999999997,-118.93499,MONO,UNINCORPORATED,-118.9352164,37.670846900000001
6388716,2014,2016-01-23,9820,2014-01-27,0843,020309,,1,1,9,2600,0,1,2,,1,022,"RT 395","SOUTH LANDING RD",5280.00,S,N,A,-,Y,MNO,9,395,-,R,12.930,H,-,S,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.570309999999999,-118.70390999999999,MONO,UNINCORPORATED,-118.7212,37.575045000000003
6405611,2014,2016-01-23,9820,2014-02-15,1540,19933,820,6,2,9,2600,0,1,2,,1,022,"RT 395","RT 167",1056.00,N,N,B,F,Y,MNO,9,395,-,-,58.470,H,-,N,Y,4,0,1,1,C,-,18,,,N,F,J,A,A,H,-,A,A,0,,,,Y,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",38.04853,-119.16282,MONO,UNINCORPORATED,-119.16279215,38.048429919999997
6405619,2014,2016-01-23,9820,2014-03-01,0840,20432,,6,1,9,2600,0,1,2,,1,042,"RT 395","RT 158",528.00,S,N,B,D,Y,MNO,9,395,-,-,40.240,H,-,N,Y,3,0,1,2,A,-,03,22350,,N,A,D,A,C,H,-,A,A,0,,,,Y,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",37.811219999999999,-119.05181,MONO,UNINCORPORATED,-119.05232936,37.811803810000001
6427082,2014,2016-01-23,9820,2014-03-05,1240,19627,,3,1,9,2600,0,1,3,,1,014,"RT 108","RT 395",51216.00,W,N,A,-,Y,MNO,9,108,-,-,5.450,H,-,E,Y,3,0,1,1,C,-,18,,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,-,"- ",0,1,0,0,0,0,0,0,1,"- ","- ",38.347560000000001,-119.54035,MONO,UNINCORPORATED,-119.57051537,38.316799670000002
6435454,2014,2014-06-11,9820,2014-01-16,2315,020486,,4,3,9,2600,0,3,5,,2,055,"BENTON CROSSING RD","LAYTON SPRINGS RD",3696.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",37.64396,-118.70943,MONO,UNINCORPORATED,-118.71039577000001,37.643597079999999
6444274,2014,2016-01-23,9820,2014-03-28,1238,19766,,5,1,9,2600,0,1,2,,1,011,"RT 395","HACKNEY DR",575.00,S,N,A,-,Y,MNO,9,395,-,-,107.400,H,-,N,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.515300000000003,-119.47620000000001,MONO,UNINCORPORATED,-119.4760094,38.51513782
6444278,2014,2016-01-23,9820,2014-03-16,1155,14841,,7,1,9,2600,0,1,3,,1,023,"RT 182","MASONIC RD",23760.00,N,N,A,-,Y,MNO,9,182,-,-,8.400,H,-,S,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.369030000000002,-119.19889000000001,MONO,UNINCORPORATED,-119.19779312,38.369257589999997
6468306,2014,2016-03-29,9820,2014-04-18,1315,17567,,5,1,9,2600,0,1,3,,1,023,"RT 182","CALIFORNIA/NEVADA BORDER",21648.00,S,N,B,-,Y,MNO,9,182,-,-,8.550,H,-,S,Y,2,0,1,2,A,-,08,22107,,N,B,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,MONO,UNINCORPORATED,-119.19587002,38.370590319999998
