CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
91972975,2023,2023-01-20,9675,2023-01-10,418,021914,NA,2,3,7,3019,0,1,1,NA,2,503,I-5 SOUTHBOUND,RED HILL AVENUE,500,S,N,C,-,Y,ORA,NA,5,NA,R,28.983,H,NA,L,N,4,0,2,2,A,-,08,22107,NA,F,C,C,A,B,H,-,D,D,0,NA,NA,NA,NA,Y,NA,-,99,0,0,2,0,0,0,0,0,0,-,-,33.73223114013672,-117.81391143798828,ORANGE,SANTA ANA,-117.81388854980467,33.73225402832031
91975424,2023,2023-01-24,9675,2023-01-12,1415,018102,NA,4,2,6,3026,0,1,1,NA,2,504,I-5 NORTHBOUND TO JEFFREY ROAD,JEFFREY ROAD,4,S,N,A,-,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,4,0,1,2,A,-,21,22106,NA,N,D,G,A,A,H,-,A,A,0,NA,Y,NA,NA,Y,NA,A,01,0,0,1,0,0,0,1,0,0,-,-,33.690818786621094,-117.76730346679688,ORANGE,IRVINE,-117.76730346679688,33.690818786621094
91982270,2023,2023-01-30,9675,2023-01-21,610,020027,NA,6,1,7,3001,0,1,3,NA,2,550,SR-55 NORTHBOUND,SR-91 EASTBOUND,50,S,N,A,-,Y,ORA,NA,55,NA,R,17.779,H,NA,R,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,NA,NA,NA,NA,Y,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,33.84355926513672,-117.82810974121094,ORANGE,ANAHEIM,-117.8280792236328,33.843475341796875
91982976,2023,2023-01-31,9675,2023-01-20,1015,020027,NA,5,1,6,3015,0,1,3,NA,2,222,I-5 N/B FROM SR-22 E/B,LA VETA AVE,500,S,N,A,-,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,1,2,A,-,03,22350,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,33.779510498046875,-117.8744888305664,ORANGE,ORANGE,-117.8744888305664,33.779510498046875
91983126,2023,2023-01-31,9670,2023-01-26,958,018278,NA,4,1,6,3009,0,1,3,NA,2,024,SR-22 E/B,HARBOR BLVD,112,E,N,A,-,Y,ORA,NA,22,NA,R,7.875,H,NA,R,Y,4,0,2,2,A,-,03,22350,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,D,22,0,0,2,0,0,0,0,0,0,-,-,33.76789093017578,-117.91982269287108,ORANGE,GARDEN GROVE,-117.91981506347656,33.767887115478516
91984115,2023,2023-02-01,9670,2023-01-30,910,016271,NA,1,1,3,3013,0,1,1,NA,2,060,I-605 N/B,KATELLA AVE,850,N,N,B,C,Y,ORA,NA,605,NA,R,1.594,H,NA,R,Y,3,0,2,2,A,-,03,22350,NA,N,D,C,A,B,H,-,A,A,0,NA,NA,NA,NA,Y,NA,D,22,0,1,1,0,0,0,0,0,0,-,-,33.80561828613281,-118.08141326904295,ORANGE,LOS ALAMITOS,-118.08128356933594,33.80562210083008
91986021,2023,2023-02-03,9675,2023-01-25,1614,023136,NA,3,2,6,3015,0,1,3,NA,2,550,SR-55 NORTHBOUND,KATELLA AVENUE,2460,S,N,A,-,Y,ORA,NA,55,NA,NA,14.788,H,NA,R,N,2,0,1,2,A,-,07,21658,A,N,B,C,A,A,A,-,A,D,0,NA,NA,Y,NA,Y,NA,A,01,1,0,0,0,0,0,0,0,1,-,-,33.80339050292969,-117.83167266845705,ORANGE,ORANGE,-117.83160400390624,33.80339431762695
91987577,2023,2023-02-06,9690,2023-01-25,1120,020364,NA,3,1,9,3000,0,3,5,NA,2,003,COW CAMP ROAD,ESENCIIA DRIVE,410,W,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,1,2,A,-,08,22107,NA,N,B,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,07,0,0,1,0,0,0,0,0,0,-,-,33.528541564941406,-117.60311126708984,ORANGE,UNINCORPORATED,-117.60306549072266,33.528541564941406
91993352,2023,2023-02-13,9675,2023-02-03,1534,018887,NA,5,2,6,3026,0,1,1,NA,2,407,I-405 NORTHBOUND,JEFFREY ROAD,300,S,N,B,-,Y,ORA,NA,405,NA,NA,3.869,H,NA,R,Y,3,0,1,3,A,-,03,22350,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,D,22,0,1,0,0,0,0,0,0,0,-,-,33.66341018676758,-117.79345703125,ORANGE,IRVINE,-117.79347229003906,33.66334533691406
91994184,2023,2023-02-14,9670,2023-02-13,840,016271,NA,1,1,5,3024,0,1,1,NA,2,042,I-405 N/B,BOLSA CHICA RD,1700,S,N,A,-,Y,ORA,NA,405,NA,NA,20.204,H,NA,R,Y,4,0,1,2,D,-,00,NA,NA,N,C,2,A,A,D,E,A,A,0,NA,NA,NA,NA,Y,NA,-,-,0,0,1,0,0,0,0,0,0,-,-,33.76996994018555,-118.03463745117188,ORANGE,WESTMINSTER,-118.03478240966795,33.76985549926758
