CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
92333731,2024,2024-03-08,9870,2024-03-05,1620,021128,NA,2,2,9,3600,0,1,3,NA,1,041,SR-62 (TWENTYNINE PALMS HIGHWAY),SALT EVAPORATOR PLAN RD,47520,W,N,A,-,Y,SBD,NA,62,NA,NA,67.901,H,NA,R,Y,4,0,1,1,A,-,08,22107,NA,N,F,A,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,-,-,0,0,1,0,0,0,0,0,0,-,-,34.114749908447266,-115.50405883789063,SAN BERNARDINO,UNINCORPORATED,-115.50406646728516,34.11473083496094
90804975,2018,2018-09-04,9835,2018-08-21,2345,022166,NA,2,3,9,3600,0,1,1,NA,2,041,I-40 E/B TO A STREET,A STREET,528,W,N,A,-,Y,NA,NA,40,NA,NA,NA,R,NA,E,Y,3,0,1,1,A,-,08,22107,NA,N,E,I,A,A,C,-,D,D,0,NA,NA,NA,NA,Y,NA,A,07,0,1,0,0,0,0,0,0,0,-,-,34.85464096069336,-116.89241027832033,SAN BERNARDINO,UNINCORPORATED,-116.89241027832033,34.85464096069336
91423045,2021,2021-03-09,9860,2021-02-23,0100,021451,NA,2,3,9,3600,0,3,5,NA,2,003,5TH AVENUE,WALNUT ST,5,W,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,1,1,A,-,08,22107,NA,M,E,I,A,A,H,-,C,A,0,NA,NA,NA,NA,Y,NA,A,01,0,1,0,0,0,0,0,0,0,-,-,34.04838180541992,-117.13023376464844,SAN BERNARDINO,UNINCORPORATED,-117.31118011474608,34.4218864440918
9514352,2023,2024-03-01,3600,2023-12-26,1351,D3381,VC070,2,5,5,3612,0,0,0,NA,0,VC5,LUNA RD,RT 395,0,NA,Y,A,-,Y,SBD,8,395,-,-,10.173,I,5,N,N,3,0,1,2,A,-,12,21453,A,N,G,B,A,A,H,-,A,A,0,NA,Y,NA,NA,Y,NA,L,04,0,1,0,0,0,0,1,0,0,-,-,34.492210388183594,-117.39940643310548,SAN BERNARDINO,VICTORVILLE,-117.39942932128906,34.49220657348633
9892066,2025,2025-12-01,3604,2025-09-12,450,1491,NA,5,5,6,3604,0,0,0,NA,0,004,SLOVER AV,CATAWBA AV,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,3,0,2,2,A,-,09,21801,A,N,D,D,A,A,H,-,C,A,0,NA,NA,NA,NA,Y,NA,A,07,0,1,1,0,0,0,0,0,0,-,-,NA,NA,SAN BERNARDINO,FONTANA,-117.45815277099608,34.06300354003906
85071613,2025,2026-02-25,3607,2025-10-04,2037,21615,NA,6,5,6,3607,0,0,0,NA,0,032,FOURTH ST,GROVE AV,80,E,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,4,0,2,2,A,-,17,21805,C,N,D,C,A,A,H,-,C,A,0,NA,NA,NA,NA,Y,NA,A,01,0,0,2,0,0,0,0,0,0,-,-,NA,NA,SAN BERNARDINO,ONTARIO,-117.6283950805664,34.07773971557617
8620916,2018,2018-05-29,3600,2018-04-16,1114,F4772,VC032,1,5,5,3612,0,0,0,NA,0,002,HESPERIA RD,SENECA RD,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,1,3,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,NA,NA,NA,NA,Y,NA,A,01,0,1,0,0,0,0,0,0,0,-,-,NA,NA,SAN BERNARDINO,VICTORVILLE,-117.29863739013672,34.51451110839844
8519844,2017,2018-04-13,3600,2017-12-06,1354,C4462,VC068,3,5,5,3612,0,0,0,NA,0,VC4,CANTINA DR,EAGLE RANCH PKWY,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,2,0,6,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,NA,NA,NA,NA,Y,NA,A,01,3,1,2,0,0,0,0,0,0,-,-,NA,NA,SAN BERNARDINO,VICTORVILLE,-117.39693007,34.48124008
7004841,2015,2015-07-25,3610,2015-06-04,2034,50584,NA,4,5,6,3610,0,0,0,NA,0,NA,N MT VERNON,S 21ST ST,84,S,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,1,1,A,-,08,22107,NA,N,A,I,A,A,H,-,C,A,0,NA,NA,Y,NA,Y,NA,C,02,0,1,0,0,0,0,0,0,1,-,-,NA,NA,SAN BERNARDINO,SAN BERNARDINO,-117.31399245,34.13443169
7204908,2016,2016-03-23,3610,2016-02-10,1523,50732,NA,3,5,6,3610,0,0,0,NA,0,NA,NORTH WATERMAN AV,E 21ST ST,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,2,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,A,0,NA,NA,NA,NA,Y,NA,A,07,0,0,2,0,0,0,0,0,0,-,-,NA,NA,SAN BERNARDINO,SAN BERNARDINO,-117.27876006,34.13406007
