CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
91028462,2019,2019-07-10,9645,2019-07-01,0815,013784,NA,1,1,7,3711,0,1,1,NA,2,013,I-805 N/B,MESA COLLEGE AVENUE,2000,S,N,A,-,Y,NA,NA,805,NA,NA,NA,NA,NA,N,Y,4,0,1,2,A,-,03,22350,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,07,0,0,1,0,0,0,0,0,0,-,-,32.79853057861328,-117.14948272705078,SAN DIEGO,SAN DIEGO,-117.14942169189452,32.79853057861328
91029869,2019,2019-07-12,9645,2019-07-02,0750,016047,NA,2,1,7,3711,0,1,1,NA,2,009,I-805 SOUTHBOUND,MARKET STREET,150,S,N,A,-,Y,NA,NA,805,NA,NA,NA,NA,NA,S,Y,4,0,1,4,A,-,07,21658,A,F,B,C,A,A,H,-,A,D,0,NA,NA,NA,Y,Y,NA,-,99,0,0,1,0,0,0,0,0,0,-,-,32.70998001098633,-117.09947967529295,SAN DIEGO,SAN DIEGO,-117.0994873046875,32.7099723815918
91030797,2019,2019-07-15,9650,2019-07-13,1325,021406,NA,6,1,9,3700,0,3,5,NA,2,170,SOUTH SANTA FE AVENUE,ROBELINI DR,300,N,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,4,0,1,2,A,-,08,22107,NA,N,A,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,33.174320220947266,-117.21031951904295,SAN DIEGO,UNINCORPORATED,-117.210205078125,33.17425537109375
91032276,2019,2019-07-17,9680,2019-07-06,0410,021828,NA,6,3,9,3700,0,2,4,NA,1,026,JAMACHA RD,JAMACHA LN,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,1,1,A,-,08,22107,NA,N,E,I,A,A,H,-,D,D,0,NA,NA,NA,NA,Y,NA,D,22,0,0,1,0,0,0,0,0,0,-,-,32.71472930908203,-117.008056640625,SAN DIEGO,UNINCORPORATED,-117.008056640625,32.71480941772461
91032500,2019,2019-07-17,9645,2019-07-05,1413,020265,NA,5,2,6,3702,0,1,1,NA,2,009,I-805 N/B FROM MAIN ST.,MAIN ST. U/C,500,N,N,A,-,Y,NA,NA,805,NA,NA,NA,R,NA,N,N,3,0,3,3,A,-,03,22350,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,07,0,3,0,0,0,0,0,0,0,-,-,32.59619903564453,-117.03579711914063,SAN DIEGO,CHULA VISTA,-117.03579711914063,32.59619903564453
91032857,2019,2019-07-17,9645,2019-07-07,0648,019054,NA,7,1,7,3711,0,1,1,NA,2,021,SR-15 N/B,EL CAJON BLVD.,1073,S,N,B,-,Y,NA,NA,15,NA,NA,NA,NA,NA,N,Y,4,0,1,2,A,-,03,22350,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,32.75381088256836,-117.10907745361328,SAN DIEGO,SAN DIEGO,-117.10860443115234,32.75381088256836
91035837,2019,2019-07-23,9645,2019-07-11,0650,016047,NA,4,1,6,3702,0,1,1,NA,2,001,I-5 NORTHBOUND,E STREET,300,N,N,B,-,Y,NA,NA,5,NA,NA,NA,NA,NA,N,N,4,0,1,2,A,-,03,22350,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,32.645599365234375,-117.10205078125,SAN DIEGO,CHULA VISTA,-117.10197448730467,32.645626068115234
91035912,2019,2019-07-23,9680,2019-07-11,1009,017460,NA,4,1,9,3700,0,2,4,NA,1,061,OLD HWY 80,ROYAL DRIVE,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,32.68714904785156,-116.33625030517578,SAN DIEGO,UNINCORPORATED,-116.336264,32.68706
91036464,2019,2019-07-24,9680,2019-07-12,1535,021944,NA,5,2,9,3700,0,2,4,NA,1,026,JAMACHA BLVD,PARAISO AVE,65,W,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,2,6,C,-,18,NA,NA,N,E,I,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,-,-,0,2,0,0,0,0,0,0,0,-,-,32.70779037475586,-116.99664306640624,SAN DIEGO,UNINCORPORATED,-116.99643707275392,32.70782470703125
91036673,2019,2019-07-24,9650,2019-07-12,2247,021463,NA,5,3,9,3700,0,3,5,NA,1,212,MILLER RD. NORTH/SOUTH,MILLER WAY,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,1,1,A,-,03,22350,NA,N,E,I,A,A,H,-,D,D,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,33.256229400634766,-117.02777862548828,SAN DIEGO,UNINCORPORATED,-117.02781,33.256195
