CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6341104,2014,2016-03-03,9335,2014-01-04,0240,020571,,6,3,7,3801,0,1,2,,2,015,"RT 101","RT 80",400.00,S,N,A,-,Y,SF,4,80,-,L,4.000,H,-,E,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,1,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,TO,"- ",37.461300000000001,-122.2437,"SAN FRANCISCO","SAN FRANCISCO",-122.40650359999999,37.768907570000003
6393539,2014,2016-02-12,9335,2014-02-24,0852,18053,,1,1,7,3801,0,1,1,,1,081,"RT 80","SAN FRANCISCO COUNTY LINE",5808.00,W,N,A,-,Y,SF,4,80,-,-,7.770,H,-,W,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,4,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.36628734,37.80897701
92195012,2023,2023-10-10,9350,2023-09-25,1645,022556,,1,2,7,3801,0,1,2,,2,010,"US-101 N/B","LINCOLN AVE UNDERCROSSING",63.00,N,N,A,-,Y,,,,,,,,,,N,4,0,5,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,5,0,0,0,0,0,0,"- ","- ",37.806560516357422,-122.47458648681641,"SAN FRANCISCO","SAN FRANCISCO",-122.47465515136719,37.806484222412109
92238811,2023,2023-11-17,9350,2023-11-08,"910 ",021391,,3,1,7,3801,0,1,2,,2,020,"US 101 S/B","MERCHANT RD",160.00,N,N,A,-,Y,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,Y,Y,,F,26,0,0,1,0,0,0,0,0,0,"- ","- ",37.807209014892578,-122.47577667236328,"SAN FRANCISCO","SAN FRANCISCO",-122.47510528564453,37.806388854980469
92297219,2024,2024-01-25,9335,2024-01-17,1924,023595,,3,2,7,3801,0,1,2,,2,013,"US-101 S/B","PAUL AVE UNDERCROSSING",320.00,S,N,A,-,Y,SF,,101," "," ",1.069,H,,L,Y,2,0,1,2,A,-,07,21658,A,N,C,C,A,A,H,-,D,D,0,,,Y,,Y,,C,03,1,0,0,0,0,0,0,0,1,"- ","- ",37.722980499267578,-122.40106201171875,"SAN FRANCISCO","SAN FRANCISCO",-122.40105438232422,37.722980499267578
94569215,2025,2025-02-06,9335,2025-01-27,1730,024042,,1,2,7,3801,0,1,2,,2,013,"US-101 S/B","CESAR CHAVEZ STREET",500.00,S,N,A,-,Y,SF,,101," "," ",2.898,H,,L,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.747890472412109,-122.40424346923828,"SAN FRANCISCO","SAN FRANCISCO",-122.40428924560547,37.747898101806641
94829808,2025,2025-09-04,9335,2025-08-23,"755 ",024598,,6,1,7,3801,0,1,1,,2,023,"I-280 SOUTHBOUND","JUDSON AVENUE OVERCROSSING",515.00,S,N,A,-,Y,SF,,280," ",R,2.100,H,,L,N,4,0,1,1,A,-,08,22107,,N,E,J,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.727298736572266,-122.4451904296875,"SAN FRANCISCO","SAN FRANCISCO",-122.44509887695312,37.727230072021484
90399401,2017,2017-02-24,9335,2017-02-12,0250,021312,,7,3,7,3801,0,1,2,,2,014,"US-101 N/B","22ND ST PED O/C",200.00,N,N,A,-,Y,,,101,,,,,,N,Y,4,0,3,3,A,-,07,21658,A,F,B,C,A,A,H,-,D,D,0,,,,,Y,Y,-,99,0,0,3,0,0,0,0,0,0,"- ","- ",37.757420000000003,-122.40385999999999,"SAN FRANCISCO","SAN FRANCISCO",-122.40383104999999,37.75744916
90500401,2017,2017-07-13,9335,2017-07-03,1255,021328,,1,1,7,3801,0,1,2,,2,015,"US-101 S/B","HARRISON ST. U/C",277.00,S,N,A,-,Y,,,101,,,,,,S,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",37.769440000000003,-122.41231000000001,"SAN FRANCISCO","SAN FRANCISCO",-122.41231002000001,37.769439089999999
90537160,2017,2017-08-30,9350,2017-08-22,2047,021564,,2,2,7,3801,0,1,2,,2,020,"US-101 S/B","SOUTH EDGE OF TOLL PLAZA",8.00,N,N,A,-,Y,,,101,,,,,,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,I,10,0,0,1,0,0,0,0,0,0,"- ","- ",37.807099999999998,-122.4756,"SAN FRANCISCO","SAN FRANCISCO",-122.47561994,37.807074870000001
