CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6484978,2014,2014-07-16,4008,2014-04-18,0951,3013,,5,5,4,4008,0,0,0,,0,,"EL CAMINO REAL","S SAN ANSELMO RD",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21453,B,N,D,C,A,A,-,-,A,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",35.49812,-120.68196,"SAN LUIS OBISPO",ATASCADERO,-120.68321985999999,35.499490110000004
6621502,2014,2016-05-04,9745,2014-09-02,1235,017968,,2,1,9,4000,0,1,2,,1,101,"RT 101","OLD STAGECOACH RD",2112.00,N,N,A,-,Y,SLO,5,101,-,-,33.160,H,-,N,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,5,,,,Y,Y,,A,08,1,0,0,0,0,0,0,0,0,"- ","- ",35.323549999999997,-120.62085,"SAN LUIS OBISPO",UNINCORPORATED,-120.62125967999999,35.32298385
6735245,2014,2015-02-06,9750,2014-12-27,1353,017616,,6,1,9,4000,0,1,3,,2,061,"RT 166","SUEY CREEK RD",4224.00,E,N,A,-,Y,,,166,,,,,,,Y,3,0,4,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,2,2,0,0,0,0,0,0,"- ","- ",35.013500000000001,-120.35853,"SAN LUIS OBISPO",UNINCORPORATED,-120.35857784,35.013516920000001
6934785,2015,2016-11-03,9745,2015-06-25,1120,12601,,4,1,9,4000,0,1,3,,1,011,"RT 41","CERRO ALTO RD",70.00,S,N,A,-,Y,SLO,5,41,-,-,7.230,H,-,S,N,3,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",35.429220000000001,-120.75167,"SAN LUIS OBISPO",UNINCORPORATED,-120.75163993,35.429327530000002
9781843,2025,2025-02-19,4003,2025-01-18,1838,T4434,5,6,5,2,4003,0,0,0,,0,001,"SOUTH BAY BL","STATE PARK RD",0.00,,Y,A,-,N,,,,,,,,,,,3,0,3,2,A,-,09,21802,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,2,1,0,0,0,0,0,0,"- ","- ",35.354820251464844,-120.82833862304688,"SAN LUIS OBISPO","MORRO BAY",-120.82807922363281,35.355049133300781
9875499,2025,2025-10-28,4003,2025-09-05,1425,G52289,4003,5,5,2,4003,0,0,0,,0,001,"MAIN ST","SURF ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21802,A,N,B,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",35.369789123535156,-120.85130310058594,"SAN LUIS OBISPO","MORRO BAY",-120.85005187988281,35.370613098144531
94791731,2025,2025-08-06,9745,2025-07-28,1230,020619,,1,1,9,4000,0,1,3,,1,021,"SR-1 SOUTHBOUND","CASS AVENUE",0.00,,Y,A,-,Y,SLO,,1," "," ",34.530,H,,L,Y,4,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",35.437389373779297,-120.8873291015625,"SAN LUIS OBISPO",UNINCORPORATED,-120.8873291015625,35.437389373779297
94963841,2025,2025-12-09,9745,2025-11-25,1555,017817,,2,2,9,4000,0,1,2,,2,303,"US-101 SOUTHBOUND","AVILA BEACH DRIVE",1150.00,N,N,A,-,Y,SLO,,101," ",R,21.355,H,,L,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",35.18267822265625,-120.70143127441406,"SAN LUIS OBISPO",UNINCORPORATED,-120.70142364501953,35.182682037353516
92108741,2023,2023-07-03,9745,2023-06-24,2325,017379,,6,3,9,4000,0,3,5,,2,003,"LOS RANCHOS RD.","COUNTRY CLUB DR",1330.00,S,N,A,-,Y,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",35.212989807128906,-120.61766052246094,"SAN LUIS OBISPO",UNINCORPORATED,-120.61774444580078,35.213184356689453
92304341,2024,2024-02-02,9745,2024-01-28,1544,018253,,7,2,9,4000,0,3,5,,2,002,"O'CONNOR WAY","PARTNER ROAD",1056.00,W,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,1,0,0,0,0,0,0,"- ","- ",35.294601440429688,-120.71914672851562,"SAN LUIS OBISPO",UNINCORPORATED,-120.71639251708984,35.292343139648438
92418376,2024,2024-06-19,9745,2024-06-11,"655 ",017144,,2,1,2,4003,0,1,3,,2,022,"SR-1 NORTHBOUND","MORRO BAY BLVD",400.00,S,N,B,-,Y,SLO,,1," "," ",28.678,H,,R,N,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",35.366771697998047,-120.83701324462891,"SAN LUIS OBISPO","MORRO BAY",-120.83706665039062,35.366573333740234
92438471,2024,2024-07-15,9745,2024-07-05,1525,023013,,5,2,9,4000,0,3,5,,2,002,"NIPOMO AVE","9TH STREET",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,3,2,A,-,09,21802,A,N,D,2,A,A,H,-,A,A,0,,,,,Y,,A,01,0,3,0,0,0,0,0,0,0,"- ","- ",35.316928863525391,-120.83329772949219,"SAN LUIS OBISPO",UNINCORPORATED,-120.83329772949219,35.316928863525391
94673140,2025,2025-05-28,9745,2025-04-24,"940 ",017857,,4,1,9,4000,0,1,2,,2,505,"US-101 NORTHBOUND","HEMI ROAD",800.00,S,N,A,-,Y,SLO,,101," "," ",8.972,H,,R,Y,4,0,1,3,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",35.082630157470703,-120.52864074707031,"SAN LUIS OBISPO",UNINCORPORATED,-120.52866363525391,35.082614898681641
94675055,2025,2025-05-05,9745,2025-04-25,1640,023140,,5,2,4,4006,0,1,2,,2,202,"US-101 SOUTHBOUND","LOS OSOS VALLEY RD",400.00,N,N,A,-,Y,SLO,,101," "," ",26.025,H,,L,Y,3,0,2,4,A,-,03,22350,,N,C,2,A,A,H,-,A,D,0,,,,,Y,,D,22,0,2,0,0,0,0,0,0,0,"- ","- ",35.246261596679688,-120.68135070800781,"SAN LUIS OBISPO","SAN LUIS OBISPO",-120.68135070800781,35.246261596679688
9384267,2021,2022-01-06,4003,2021-11-17,1343,G8493,3,3,5,2,4003,0,0,0,,0,001,"QUINTANA RD","KINGS AV",340.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,-,-,"- ",,A,N,G,B,E,A,D,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"SAN LUIS OBISPO","MORRO BAY",-120.83831024169922,35.366340637207031
90589565,2017,2017-11-07,9740,2017-11-04,1235,013984,,6,1,9,4000,0,3,5,,2,016,"PANORAMA ROAD","ELKHRON RD",1056.00,N,N,B,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,N,C,C,A,A,B,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",35.146740000000001,-119.66473000000001,"SAN LUIS OBISPO",UNINCORPORATED,-119.6648562,35.14667575
90861088,2018,2018-11-15,9740,2018-11-05,2004,018988,,1,2,4,4008,0,1,2,,2,002,"US-101 NORTHBOUND","SAN RAMON RD",2112.00,S,N,A,-,Y,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,C,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",35.421939849853516,-120.54926300048828,"SAN LUIS OBISPO",ATASCADERO,-120.7039794921875,35.520824432373047
