CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6377232,2014,2014-06-12,4203,2014-02-19,1514,6700,45,3,5,5,4203,0,0,0,,0,003,"SANTA BARBARA ST","VICTORIA ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,-,C,A,A,H,-,A,A,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",34.253500000000003,-119.42124,"SANTA BARBARA","SANTA BARBARA",-119.70346986,34.426440040000003
6396547,2014,2014-06-24,4204,2014-02-10,1344,22104,76,1,5,5,4204,0,0,0,,0,003,"BETTERAVIA RD","AUTO PLAZA LN",156.00,E,N,A,-,N,,,,,,,,,,Y,4,0,4,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,4,0,0,0,0,0,0,"- ","- ",,,"SANTA BARBARA","SANTA MARIA",-120.42353989999999,34.923580190000003
6410487,2014,2016-03-05,4204,2014-01-28,1249,23397,19,2,5,5,4204,0,0,0,,0,001,DONOVAN,"RT 101",0.00,,Y,A,-,Y,SB,5,101,-,-,89.920,R,4,S,Y,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA BARBARA","SANTA MARIA",-120.42494146,34.970619360000001
6968794,2015,2017-01-05,4200,2015-06-02,1047,4041,14,2,5,4,4214,0,0,0,,0,080,"STORKE RD","RT 101",0.00,,Y,A,-,Y,SB,5,101,-,-,24.590,R,3,S,Y,3,0,1,1,C,-,18,,,N,E,I,A,A,H,-,A,A,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ",SO,,,"SANTA BARBARA",GOLETA,-119.86783574,34.434818399999997
7032620,2015,2015-09-29,4200,2015-08-01,1451,3886,10,6,5,3,4205,0,0,0,,0,030,"LINDEN AV","WULLBRANDT WY",78.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,C,C,A,A,H,-,A,D,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA BARBARA",CARPINTERIA,-119.51932289,34.398158770000002
7093996,2015,2015-10-24,4203,2015-10-05,0807,6700,36,1,5,5,4203,0,0,0,,0,005,"DE LA VINA ST","ALAMAR AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",34.435490000000001,-119.72508000000001,"SANTA BARBARA","SANTA BARBARA",-119.72511987,34.435440079999999
94864557,2025,2025-09-29,9760,2025-09-22,1350,021294,,1,1,9,4200,0,3,5,,2,005,"CAMINO DEL SUR","PASADO ROAD",0.00,,Y,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.411708831787109,-119.86260986328125,"SANTA BARBARA",UNINCORPORATED,-119.86257934570312,34.411697387695312
91833200,2022,2022-08-04,9750,2022-07-27,2055,016874,,3,2,5,4204,0,1,2,,2,001,"US-101 S/B","STOWELL ROAD",1000.00,S,N,A,-,Y,SB,,101,,,87.337,H,,L,N,3,0,2,2,A,-,01,23152,A,N,B,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",34.934478759765625,-120.41790771484375,"SANTA BARBARA","SANTA MARIA",-120.41794586181641,34.934478759765625
91866370,2022,2022-09-16,9760,2022-09-14,0900,016739,,3,1,4,4214,0,1,2,,1,030,"US-101 S/B (EL CAMINO REAL)","FAIRVIEW AVE.",1584.00,N,N,A,-,Y,SB,,101,,,22.821,H,,L,N,4,0,1,2,A,-,03,22350,,M,C,C,A,A,D,-,A,A,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",34.438999176025391,-119.83741760253906,"SANTA BARBARA",GOLETA,-119.83741760253906,34.439006805419922
91880212,2022,2022-10-03,9760,2022-09-23,1140,016739,,5,1,9,4200,0,1,2,,2,010,"US-101 N/B (EL CAMINO REAL)","SAN YSIDRO RD.",528.00,S,N,A,-,Y,SB,,101,,,9.977,H,,R,N,4,0,3,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,3,0,0,0,0,0,0,"- ","- ",34.422279357910156,-119.63076782226562,"SANTA BARBARA",UNINCORPORATED,-119.63077545166016,34.422260284423828
