CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6559889,2014,2016-04-11,9465,2014-06-30,1555,018216,,1,2,9,5000,0,1,3,,1,032,"RT 132","B ST",150.00,E,N,A,-,Y,STA,10,132,-,-,19.910,H,-,E,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.638249999999999,-120.90672000000001,STANISLAUS,UNINCORPORATED,-120.90664221999999,37.638256259999999
6578151,2014,2016-04-28,9465,2014-07-16,0945,17787,,3,1,9,5000,0,1,3,,2,015,"BROADWAY AV","RT 99",100.00,W,N,A,-,Y,STA,10,99,-,R,22.358,R,4,N,Y,4,0,1,2,A,-,08,22107,,N,D,C,A,A,D,-,A,D,1,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ",TO,37.709339999999997,-121.08064,STANISLAUS,UNINCORPORATED,-121.07846791999999,37.706946510000002
6580639,2014,2014-09-04,5001,2014-07-28,1413,8715,5001,1,5,4,5001,0,0,0,,0,004,"MORGAN RD","KINSER RD",273.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,"- ",,,N,C,E,A,A,H,-,A,D,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,STANISLAUS,CERES,-120.97526999999999,37.591999719999997
6628872,2014,2014-10-02,5002,2014-09-14,1256,10096,M314,7,5,6,5002,0,0,0,,0,042,"EL VISTA AV","ENCINA AV",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,4,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,1,3,0,0,0,0,0,0,"- ","- ",,,STANISLAUS,MODESTO,-120.95725993000001,37.645239940000003
6632876,2014,2016-04-29,9465,2014-09-05,1505,018800,,5,2,9,5000,0,1,3,,2,011,"RT 99","HAMMETT RD",45.00,S,N,A,-,Y,STA,10,99,-,R,24.260,H,-,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.72551,-121.10321,STANISLAUS,UNINCORPORATED,-121.10339467,37.725757569999999
6652844,2014,2014-10-15,9465,2014-09-28,1420,012845,,7,2,9,5000,0,3,5,,2,010,"SALIDA BL","PELANDALE AV",175.00,N,N,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",37.701030000000003,-121.07492999999999,STANISLAUS,UNINCORPORATED,-121.07239436,37.698882470000001
92406786,2024,2024-06-05,9465,2024-05-31,1415,021235,,5,2,9,5000,0,3,5,,2,030,"LAKE ROAD","STATE ROUTE 132",7920.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",37.632099151611328,-120.51075744628906,STANISLAUS,UNINCORPORATED,-120.50983428955078,37.632637023925781
92143402,2023,2023-08-14,9465,2023-08-05,1838,020885,,6,2,9,5000,0,3,5,,2,040,"MONTE VISTA AVENUE","MITCHELL RD",1056.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,B,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",37.521751403808594,-120.93702697753906,STANISLAUS,UNINCORPORATED,-120.93698120117188,37.521766662597656
92190010,2023,2023-10-04,9465,2023-09-24,1800,020885,,7,2,9,5000,0,3,5,,2,040,"COWAN ST","A STREET",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,12,22450,A,N,D,2,A,A,H,-,A,A,0,,,Y,,Y,,C,06,0,3,0,0,0,0,0,0,2,"- ","- ",37.560398101806641,-120.99240112304688,STANISLAUS,UNINCORPORATED,,
92200689,2023,2023-10-17,9465,2023-09-29,1253,018259,,5,1,9,5000,0,1,3,,1,054,SR-33,"MARSHALL ROAD",0.00,,Y,A,-,Y,STA,,33," "," ",10.230,H,,R,Y,4,0,1,2,A,-,12,22450,A,M,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.4351806640625,-121.10196685791016,STANISLAUS,UNINCORPORATED,-121.10198211669922,37.435173034667969
