CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
90803329,2018,2018-09-04,9175,2018-08-29,1805,016084,,3,2,9,5300,0,3,5,,2,001,"RED HILL ROAD","SENGER ROAD",18.00,W,N,A,-,N,,,,,,,,,,Y,2,0,5,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,4,0,0,0,0,0,0,0,"- ","- ",40.445499420166016,-123.04429626464844,TRINITY,UNINCORPORATED,-123.07844543457031,40.748584747314453
90973624,2019,2019-05-01,9175,2019-02-07,1635,020804,,4,2,9,5300,0,3,5,,2,002,SR-3,"JORDAN RD",2000.00,S,N,B,-,Y,,,3,,,,,,,N,1,1,1,1,A,-,08,22107,,N,E,I,A,B,H,-,B,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",40.618431091308594,-122.97799682617188,TRINITY,UNINCORPORATED,-122.97801208496094,40.618476867675781
90768104,2018,2018-07-12,9175,2018-07-07,2130,021253,,6,2,9,5300,0,1,3,,1,021,SR3,"RT 36",21120.00,S,N,A,-,Y,,,3,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",40.521251678466797,-123.18045043945312,TRINITY,UNINCORPORATED,-123.18041229248047,40.521251678466797
91026061,2019,2019-07-08,9175,2019-07-06,1200,020580,,6,1,9,5300,0,3,5,,2,002,SR-3,"DOBBINS CREEK RD",2640.00,N,N,A,-,Y,,,3,,,,,,,N,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",40.484649658203125,-123.16542053222656,TRINITY,UNINCORPORATED,-123.16538238525391,40.484661102294922
91862058,2022,2022-09-12,9175,2022-09-03,1330,021253,,6,1,9,5300,0,1,3,,1,022,SR-36,"FOREST SERVICE ROUTE 30N24",4224.00,E,N,A,-,Y,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",40.399971008300781,-123.12367248535156,TRINITY,UNINCORPORATED,-123.123779296875,40.399665832519531
92035679,2023,2023-04-03,9175,2023-04-01,1300,016084,,6,1,9,5300,0,3,5,,2,001,"RUSH CREEK RD","TRINITY DAM BLVD",13200.00,W,N,C,-,N,,,,,,,,,,N,3,0,1,1,A,-,08,22107,,N,F,A,A,B,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",40.724018096923828,-122.83403778076172,TRINITY,UNINCORPORATED,-122.8341064453125,40.724090576171875
6611198,2014,2014-09-18,9175,2014-08-22,1830,018552,,5,2,9,5300,0,3,5,,2,002,"CHROME MINE RD","TRINITY PINES RD",335.00,N,N,A,-,N,,,,,,,,,,Y,2,0,3,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,1,0,0,0,0,0,0,"- ","- ",,,TRINITY,UNINCORPORATED,-123.20984,40.417279999999998
90497980,2017,2017-07-11,9175,2017-07-01,1645,018507,,6,2,9,5300,0,1,3,,1,012,"SR-299 W/B","ROSE ROAD",2112.00,W,N,A,-,Y,,,,,,,,,,Y,2,0,2,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",,,TRINITY,UNINCORPORATED,-123.21637343,40.741414390000003
90897674,2018,2019-01-04,9175,2018-12-29,0950,019479,,6,1,9,5300,0,1,3,,1,012,SR-299,"CORRAL BOTTOM RD",528.00,E,N,A,-,Y,,,299,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",40.739200592041016,-123.24910736083984,TRINITY,UNINCORPORATED,-123.24910736083984,40.739261627197266
91390121,2021,2021-01-18,9175,2021-01-16,1545,016084,,6,2,9,5300,0,1,3,,1,010,"RT 299","RIVER RANCH ROAD",1056.00,E,N,A,-,Y,,,,,,,,,,Y,3,0,1,2,A,-,05,21650,,N,A,C,A,A,H,-,A,D,0,,,,Y,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",40.392299652099609,-122.552001953125,TRINITY,UNINCORPORATED,-122.92356109619141,40.655670166015625
