CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6292423,2015,2015-07-30,9480,2015-05-15,0821,16233,,5,1,9,5400,0,3,5,,2,005,"ROAD 128","AVENUE 84",568.00,S,N,B,-,N,,,,,,,,,,N,1,1,0,2,A,-,05,21202,A,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",35.941879999999998,-119.28501,TULARE,UNINCORPORATED,-119.28592801000001,35.940950409999999
6605591,2014,2016-05-16,9480,2014-08-19,0540,16046,,2,3,9,5400,0,1,3,,1,044,"RT 198","AVE 324",25.00,S,N,A,-,Y,TUL,6,198,-,-,26.480,I,5,E,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,B,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.37538,-119.02706999999999,TULARE,UNINCORPORATED,-119.02691969999999,36.375541630000001
6643926,2014,2015-01-27,9480,2014-11-25,0700,017108,,2,1,9,5400,0,1,3,,2,091,"RT 99","AVE 284",2640.00,S,N,E,-,Y,,,99,,,,,,,Y,3,0,1,2,A,-,07,21658,A,N,B,C,A,A,D,-,A,D,0,,,,Y,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",36.485239999999997,-119.51052,TULARE,UNINCORPORATED,-119.51052119000001,36.485238529999997
6664637,2014,2014-12-15,9481,2014-10-02,1710,019154,,4,2,9,5400,0,3,5,,2,050,"CATTLE DR","PLEASANT OAK DR",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,1,C,-,18,,,N,E,J,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",,,TULARE,UNINCORPORATED,-118.84856007,36.09375008
6700908,2014,2014-12-02,5406,2014-10-18,0936,44,5406,6,5,4,5406,0,0,0,,0,0AO,"K ST","MARTIN LUTHER KING",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,A,B,B,A,H,-,A,D,0,Y,,,,Y,Y,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,TULARE,TULARE,-119.34469987,36.201590039999999
6709047,2014,2015-06-08,5406,2014-10-09,1740,136,5406,4,5,4,5406,0,0,0,,0,0AO,"PLEASANT AV",F,0.00,,N,A,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",,,TULARE,TULARE,-119.35572987,36.218280069999999
92360307,2024,2024-04-09,9480,2024-04-01,2245,019828,,1,3,9,5400,0,3,5,,2,006,"RD. 140","AVE. 272",1584.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.288169860839844,-119.26090240478516,TULARE,UNINCORPORATED,-119.26088714599609,36.288185119628906
92397535,2024,2024-05-23,9480,2024-05-13,"530 ",019186,,1,3,4,5406,0,1,3,,2,093,SR-99,"PROSPERITY AVE",2640.00,N,N,A,-,Y,TUL,,99," "," ",30.728,H,,R,N,4,0,1,2,B,-,22,,,N,G,B,E,A,D,-,D,A,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,"- ","- ",36.226348876953125,-119.33529663085938,TULARE,TULARE,-119.33529663085938,36.226352691650391
94537713,2025,2025-01-14,9480,2025-01-09,1040,019932,,4,1,5,5407,0,1,3,,1,064,"SR-198 W/B TO SR-99 N/B","PLAZA DRIVE",1584.00,W,N,A,-,Y,TUL,,198," ",R,4.253,H,,L,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,2,0,0,0,0,0,0,0,"- ","- ",36.327480316162109,-119.39978790283203,TULARE,VISALIA,-119.3997802734375,36.32733154296875
94653166,2025,2025-04-17,9480,2025-04-10,1808,021682,,4,2,9,5400,0,3,5,,2,004,"ROAD 132","AVENUE 320",2640.00,N,N,A,-,N,,,,,,,,,,N,3,0,2,2,A,-,03,22350,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",36.378288269042969,-119.27867889404297,TULARE,UNINCORPORATED,-119.27877807617188,36.378215789794922
