CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912116,2014,2014-02-12,9126,2014-01-01,0730,20383,,3,1,9,1200,0,1,2,,1,066,"RT 101","S/E ABUTMENT FRANK BELOTTI MEM BR",134.00,S,N,B,-,Y,HUM,1,101,-,R,8.270,H,-,N,Y,1,1,0,1,C,-,18,,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",,,HUMBOLDT,UNINCORPORATED,-123.78340839000001,40.061144570000003
5912117,2014,2014-02-13,9126,2014-01-03,1315,20368,,5,1,9,1200,0,1,3,,1,020,"RT 254","ELK CREEK RD",0.00,,Y,A,-,Y,HUM,1,254,-,-,10.517,I,5,N,Y,1,1,1,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,,Y,Y,,G,27,0,1,0,0,0,0,0,0,0,"- ","- ",40.279330000000002,-123.85356,HUMBOLDT,UNINCORPORATED,-123.85336562000001,40.279540740000002
6290320,2014,2014-04-30,9125,2014-03-17,1605,11998,,1,2,9,1200,0,1,3,,1,026,"RT 255","PENINSULA DR",0.00,,Y,B,-,Y,HUM,1,255,-,-,2.892,I,5,S,Y,1,1,1,2,A,-,05,21752,D,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,1,0,"- ","- ",40.8782,-124.1662,HUMBOLDT,UNINCORPORATED,-124.17035308,40.837662309999999
6290495,2014,2014-05-23,9125,2014-03-17,2311,13551,,1,3,9,1200,0,1,3,,1,047,"RT 36","MONROE LN",83.00,E,N,A,-,Y,HUM,1,36,-,-,5.880,H,-,E,Y,1,1,0,2,A,-,01,23152,A,N,A,C,A,A,H,-,C,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",40.533909999999999,-124.04731,HUMBOLDT,UNINCORPORATED,-124.04739318999999,40.53394402
6290665,2014,2015-12-29,9125,2014-05-11,2330,19243,,7,3,9,1200,0,1,3,,1,051,"RT 96","UPPER MILL CREEK RD",1318.00,N,N,A,-,Y,HUM,1,96,-,-,15.620,H,-,W,N,1,1,0,2,A,-,11,21954,A,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",41.099919999999997,-123.69168999999999,HUMBOLDT,UNINCORPORATED,-123.69090613,41.100910730000003
6290733,2014,2014-06-24,1203,2014-01-28,0810,464,,2,5,4,1203,0,0,0,,0,002,"RT 101","SUNSET ST",0.00,,Y,C,-,Y,HUM,1,101,-,-,75.400,H,-,S,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,B,H,-,A,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,HUMBOLDT,EUREKA,-124.19170333,40.766942499999999
6290749,2014,2014-06-17,9126,2014-04-28,1605,20607,,1,2,9,1200,0,3,5,,2,222,"UPPER PACIFIC DR","SEAFOAM RD",0.00,,Y,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,Y,D,22,0,0,0,0,0,0,0,1,0,"- ","- ",,,HUMBOLDT,UNINCORPORATED,-124.07369992,40.030229890000001
6291493,2014,2014-10-28,9126,2014-08-23,1820,20512,,6,2,9,1200,0,3,5,,2,222,"MATTOLE RD","N FORT SMITH-ETTER RD",5280.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",40.229709999999997,-124.14368,HUMBOLDT,UNINCORPORATED,-124.14368,40.229709999999997
6291499,2014,2014-10-31,9125,2014-08-30,1747,19832,,6,2,9,1200,0,1,3,,1,062,"RT 96","PATRICIA LN",1000.00,S,N,A,-,Y,HUM,1,96,-,-,2.270,H,-,W,Y,1,1,1,2,A,-,01,23152,A,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,1,0,0,0,0,1,0,"- ","- ",40.96922,-123.64035,HUMBOLDT,UNINCORPORATED,-123.63984803,40.97093598
6291617,2014,2014-11-18,9125,2014-09-15,1225,14428,,1,1,9,1200,0,1,2,,2,018,"RT 101","TRINIDAD REST AREA",2112.00,S,N,A,-,Y,HUM,1,101,-,R,102.480,H,-,S,Y,1,1,0,1,C,-,18,,,N,H,H,A,A,H,-,A,D,1,,,Y,,Y,,-,"- ",0,0,0,0,0,0,0,1,0,"- ","- ",41.086069999999999,-124.1474,HUMBOLDT,UNINCORPORATED,-124.14745084,41.086290910000002
6291702,2014,2014-12-16,9125,2014-09-22,1418,11998,,1,2,9,1200,0,1,2,,2,022,"RT 101","SAINT LOUIS RD",368.00,S,N,B,-,Y,HUM,1,101,-,-,87.420,H,-,S,Y,1,1,2,1,A,-,01,23152,E,N,F,A,A,A,D,-,A,D,1,,,,,Y,,A,07,1,0,1,0,0,0,0,0,0,"- ","- ",40.885469999999998,-124.08011,HUMBOLDT,UNINCORPORATED,-124.08020276000001,40.885450349999999
6291802,2014,2015-01-12,9125,2014-11-09,1920,11799,,7,2,9,1200,0,1,2,,2,016,"RT 101","BOYES CREEK BR",2112.00,S,N,B,F,Y,HUM,1,101,-,R,128.590,H,-,S,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,B,H,-,D,D,1,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",41.363430000000001,-123.9896,HUMBOLDT,UNINCORPORATED,-123.98945073,41.364130600000003
