CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912203,2014,2014-03-11,9625,2014-02-02,0200,18930,,7,3,9,1300,0,1,1,,2,006,"RT 8","ANDERHOLT RD",1056.00,E,N,A,-,Y,IMP,11,8,-,R,46.240,H,-,W,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,1,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",32.772709999999996,-115.41070000000001,IMPERIAL,UNINCORPORATED,-115.41021554,32.773527440000002
6290182,2014,2014-07-21,9625,2014-01-20,2500,18978,,1,4,9,1300,0,1,3,,1,021,"RT 111","BAUGHMAN RD",300.00,S,N,A,-,Y,IMP,11,111,-,-,26.430,H,-,N,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",33.029600000000002,-115.52686,IMPERIAL,UNINCORPORATED,-115.52691233,33.040991470000002
6290389,2014,2014-05-15,9625,2014-02-28,2500,18930,,5,4,9,1300,0,1,1,,2,004,"RT 8","FORRESTER RD",3400.00,W,N,B,-,Y,IMP,11,8,-,R,33.790,H,-,W,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,1,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",32.773600000000002,-115.6337,IMPERIAL,UNINCORPORATED,-115.6240803,32.774006190000001
6290417,2014,2015-12-21,9625,2014-02-07,0025,20704,,5,3,9,1300,0,3,5,,2,040,"CLARK RD","WILLOUGHBY RD",767.00,S,N,A,-,N,,,,,,,,,,Y,1,2,0,1,A,-,03,22350,,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",32.705089999999998,-115.55998,IMPERIAL,UNINCORPORATED,-115.55984923,32.706415100000001
6290448,2014,2014-05-07,1304,2014-04-11,2115,360,,5,5,4,1304,0,0,0,,0,,IMPERIAL,VINE,5.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,03,22350,,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.56976036,32.784913660000001
6291104,2014,2015-12-29,9625,2014-04-05,2020,18792,,6,2,9,1300,0,1,1,,2,003,"RT 8","DUNAWAY RD",13358.00,W,N,A,-,Y,IMP,11,8,-,R,20.940,H,-,E,Y,1,1,0,2,A,-,11,21956,,N,G,B,E,A,H,-,D,D,1,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",32.759889999999999,-115.84461,IMPERIAL,UNINCORPORATED,-115.84314352,32.760210499999999
6291154,2014,2015-03-03,9625,2014-01-18,0550,12219,,6,3,4,1304,0,1,1,,2,004,"RT 8","4TH ST",1056.00,E,N,A,-,Y,IMP,11,8,-,R,38.370,H,-,W,Y,1,2,3,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,1,,,,,Y,Y,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",32.77393,-115.54518,IMPERIAL,"EL CENTRO",-115.54546542999999,32.773937869999997
6291156,2014,2014-08-22,9625,2014-01-27,1747,17075,,1,2,9,1300,0,1,3,,2,056,"RT 115","WORTHINGTON RD",0.00,,Y,A,-,Y,IMP,11,115,-,-,12.396,I,5,N,Y,1,3,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,D,A,0,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",32.847290000000001,-115.40609000000001,IMPERIAL,UNINCORPORATED,-115.40618024,32.847323869999997
6291198,2014,2014-09-15,9620,2014-07-15,0500,19333,,2,3,9,1300,0,1,3,,1,063,"RT 78","STALLARD RD",2640.00,W,N,A,-,Y,IMP,11,78,-,-,74.940,H,-,W,Y,1,2,1,2,A,-,08,22107,,N,A,D,A,A,H,-,B,D,2,,,,Y,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",33.352089999999997,-114.72244000000001,IMPERIAL,UNINCORPORATED,-114.72244517999999,33.352647019999999
6291269,2014,2016-01-14,9625,2014-08-06,1630,18978,,3,2,9,1300,0,1,1,,2,001,"RT 8","RT 98",8291.00,W,N,A,-,Y,IMP,11,8,-,R,10.820,H,-,E,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",32.719940000000001,-116.04756999999999,IMPERIAL,UNINCORPORATED,-116.01183935,32.73069125
6291271,2014,2016-01-14,1301,2014-08-10,1554,924,BRAWL,7,5,3,1301,0,0,0,,0,002,"RT 86","WILDCAT DR",59.00,S,N,A,-,Y,IMP,11,86,-,-,19.490,H,-,N,Y,1,1,2,3,A,-,01,23153,A,N,C,C,A,A,H,-,A,A,0,,,,,Y,Y,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,BRAWLEY,-115.54831864000001,32.963870040000003
6291278,2014,2014-10-21,9625,2014-08-30,0945,18933,,6,1,9,1300,0,2,4,,2,047,"FORRESTER RD","ATEN RD",1339.00,N,N,A,-,N,,,,,,,,,,Y,1,1,6,2,A,-,06,21751,,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,4,1,1,0,0,0,0,0,0,"- ","- ",32.829300000000003,-115.62051,IMPERIAL,UNINCORPORATED,-115.62068948,32.821879950000003
6291423,2014,2014-10-30,9625,2014-08-26,1817,020830,,2,2,9,1300,0,1,3,,1,044,"RT 86","S LYDICK LOOP",266.00,S,N,A,-,Y,IMP,11,86,-,-,13.540,H,-,N,Y,1,1,2,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,2,0,0,0,0,0,0,0,0,"- ","- ",32.887070000000001,-115.57013000000001,IMPERIAL,UNINCORPORATED,-115.57022569,32.886852660000002
6291447,2014,2015-12-29,9625,2014-08-11,0535,18933,,1,3,9,1300,0,3,5,,2,040,"AUSTIN RD","NECKEL RD",256.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",32.862499999999997,-115.59486,IMPERIAL,UNINCORPORATED,-115.59493953,32.862569710000002
6291522,2014,2015-12-22,9625,2014-07-06,1610,19582,,7,2,9,1300,0,1,1,,2,005,"RT 8","VAN DER LINDEN RD",26400.00,E,N,A,-,Y,IMP,11,8,-,R,58.500,H,-,E,Y,1,1,0,2,A,-,13,22515,A,N,G,B,E,A,H,-,A,D,1,Y,,,Y,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",32.745820000000002,-115.20220999999999,IMPERIAL,UNINCORPORATED,-115.20622855000001,32.747118180000001
