CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6328074,2014,2016-01-23,9825,2014-01-04,1758,18521,,6,2,9,1400,0,1,2,,1,004,"RT 395","MILLER LN",528.00,N,N,A,-,Y,INY,9,395,-,-,76.300,H,-,S,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,1,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",36.83746,-118.22866,INYO,UNINCORPORATED,-118.22868582,36.836602820000003
6328129,2014,2016-01-23,9825,2014-01-01,1400,016631,,3,2,9,1400,0,1,2,,1,004,"RT 395","FORT INDEPENDENCE TRAVEL PLAZA DRIVEWAY",274.00,S,N,A,-,Y,INY,9,395,-,-,76.270,H,-,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.835769999999997,-118.22045,INYO,UNINCORPORATED,-118.22855546,36.836190369999997
6337657,2014,2014-06-04,9825,2014-01-10,2200,018478,,5,3,9,1400,0,3,5,,2,040,"MUMY LN","RT 168",4752.00,S,N,A,-,N,,,,,,,,,,Y,3,0,3,1,A,-,08,22107,,N,F,A,A,A,H,-,D,A,0,,,,,Y,,A,01,0,3,0,0,0,0,0,0,0,"- ","- ",37.553840000000001,-118.45027,INYO,UNINCORPORATED,-118.44544399999999,37.350149000000002
6344997,2014,2015-06-02,1401,2014-01-06,2500,423,CITY,1,5,2,1401,0,0,0,,0,,HOME,"WEST PINE",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,3,A,-,03,22350,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,INYO,BISHOP,-118.40234013,37.363849909999999
6346639,2014,2014-06-04,9825,2014-01-17,1300,017072,,5,1,9,1400,0,3,5,,2,050,"ARTISTS DR","ARTIST PALLET RD",8448.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",,,INYO,UNINCORPORATED,-116.79420411,36.345508479999999
6352169,2014,2014-06-12,9825,2014-01-17,1739,20450,,5,2,9,1400,0,3,5,,2,060,"LOCUST ST","LAKE VIEW ST",133.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,M,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.608370000000001,-118.0581,INYO,UNINCORPORATED,-118.05796212,36.608366959999998
6352237,2014,2015-07-20,9825,2014-01-21,1100,20415,,2,1,9,1400,0,2,4,,2,072,"BADWATER RD","RT 127",25.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",36.065840000000001,-116.75573,INYO,UNINCORPORATED,-116.275283,35.996232999999997
6386762,2014,2016-01-23,9825,2014-02-18,0705,017072,,2,1,9,1400,0,1,3,,1,019,"RT 127","CLAY RD",4224.00,S,N,B,-,Y,INY,9,127,-,-,48.000,H,-,S,Y,3,0,1,1,A,-,08,22107,,N,F,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",36.386699999999998,-116.42245,INYO,UNINCORPORATED,-116.42250137000001,36.38808066
6387269,2014,2015-07-20,9825,2014-01-28,2200,014450,,2,3,9,1400,0,3,5,,2,040,"BUCKLEY POND RD","WARM SPRINGS RD",4224.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",37.333880000000001,-118.33282,INYO,UNINCORPORATED,-118.333254,37.334676999999999
6409055,2014,2014-06-25,9825,2014-03-14,1638,020450,,5,2,9,1400,0,2,4,,2,078,"TRONA WILDROSE RD","BALLERAT RD",15840.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,INYO,UNINCORPORATED,-117.28467362000001,36.076600689999999
6418099,2014,2015-11-20,9825,2014-03-11,1600,020415,,2,2,9,1400,0,2,4,,2,052,"OLD SPANISH TRAIL","ROSE ST",42240.00,W,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",35.95411,-115.99817,INYO,UNINCORPORATED,-116.00535694,35.934391550000001
6426608,2014,2016-01-23,9825,2014-03-11,1009,011906,,2,1,9,1400,0,1,2,,2,002,"RT 395","MACGREGOR AV",0.00,,Y,A,-,Y,INY,9,395,-,-,117.440,I,5,S,Y,4,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,1,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.375889999999998,-118.41506,INYO,UNINCORPORATED,-118.41603551999999,37.375813190000002
6428376,2014,2014-07-03,9825,2014-03-06,1100,017072,,4,1,9,1400,0,2,4,,2,074,"DANTES VIEW RD","RT 190",24288.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",36.307879999999997,-116.67064999999999,INYO,UNINCORPORATED,-116.6837882,36.304667010000003
6435248,2014,2014-07-15,9825,2014-04-02,1341,20736,,3,1,9,1400,0,3,5,,2,050,"TRONA WILDROSE RD","BALLARAT RD",27720.00,N,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,M,47,0,1,1,0,0,0,0,0,0,"- ","- ",36.117159999999998,-117.29130000000001,INYO,UNINCORPORATED,-117.29039189,36.108808029999999
6439293,2014,2014-06-30,9825,2014-03-26,0755,011906,,3,1,9,1400,1,3,5,,2,040,"VANADIUM RANCH RD","NORTH ROUND VALLEY RD",528.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,1,C,-,18,,,N,E,J,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",37.412509999999997,-118.58805,INYO,UNINCORPORATED,-118.58851516,37.412307910000003
6439294,2014,2016-01-23,9825,2014-03-25,1728,016631,,2,2,9,1400,0,1,2,,1,003,"RT 395","REYNOLDS RD",3696.00,S,N,A,-,Y,INY,9,395,-,-,101.400,H,-,S,Y,3,0,2,3,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,1,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",37.179119999999998,-118.29594,INYO,UNINCORPORATED,-118.29671320999999,37.179997059999998
6443579,2014,2016-01-08,9825,2014-04-06,1430,18960,,7,2,9,1400,0,3,5,,2,040,"DEATH VALLEY RD","WAUCOBA SALINE RD",6336.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,INYO,UNINCORPORATED,-118.043181,37.150549400000003
6446522,2014,2016-03-29,9825,2014-04-09,0920,016119,,3,1,9,1400,0,3,5,,2,040,"GERKIN RD","RT 395",205.00,W,N,A,-,Y,INY,9,395,-,-,112.660,I,6,S,N,3,0,1,2,A,-,13,22515,A,N,G,B,E,A,H,-,A,D,1,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",37.381270000000001,-118.38862,INYO,UNINCORPORATED,-118.38989044,37.322452599999998
6453958,2014,2016-03-29,1401,2014-04-14,1010,413,CITY,1,5,2,1401,0,0,0,,0,,"N MAIN","RT 395",0.00,,Y,A,-,Y,INY,9,395,-,-,115.740,H,-,N,N,4,0,1,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,INYO,BISHOP,-118.39535501,37.365897199999999
6464750,2014,2014-07-23,9825,2014-04-16,1800,17072.,,3,2,9,1400,0,2,4,,2,072,"BADWATER RD","BADWATER VISITOR'S CENTER",11088.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",36.20872,-116.7863,INYO,UNINCORPORATED,-116.76712499999999,36.229785999999997
