CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290066,2014,2014-03-05,2406,2014-01-28,1442,M24,1,2,5,5,2406,0,0,0,,0,010,"G ST","ALEXANDER AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21456,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.46945988,37.315260010000003
6290294,2014,2014-04-30,9460,2014-01-25,0020,19106,,6,3,9,2400,0,1,3,,1,591,"RT 59","CANTON RD",986.00,S,N,A,-,Y,MER,10,59,-,-,7.860,H,-,S,Y,1,1,2,2,A,-,05,21650,,N,A,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",37.197699999999998,-120.48824,MERCED,UNINCORPORATED,-120.48818079,37.197376349999999
6290335,2014,2014-04-29,9460,2014-02-07,0644,17996,,5,1,9,2400,0,1,3,,2,003,"RT 99","WORDEN AV",2640.00,S,N,A,-,Y,MER,10,99,-,-,7.960,H,-,S,Y,1,1,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",37.137709999999998,-120.23126000000001,MERCED,UNINCORPORATED,-120.39190345999999,37.23494462
6290907,2014,2014-08-20,9461,2014-05-30,0213,18354,,5,3,9,2400,0,1,3,,1,153,"RT 152","VOLTA RD",1056.00,W,N,A,-,Y,MER,10,152,-,-,16.100,H,-,E,Y,1,1,4,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,5,,,,,Y,Y,A,07,1,2,1,0,0,0,0,0,0,"- ","- ",37.056489999999997,-120.92986999999999,MERCED,UNINCORPORATED,-120.92893158,37.056448250000003
6291065,2014,2014-08-19,9460,2014-04-05,0017,20156,,6,3,9,2400,0,1,3,,1,143,"RT 140","ORCHARD DR",221.00,E,N,A,-,Y,MER,10,140,-,-,39.760,H,-,W,N,1,1,0,2,A,-,11,21956,,N,G,B,E,A,H,-,D,D,0,Y,,,Y,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.295560000000002,-120.39758999999999,MERCED,UNINCORPORATED,-120.39612921,37.295535569999998
6291163,2014,2014-08-29,9461,2014-06-14,0545,017329,,6,3,9,2400,0,1,3,,1,153,"RT 152","DELTA MENDOTA CANAL",675.00,W,N,A,-,Y,MER,10,152,-,-,14.960,H,-,E,Y,1,2,2,1,A,-,08,22107,,N,E,I,A,A,H,-,B,D,5,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",37.056539999999998,-120.94963,MERCED,UNINCORPORATED,-120.94952044999999,37.056593640000003
6291180,2014,2014-08-25,9461,2014-06-18,1030,14205,,3,1,9,2400,0,1,1,,2,206,"RT 5","RT 165",8586.00,S,N,A,-,Y,MER,10,5,-,-,4.650,H,-,N,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.911610000000003,-120.82001,MERCED,UNINCORPORATED,-120.82115588000001,36.91272738
6291287,2014,2014-09-30,2406,2014-01-05,2106,M24,1,7,5,5,2406,0,0,0,,0,011,"LOUGHBOROUGH DR","R ST",150.00,W,N,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,01,23152,B,N,A,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,MERCED,MERCED,-120.48751568,37.32341452
6291339,2014,2014-10-22,9461,2014-07-14,1607,19052,,1,2,9,2400,0,1,3,,1,141,"RT 140","MUD SLOUGH",37.00,E,N,B,-,Y,MER,10,140,-,-,10.700,H,-,W,Y,1,1,1,2,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",37.295879999999997,-120.94009,MERCED,UNINCORPORATED,-120.94042603,37.296420900000001
6291343,2014,2015-12-30,9461,2014-07-20,0415,18910,,7,3,9,2400,0,1,3,,1,152,"RT 152","DINOSAUR POINT RD",6336.00,E,N,A,-,Y,MER,10,152,-,R,0.920,H,-,E,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,5,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",37.07723,-121.205,MERCED,UNINCORPORATED,-121.20346969000001,37.077205999999997
