CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912240,2014,2014-04-25,9230,2014-03-04,2018,14289,,2,2,9,2900,0,1,3,,1,071,"RT 20","CATTLE DR",512.00,W,N,A,-,Y,NEV,3,20,-,R,6.120,H,-,E,Y,1,1,1,3,A,-,"- ",,,N,B,C,A,A,H,-,D,D,5,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",39.203200000000002,-121.17852999999999,NEVADA,UNINCORPORATED,-121.17851546999999,39.203253949999997
6290148,2014,2014-03-17,9222,2014-02-06,1659,18056,,4,2,9,2900,0,1,1,,2,021,"RT 80","DONNER PASS RD",7392.00,W,N,D,-,Y,NEV,3,80,-,-,1.080,H,-,E,Y,1,1,1,3,A,-,03,22350,,N,G,B,E,C,H,-,A,D,1,Y,,,,Y,,A,01,0,0,1,1,0,0,0,0,0,"- ","- ",39.323860000000003,-120.41455999999999,NEVADA,UNINCORPORATED,-120.41791228,39.322790640000001
6290400,2014,2014-05-23,9230,2014-02-05,2021,16588,,3,2,9,2900,0,1,3,,1,051,"RT 20","NEVADA ST",49.00,E,N,B,-,Y,NEV,3,20,-,R,17.840,H,-,E,Y,1,1,0,2,A,-,01,23152,A,N,C,C,A,A,H,-,D,D,0,,,,,Y,Y,A,08,0,0,0,0,0,0,0,0,0,"- ","- ",39.273209999999999,-121.01066,NEVADA,UNINCORPORATED,-121.01025973,39.273394400000001
6291889,2014,2015-02-03,9230,2014-09-22,1612,13245,,1,2,9,2900,0,1,3,,1,071,"RT 20","ROUGH AND READY HWY",0.00,,Y,B,-,Y,NEV,3,20,-,R,6.600,I,5,W,Y,1,1,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,5,,,,Y,Y,,F,27,1,0,0,0,0,0,0,0,0,"- ","- ",39.203299999999999,-121.1694,NEVADA,UNINCORPORATED,-121.16967799,39.203302800000003
6292312,2015,2015-06-30,9230,2015-02-07,1917,17125,,6,2,9,2900,0,1,3,,1,031,"RT 49","OAK DR",634.00,S,N,B,-,Y,NEV,3,49,-,-,6.450,H,-,S,Y,1,1,2,2,A,-,08,22107,,N,D,C,A,B,H,-,D,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",39.103529999999999,-121.08537,NEVADA,UNINCORPORATED,-121.08539512,39.103089699999998
6292313,2015,2017-04-21,9230,2015-02-12,1550,15030,,4,2,9,2900,0,3,5,,2,050,"RED DOG RD","MURCHIE MINE RD",559.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",39.262860000000003,-120.98819,NEVADA,UNINCORPORATED,-120.98822201999999,39.262431220000003
6292604,2015,2015-09-04,9222,2015-07-30,2345,18593,,4,3,9,2900,0,3,5,,2,020,"MEADOW LAKE RD","WEBBER LAKE RD",10560.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.443280000000001,-120.44731,NEVADA,UNINCORPORATED,-120.45586824,39.419734609999999
6292608,2015,2015-09-11,9230,2015-06-04,1445,12882,,4,2,9,2900,0,3,5,,2,070,"BITNEY SPRINGS RD","LOXIE LN",38.00,N,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.248719999999999,-121.11371,NEVADA,UNINCORPORATED,-121.11368895,39.248681640000001
6328076,2014,2014-06-02,9230,2014-01-02,1725,013903,,4,2,9,2900,0,1,3,,1,031,"RT 49","ALTA SIERRA DR",728.00,N,N,A,-,Y,,,,,,,,,,Y,3,0,4,3,A,-,03,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,2,2,0,0,0,0,0,0,"- ","- ",38.143140000000002,-121.07067000000001,NEVADA,UNINCORPORATED,-121.07061511000001,39.143065679999999
6358089,2014,2014-06-06,2901,2014-01-17,1636,BLA01,21,5,5,2,2901,0,0,0,,0,021,"MILL ST","MILL ST 379",0.00,,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,NEVADA,"GRASS VALLEY",-121.06600641999999,39.213383149999999
