CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6678415,2014,2016-06-13,9165,2014-10-11,1300,018506,,6,1,9,3200,0,1,3,,2,051,"RT 70","DELLEKER RD",3696.00,E,N,A,-,Y,PLU,2,70,-,-,74.830,H,-,W,Y,2,0,2,2,A,-,03,22350,,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,2,0,0,0,0,0,0,0,2,"- ","- ",39.808120000000002,-120.48719,PLUMAS,UNINCORPORATED,-120.48775087999999,39.808135479999997
90366681,2017,2017-02-10,9165,2017-01-03,1942,019993,,2,2,9,3200,0,1,3,,2,032,SR-70,"BUTTERFLY VALLEY ROAD",528.00,W,N,C,D,Y,,,70,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,C,H,-,D,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",40.008130000000001,-120.96536,PLUMAS,UNINCORPORATED,-120.96541525000001,40.008060460000003
90797416,2018,2018-08-24,9140,2018-08-16,1520,017928,,4,2,9,3200,0,1,3,,2,051,"SR-32 (MAIN ST)","MYRTLE ST.",134.00,W,N,A,-,Y,,,,,,,,,,N,3,0,1,2,C,-,18,,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",40.307968139648438,-121.23062896728516,PLUMAS,UNINCORPORATED,,
90877937,2018,2018-12-07,9140,2018-12-03,0200,015598,,1,3,9,3200,0,3,5,,2,050,"COUNTY ROAD A13","PARKSIDE WAY",445.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,C,H,-,D,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",40.274311065673828,-121.09417724609375,PLUMAS,UNINCORPORATED,-121.09422302246094,40.274280548095703
91377617,2020,2020-12-30,9165,2020-12-24,0853,018032,,4,1,9,3200,0,1,3,,2,011,"SR-70 (E. MAIN STREET)","FAIRGROUNDS RD.",0.00,,Y,A,-,Y,,,70,,,,,,,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",39.934661865234375,-120.9150390625,PLUMAS,UNINCORPORATED,-120.9150390625,39.934661865234375
6515814,2014,2015-02-13,9165,2014-06-03,0923,019416,,2,1,9,3200,0,1,3,,2,041,"RT 89","RT 147",5808.00,S,N,A,-,Y,PLU,2,89,-,-,28.250,H,-,S,N,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,PLUMAS,UNINCORPORATED,-121.05319932,40.176774719999997
6764173,2014,2015-02-02,9165,2014-12-06,1850,20692,,6,2,9,3200,0,3,5,,2,005,"BONTA ST","GREEN BRIDGE",15.00,W,N,B,-,N,,,,,,,,,,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,PLUMAS,UNINCORPORATED,,
90690624,2018,2018-03-27,9165,2018-03-26,1417,019392,,1,2,9,3200,0,3,5,,2,001,"QUINCY JUNCTION RD",SR-70,465.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",39.939369201660156,-120.93782806396484,PLUMAS,UNINCORPORATED,-120.93782806396484,39.939369201660156
90867441,2018,2018-11-26,9165,2018-11-17,1527,018600,,6,2,9,3200,0,1,3,,2,050,SR-89,"CLIO STATE 40A RD",147.00,S,N,A,-,Y,,,89,,,,,,,N,3,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",39.740119934082031,-120.57996368408203,PLUMAS,UNINCORPORATED,-120.57997894287109,39.740085601806641
91857165,2022,2022-09-05,9165,2022-08-27,1300,018046,,6,1,9,3200,0,3,5,,2,002,"BUCKS LAKE ROAD","BUCKLIN ROAD",1584.00,W,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",39.865371704101562,-121.19980621337891,PLUMAS,UNINCORPORATED,-121.19914245605469,39.865474700927734
