CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6459661,2014,2014-08-08,9266,2014-05-08,2240,19717,,4,3,9,3900,0,2,4,,1,016,"GRANT LINE RD","BERRY AV",100.00,E,N,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.754040000000003,-121.35754,"SAN JOAQUIN",UNINCORPORATED,-121.35775547,37.754095390000003
6469176,2014,2015-09-03,9265,2014-03-01,0610,018289,,6,1,9,3900,0,1,3,,1,062,"JAHANT RD","RT 99",2112.00,E,N,B,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,E,N,E,I,A,B,H,-,B,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.203809999999997,-121.2552,"SAN JOAQUIN",UNINCORPORATED,-121.2632,38.204079999999998
6482360,2014,2014-06-10,3900,2014-05-06,1125,9958,3900,2,5,2,3920,0,0,0,,0,009,"LOUISE AV","OLD HARLAN RD",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN JOAQUIN",LATHROP,-121.29383999,37.811799899999997
6523921,2014,2014-07-21,9266,2014-04-30,0040,013668,,3,3,9,3900,0,2,4,,2,031,"GRANT LINE RD","MOUNTAIN HOUSE PKWY",30.00,W,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,08,22107,,N,D,C,A,A,H,-,D,A,0,,,,,Y,,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",37.758009999999999,-121.53173,"SAN JOAQUIN",UNINCORPORATED,-121.53181349,37.757943730000001
6565280,2014,2014-08-25,9265,2014-07-05,0755,16479,,6,1,9,3900,0,1,3,,1,041,"HOLT RD","MCDONALD RD",39.00,S,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.927509999999998,-121.41153,"SAN JOAQUIN",UNINCORPORATED,-121.42213,37.955502889999998
6625836,2014,2016-01-13,9265,2014-08-03,1610,019182,,7,2,9,3900,0,3,5,,2,010,"MURPHY RD","MELLO RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,22450,A,F,D,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",37.772199999999998,-121.1063,"SAN JOAQUIN",UNINCORPORATED,-121.1063599,37.772219929999999
94739518,2025,2025-06-25,9265,2025-06-18,"632 ",022798,,3,1,9,3900,0,3,5,,2,010,"RIVER RD","CARROLTON RD",1085.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,N,E,8,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.757961273193359,-121.072998046875,"SAN JOAQUIN",UNINCORPORATED,-121.07300567626953,37.758029937744141
94772603,2025,2025-08-04,9266,2025-07-16,"555 ",019865,,3,3,9,3900,0,1,1,,2,021,"I-580 W/B","TRACY BLVD",5280.00,E,N,A,-,Y,SJ,,580," "," ",5.659,H,,R,Y,4,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,0,1,0,0,0,0,0,1,"- ","- ",37.650470733642578,-121.4210205078125,"SAN JOAQUIN",UNINCORPORATED,-121.42101287841797,37.650478363037109
94795218,2025,2025-08-08,9265,2025-08-01,"750 ",024320,,5,1,9,3900,0,1,1,,2,504,"I-5 S/B","MARCH LN",735.00,N,N,A,-,Y,SJ,,5," "," ",30.154,H,,L,N,4,0,1,2,A,-,08,22107,,N,B,2,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.986579895019531,-121.34445953369141,"SAN JOAQUIN",UNINCORPORATED,-121.34442138671875,37.986591339111328
94448565,2024,2024-10-29,9265,2024-10-14,"440 ",023223,,1,3,2,3920,0,1,3,,2,025,"SR-120 W/B","GUTHMILLER RD",70.00,W,N,A,-,Y,SJ,,120," ",R,1.323,H,,L,N,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.789520263671875,-121.28739929199219,"SAN JOAQUIN",LATHROP,-121.28739166259766,37.789531707763672
94459307,2024,2024-11-05,9265,2024-10-25,1805,023185,,5,2,9,3900,0,2,S,,2,034,"EL DORADO ST","HURD RD",15.00,W,N,A,-,N,,,,,,,,,,Y,3,0,2,2,D,-,00,,,N,D,C,A,A,H,-,A,D,0,,,,Y,Y,,-,"- ",0,1,1,0,0,0,0,0,0,"- ","- ",37.879570007324219,-121.2760009765625,"SAN JOAQUIN",UNINCORPORATED,-121.276123046875,37.879638671875
94509669,2024,2024-12-19,9265,2024-12-12,"930 ",022798,,4,1,5,3902,0,1,3,,2,006,"SR-99 N/B","TURNER RD",545.00,N,N,B,-,Y,SJ,,99," "," ",31.684,H,,R,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,B,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.147308349609375,-121.26106262207031,"SAN JOAQUIN",LODI,-121.26114654541016,38.147308349609375
94640957,2025,2025-04-08,9265,2025-03-17,1650,024262,,1,2,9,3900,0,3,5,,2,010,"CLARK RD","S 99 FRONTAGE ROAD",510.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,F,8,A,A,H,-,A,D,0,,,,,Y,,A,01,1,1,0,0,0,0,0,0,0,"- ","- ",37.919559478759766,-121.22648620605469,"SAN JOAQUIN",UNINCORPORATED,-121.22882843017578,37.919521331787109
94646539,2025,2025-04-11,9266,2025-04-05,1602,019091,,6,2,9,3900,0,2,4,,1,023,"S. CHRISMAN RD","DURHAM FERRY RD",55.00,N,N,A,-,N,,,,,,,,,,Y,3,0,4,1,C,-,18,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,2,2,0,0,0,0,0,0,"- ","- ",37.667369842529297,-121.39785766601562,"SAN JOAQUIN",UNINCORPORATED,-121.39783477783203,37.667282104492188
94673291,2025,2025-05-02,9265,2025-04-29,"843 ",022365,,2,1,9,3900,0,1,1,,2,503,"I-5 N/B","DOWNING AVE",1162.00,S,N,A,-,Y,SJ,,5," ",R,23.436,H,,R,N,3,0,2,2,A,-,03,22350,,M,C,C,A,A,H,-,A,D,0,,,,,Y,,-,99,0,1,1,0,0,0,0,0,0,"- ","- ",37.909770965576172,-121.28826141357422,"SAN JOAQUIN",UNINCORPORATED,-121.28820037841797,37.909786224365234
92062395,2023,2023-05-05,9265,2023-04-22,1510,021781,,6,2,9,3900,0,1,3,,2,025,"SR-120 E/B","MAIN STREET",20.00,E,N,A,-,Y,SJ,,120," ",R,5.318,H,,R,N,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.783199310302734,-121.21572113037109,"SAN JOAQUIN",UNINCORPORATED,-121.21572113037109,37.783210754394531
92132316,2023,2023-07-31,9265,2023-07-21,2120,021781,,5,2,9,3900,0,1,3,,2,001,"SR-99 S/B","JACK TONE ROAD",1584.00,N,N,A,-,Y,SJ,,99," "," ",2.682,H,,L,N,4,0,7,2,A,-,08,22107,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,7,0,0,0,0,0,0,"- ","- ",37.754920959472656,-121.14752197265625,"SAN JOAQUIN",UNINCORPORATED,-121.14751434326172,37.754928588867188
92133425,2023,2023-08-01,9265,2023-07-27,"500 ",023276,,4,3,9,3900,0,2,4,,1,012,"JACK TONE RD","FRENCH CAMP RD",6336.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.84423828125,-121.14492034912109,"SAN JOAQUIN",UNINCORPORATED,-121.14508819580078,37.84417724609375
92138693,2023,2023-08-08,9265,2023-07-18,1240,022356,,2,1,6,3905,0,1,1,,2,503,"I-5 S/B","CHARTER WAY",300.00,S,N,A,-,Y,SJ,,5," "," ",25.299,H,,L,N,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.935798645019531,-121.29763031005859,"SAN JOAQUIN",STOCKTON,-121.29754638671875,37.935810089111328
92172719,2023,2023-09-18,9266,2023-09-09,"315 ",021822,,6,3,9,3900,0,1,1,,2,024,"I-5 N/B","DURHAM FERRY ROAD",1000.00,N,N,A,-,Y,SJ,,5," "," ",5.721,H,,R,Y,4,0,1,2,A,-,01,23152,A,N,B,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.670780181884766,-121.34293365478516,"SAN JOAQUIN",UNINCORPORATED,-121.34305572509766,37.670780181884766
94435695,2024,2024-10-17,9265,2024-09-27,1515,021781,,5,2,6,3905,0,1,1,,2,504,"I-5 N/B","BENJAMIN HOLT DR",5280.00,S,N,A,-,Y,SJ,,5," "," ",30.397,H,,R,N,4,0,1,3,A,-,03,22350,,M,C,C,A,A,H,-,A,D,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",37.990108489990234,-121.34539794921875,"SAN JOAQUIN",STOCKTON,-121.34545135498047,37.990097045898438
91879149,2022,2022-09-30,9265,2022-09-23,0825,015490,,5,1,9,3900,0,3,5,,2,060,"SR-99 E. FRONTAGE RD.","SR-99 N/B OFF RAMP TO EIGHT MILE RD.",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",38.056301116943359,-121.25778198242188,"SAN JOAQUIN",UNINCORPORATED,-121.23163604736328,37.927028656005859
