CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6642975,2014,2016-06-22,9165,2014-10-05,2311,013901,,7,3,9,4600,0,1,3,,2,072,"RT 49","PLUMAS/SIERRA COUNTY LINE",1056.00,S,N,A,-,Y,SIE,3,49,-,-,63.930,H,-,S,Y,4,0,1,1,C,-,18,,,N,H,H,A,A,H,-,D,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",39.705440000000003,-120.22181999999999,SIERRA,UNINCORPORATED,-120.22176823,39.706302800000003
90394632,2017,2017-02-16,9222,2017-02-12,0610,019294,,7,1,9,4600,0,1,1,,2,025,"I-80 WB",STATELINE,528.00,W,N,C,-,Y,,,80,,,,,,W,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,D,G,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",39.467750000000002,-120.00333000000001,SIERRA,UNINCORPORATED,-120.00331626000001,39.467739940000001
90696079,2018,2018-04-03,9165,2018-03-30,1115,018600,,5,1,9,4600,0,1,3,,2,074,SR-89,SR-49,528.00,S,N,A,-,Y,,,89,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.620220184326172,-120.43531036376953,SIERRA,UNINCORPORATED,-120.43523406982422,39.620212554931641
91168115,2020,2020-01-20,9165,2020-01-16,1845,018600,,4,2,9,4600,0,1,3,,2,073,SR-49,SR-89,19008.00,S,N,B,D,Y,,,49,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,C,E,-,D,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",39.627490997314453,-120.46230316162109,SIERRA,UNINCORPORATED,-120.46230316162109,39.627468109130859
91508666,2021,2021-06-29,9222,2021-06-21,1155,016852,,1,1,9,4600,0,1,3,,1,027,"STATE ROUTE 89 NORTH","LOWER LITTLE TRUCKEE CAMPGROUND ROAD",35.00,S,N,A,-,Y,,,89,,,,,,,Y,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",39.486091613769531,-120.23651885986328,SIERRA,UNINCORPORATED,-120.23652648925781,39.486080169677734
90754250,2018,2018-06-25,9165,2018-06-16,1340,020692,,6,1,9,4600,0,1,3,,2,074,SR-89,"USFS 21N02",3168.00,S,N,A,-,Y,,,89,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",39.699558258056641,-120.52561187744141,SIERRA,UNINCORPORATED,-120.52560424804688,39.699562072753906
91505225,2021,2021-06-24,9230,2021-06-07,1845,017889,,1,2,9,4600,0,1,3,,1,091,SR-49,"BRANDY CITY RD",389.00,N,N,A,-,Y,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.579319000244141,-120.995361328125,SIERRA,UNINCORPORATED,-120.99669647216797,39.519309997558594
94420913,2024,2024-10-07,9222,2024-09-29,2140,022961,,7,2,9,4600,0,1,1,,2,025,"I-80 W/B","NEVADA COUNTY LINE",300.00,E,N,A,-,Y,SIE,,80," "," ",0.135,H,,L,Y,4,0,2,1,A,-,01,23152,A,N,F,J,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",39.447181701660156,-120.00984954833984,SIERRA,UNINCORPORATED,-120.00985717773438,39.447181701660156
92166750,2023,2023-09-11,9165,2023-09-04,1818,019583,,1,2,9,4600,0,1,3,,2,074,SR-89,"BECKWOURTH-CALPINE RD",3696.00,S,N,A,-,Y,SIE,,89," "," ",18.331,H,,R,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.605819702148438,-120.42079925537109,SIERRA,UNINCORPORATED,-120.42081451416016,39.605819702148438
6894532,2015,2016-12-17,9230,2015-04-05,1010,019235,,7,1,9,4600,0,1,3,,1,092,"RT 49","FORNIER RANCH RD",1584.00,N,N,B,D,Y,SIE,3,49,-,-,25.680,H,-,N,Y,3,0,2,2,A,-,03,22350,,N,A,C,A,C,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",39.564770000000003,-120.69714999999999,SIERRA,UNINCORPORATED,-120.69937090000001,39.565079269999998
