CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290297,2014,2015-12-23,4803,2014-03-16,0937,504,,7,5,5,4803,0,0,0,,0,,"WEST TEXAS ST","5TH ST",19.00,E,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,Y,D,22,0,0,0,1,0,0,0,0,0,"- ","- ",,,SOLANO,FAIRFIELD,-122.06065382,38.249270000000003
6342599,2014,2014-06-16,9365,2014-01-17,0930,017233,,5,1,9,4800,0,3,5,,2,040,"HACKMAN RD","SIKES RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,3,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,,G,27,0,0,3,0,0,0,0,0,0,"- ","- ",38.2941,-121.4222,SOLANO,UNINCORPORATED,-121.74900992000001,38.452499940000003
6485717,2014,2014-07-26,9365,2014-05-06,1330,15549,,2,1,9,4800,0,1,A,,2,030,"BINGHAMPTON RD","PEDRICK RD",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,2,0,0,0,0,0,0,"- ","- ",38.351370000000003,-121.80477999999999,SOLANO,UNINCORPORATED,-121.80472989,38.351239960000001
6635938,2014,2014-10-09,4806,2014-09-19,1250,553,,5,5,5,4806,0,0,0,,0,,"N ALAMO DR","PEABODY RD",150.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,SOLANO,VACAVILLE,-121.96993691999999,38.335389999999997
6671035,2014,2016-05-09,4802,2014-08-01,1614,1211,4802,5,5,3,4802,0,0,0,,0,003,"N 1ST ST","INDUSTRIAL WY",0.00,,Y,A,-,Y,SOL,4,113,-,-,20.220,I,5,N,N,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,SOLANO,DIXON,-121.82239921,38.458909830000003
6729866,2014,2015-01-14,4803,2014-11-14,0737,796,NSOLA,5,5,5,4803,0,0,0,,0,00E,"CEMENT HILL RD","GULF DR",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,F,G,B,B,A,H,-,B,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,SOLANO,FAIRFIELD,-122.02065996,38.279859909999999
91919180,2022,2022-11-16,9365,2022-11-07,2017,020834,,1,2,6,4807,0,1,3,,2,370,SR-37,"WILSON AVE",479.00,E,N,A,-,Y,SOL,,37,,R,8.098,H,,R,N,4,0,1,3,A,-,03,22350,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.122718811035156,-122.27410125732422,SOLANO,VALLEJO,-122.27409362792969,38.122707366943359
91949580,2022,2022-12-22,9365,2022-12-21,1140,015293,,3,1,6,4807,0,1,1,,2,086,"I-80 W/B","NUT TREE ROAD OVERCROSSING",898.00,W,N,B,-,Y,SOL,,80,,R,27.864,H,,L,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,D,-,A,D,0,,,,,Y,,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",38.368068695068359,-121.95990753173828,SOLANO,VALLEJO,-121.95995330810547,38.36810302734375
92091405,2023,2023-06-12,9365,2023-05-31,1700,021609,,3,2,6,4807,0,3,5,,2,010,"OLD GLEN COVE ROAD","FULTON AVENUE",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,B,M,D,C,A,A,H,-,A,A,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",38.082080841064453,-122.21366882324219,SOLANO,VALLEJO,-122.21356201171875,38.082088470458984
92282218,2023,2024-01-08,9365,2023-12-28,"415 ",023294,,4,3,5,4803,0,1,1,,2,083,"I-80 W/B TO I-680 S/B","LOPES RD",784.00,W,N,B,-,Y,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,D,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.217830657958984,-122.13746643066406,SOLANO,FAIRFIELD,-122.13746643066406,38.217830657958984
92330508,2024,2024-03-05,9365,2024-02-24,1835,022614,,6,2,9,4800,0,1,3,,2,122,"SR-12 E/B","SCALLY RD",0.00,,Y,A,-,Y,SOL,,12," "," ",8.892,H,,R,Y,4,0,2,2,A,-,09,21800,A,N,B,C,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",38.228511810302734,-121.97030639648438,SOLANO,UNINCORPORATED,-121.97030639648438,38.228507995605469
90922279,2019,2019-02-08,9365,2019-02-06,1330,017746,,3,1,6,4807,0,1,1,,2,081,"I-80 E/B","TENNESSEE ST",1790.00,E,N,A,-,Y,,,80,,,,,,E,Y,4,0,1,2,A,-,08,22107,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",38.116889953613281,-122.22991943359375,SOLANO,VALLEJO,-122.23005676269531,38.116878509521484
91691082,2022,2022-02-01,9365,2022-01-27,0600,015293,,4,1,9,4800,0,1,1,,2,088,"I-80 E/B","WEST A STREET",5280.00,W,N,A,-,Y,SOL,,80,,,33.990,H,,R,Y,3,0,1,2,A,-,01,23152,F,M,C,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.429950714111328,-121.87922668457031,SOLANO,UNINCORPORATED,-121.87922668457031,38.429946899414062
