CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6990558,2015,2017-01-09,9360,2015-07-06,1430,015434,,1,2,9,4900,0,1,3,,1,041,"RT 12","DUNBAR RD",528.00,W,N,A,-,Y,SON,4,12,-,-,28.780,H,-,E,Y,2,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",38.392049999999998,-122.52992999999999,SONOMA,UNINCORPORATED,-122.52935251,38.391642930000003
7037218,2015,2015-09-02,4905,2015-07-24,1540,SR394,10606,5,5,6,4905,0,0,0,,0,006,"TOWNVIEW AV","TOWNVIEW LN",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,22450,A,M,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,SONOMA,"SANTA ROSA",-122.68587991,38.435229909999997
7088776,2015,2015-10-13,4905,2015-08-16,1752,SR5959,10602,7,5,6,4905,0,0,0,,0,002,"MENDOCINO AV","RIDGWAY AV",100.00,S,N,A,-,N,,,,,,,,,,N,3,0,4,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,3,0,0,0,0,0,0,"- ","- ",,,SONOMA,"SANTA ROSA",-122.7175867,38.449895359999999
7117545,2015,2015-12-10,4905,2015-08-15,0714,SR8906,10609,6,5,6,4905,0,0,0,,0,009,"3RD ST","D ST",20.00,W,N,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,SONOMA,"SANTA ROSA",-122.71184048000001,38.44036251
8017451,2016,2016-04-19,4908,2016-04-09,0308,2676,3,6,5,5,4908,0,0,0,,0,002,"PETALUMA BL NORTH","CRYSTAL LN",0.00,,Y,C,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,A,J,A,B,H,-,C,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,SONOMA,PETALUMA,-122.61789987,38.227289890000002
8026357,2016,2016-04-25,4903,2016-04-16,1733,1448,2,6,5,3,4903,0,0,0,,0,,"HEALDSBURG AV","GRANT ST",7.00,E,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,08,22107,,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,SONOMA,HEALDSBURG,-122.87196,38.615850000000002
94905841,2025,2025-10-28,9360,2025-10-16,1723,024625,,4,2,9,4900,0,2,4,,2,056,"STONY POINT ROAD","MILLBRAE AVENUE",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",38.369529724121094,-122.74143981933594,SONOMA,UNINCORPORATED,-122.74138641357422,38.369503021240234
94990210,2025,2025-12-29,9325,2025-12-19,1200,024629,,5,1,9,4900,0,2,4,,2,054,"ARNOLD DR","SPERRING RD",7920.00,N,N,C,-,Y,,,,,,,,,,Y,4,0,1,2,A,-,09,21804,A,N,D,C,A,B,H,-,A,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",38.280319213867188,-122.49153137207031,SONOMA,UNINCORPORATED,-122.49142456054688,38.297931671142578
91796655,2022,2022-06-16,9325,2022-06-13,0820,015176,,1,1,9,4900,0,1,3,,1,063,SR-12,"W. THOMSON AVE.",50.00,E,N,A,-,Y,SON,,12,,,35.468,H,,R,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.309429168701172,-122.47914123535156,SONOMA,UNINCORPORATED,-122.47921752929688,38.309402465820312
94388690,2024,2024-09-10,9360,2024-08-29,1450,019359,,4,2,6,4905,0,1,3,,1,051,"SR-12 E/B","GORDON LANE",630.00,E,N,A,-,Y,SON,,12," ",R,17.228,H,,R,Y,3,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,1,1,0,0,0,0,0,0,"- ","- ",38.434558868408203,-122.69394683837891,SONOMA,"SANTA ROSA",-122.69394683837891,38.434551239013672
