CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6367419,2014,2014-06-10,9425,2014-01-27,0030,19287,,1,3,9,5500,0,3,5,,2,002,"SHAWS FLAT RD","RT 49",1056.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.014290000000003,-120.40455,TUOLUMNE,UNINCORPORATED,-120.4033525,38.00875911
6413794,2014,2016-02-24,9425,2014-02-19,1610,013869,,3,2,9,5500,0,1,3,,1,021,"RT 108","STOCKTON ST",792.00,E,N,A,-,Y,TUO,10,108,-,R,0.140,H,-,E,Y,4,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",,,TUOLUMNE,UNINCORPORATED,-120.39147873,37.965269540000001
6517245,2014,2014-08-08,9425,2014-06-01,1155,12786,,7,1,9,5500,0,2,4,,2,026,"MONO WY","HESS AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,TUOLUMNE,UNINCORPORATED,-120.33538986000001,37.978829990000001
9253061,2020,2021-04-19,5501,2020-09-17,1124,JB2,5501,4,5,2,5501,0,0,0,,0,001,"SANGUINETTI RD","SANGUINETTI LOOP",300.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.974288940429688,-120.36107635498047,TUOLUMNE,SONORA,-120.37104034423828,37.973800659179688
90032171,2015,2015-10-19,9425,2015-10-14,1641,016886,,3,2,9,5500,0,1,3,,2,041,SR-120,"PRIEST COULTERVILLE ROAD",1584.00,W,N,A,-,Y,,,120,,,,,,,N,3,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,2,0,0,0,0,0,0,2,"- ","- ",37.818129999999996,-120.27252,TUOLUMNE,UNINCORPORATED,-120.27253404,37.818075
90198438,2016,2016-06-09,9425,2016-06-07,1740,019287,,2,2,9,5500,0,1,3,,2,022,SR-49,"SPRINGFIELD RD",20.00,N,N,A,-,Y,,,49,,,,,,,Y,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",38.011420000000001,-120.41802,TUOLUMNE,UNINCORPORATED,-120.41802086,38.011423149999999
91646283,2021,2021-12-08,9425,2021-12-01,1210,017822,,3,1,9,5500,0,3,5,,2,003,"STATE ROUTE 108","N. SUNSHINE ROAD",0.00,,Y,A,-,Y,,,108,,,,,,,Y,3,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,2,0,0,0,0,0,0,0,"- ","- ",37.991630554199219,-120.27715301513672,TUOLUMNE,UNINCORPORATED,-120.27716064453125,37.991657257080078
93395132,2024,2024-08-02,9425,2024-05-31,1709,016886,,5,2,9,5500,0,3,5,,1,004,"BONDS FLAT ROAD","LA GRANGE ROAD",838.00,S,N,A,-,N,,,,,,,,,,Y,1,4,0,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",37.714859008789062,-120.4427490234375,TUOLUMNE,UNINCORPORATED,-120.44273376464844,37.714893341064453
94531947,2025,2025-01-09,9425,2025-01-06,"543 ",018671,,1,3,9,5500,0,2,4,,2,014,J59,"OL DON PEDRO ROAD",75.00,N,N,A,-,Y,,,,,,,,,,Y,4,0,2,2,A,-,05,21460,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.826610565185547,-120.47428131103516,TUOLUMNE,UNINCORPORATED,,
90401427,2017,2017-02-28,9425,2017-02-26,0850,019773,,7,1,9,5500,0,2,4,,2,026,"MONO WAY","E/B SR-108 TO MONO WAY",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.976030000000002,-120.35661,TUOLUMNE,UNINCORPORATED,-120.35675526,37.97617262
