CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6748013,2014,2016-06-29,9280,2014-11-27,1145,017874,,4,1,4,5704,0,1,1,,2,010,"RT 50","HARBOR BL",1320.00,E,N,A,-,Y,YOL,3,50,-,-,1.450,H,-,W,Y,2,0,4,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,01,1,0,3,0,0,0,0,0,0,"- ","- ",38.575000000000003,-121.54413,YOLO,"WEST SACRAMENTO",-121.54411521,38.575133469999997
6804854,2014,2015-02-13,5704,2014-12-16,1630,00158,WSDP,2,5,4,5704,0,0,0,,0,002,"HARBOR BL","WEST CAPITOL AV",100.00,N,N,B,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21804,,N,F,C,A,A,H,-,B,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,YOLO,"WEST SACRAMENTO",-121.54896522,38.579518190000002
6854026,2014,2015-03-20,5702,2014-11-09,1114,531,5702,7,5,2,5702,0,0,0,,0,00C,"RAILROAD AV","NIEMANN ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,-,,0,0,0,0,0,0,0,0,0,"- ","- ",,,YOLO,WINTERS,-121.97110995,38.530909979999997
7098675,2015,2015-10-20,5701,2015-10-01,2208,91,2,4,5,5,5701,0,0,0,,0,001,"ANDERSON RD","8TH ST",50.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,N,H,I,A,A,H,-,C,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",38.550789999999999,-121.75867,YOLO,DAVIS,-121.7587,38.550662680000002
8163908,2016,2017-03-01,5704,2016-10-16,1645,00165,,7,5,4,5704,0,0,0,,0,002,"HARBOR BL","RT 50",0.00,,Y,A,-,Y,YOL,3,50,-,-,1.342,R,4,E,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ",EO,,,YOLO,"WEST SACRAMENTO",-121.54612023,38.574972170000002
8313110,2017,2017-03-29,5702,2017-02-13,1829,522,,1,5,2,5702,0,0,0,,0,,"MAIN ST","RAILROAD AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,2,3,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,-,,0,0,2,0,2,0,0,0,0,"- ","- ",,,YOLO,WINTERS,-121.96888993,38.52186992
91372925,2020,2021-05-27,9280,2020-12-12,1825,018157,,6,2,9,5700,0,1,1,,2,020,"N/B I-5","COUNTY ROAD 96",2000.00,N,N,B,-,Y,,,5,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,B,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.764209747314453,-121.84607696533203,YOLO,UNINCORPORATED,-121.84599304199219,38.764297485351562
91438728,2021,2021-05-27,9280,2021-03-21,2135,021277,,7,2,9,5700,0,1,1,,2,031,"I-505 N/B","COUNTY ROAD 14",5174.00,N,N,A,-,Y,,,505,,,,,,N,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",38.791431427001953,-121.94349670410156,YOLO,UNINCORPORATED,-121.94359588623047,38.791450500488281
91474698,2021,2021-05-27,9280,2021-03-21,0410,018034,,7,3,9,5700,0,3,5,,2,001,"COUNTY ROAD 36","COUNTY ROAD 106",20.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.487228393554688,-121.65868377685547,YOLO,UNINCORPORATED,-121.65879058837891,38.487190246582031
91497846,2021,2021-06-15,9280,2021-06-03,1538,018316,,4,2,9,5700,0,1,1,,2,030,"I-5 N/B","COUNTY ROAD 12",5808.00,N,N,A,-,Y,,,5,,,,,,N,Y,2,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",38.823040008544922,-121.90808868408203,YOLO,UNINCORPORATED,-121.90803527832031,38.823093414306641
90885349,2018,2018-12-18,9280,2018-11-21,1432,013927,,3,2,9,5700,0,1,1,,2,010,"I-80 W/B","REED AVE",43.00,E,N,C,-,Y,,,,,,,,,,Y,3,0,1,4,A,-,03,22350,,N,C,C,A,B,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",38.592201232910156,-121.55210113525391,YOLO,UNINCORPORATED,-121.55234527587891,38.592044830322266
90918747,2019,2019-02-04,9280,2019-01-20,1235,013927,,7,1,9,5700,0,1,3,,2,034,"SR-16 W/B",CR-78,634.00,E,N,B,-,Y,,,16,,,,,,W,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",38.73809814453125,-122.14630126953125,YOLO,UNINCORPORATED,-122.14633178710938,38.738040924072266
91130894,2019,2019-11-27,9280,2019-11-19,1605,016929,,2,2,9,5700,0,1,1,,2,020,"I-5 S/B","OLD RIVER ROAD",4224.00,N,N,A,-,Y,,,5,,,,,,S,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.673240661621094,-121.64256286621094,YOLO,UNINCORPORATED,-121.64256286621094,38.673236846923828
91206133,2020,2020-03-11,9280,2020-03-03,1650,018352,,2,2,5,5701,0,1,1,,2,010,"I-80 E/B","WEBSTER U/C",4570.00,W,N,A,-,Y,,,,,,,,,,Y,4,0,1,4,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.560588836669922,-121.65428161621094,YOLO,DAVIS,,
91229026,2020,2020-04-23,9280,2020-04-17,1205,016289,,5,1,5,5701,0,1,1,,2,010,"I-80 E/B","MACE BOULEVARD",6864.00,E,N,B,-,Y,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,D,H,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",38.558078765869141,-121.67111206054688,YOLO,DAVIS,-121.67152404785156,38.558010101318359
91254014,2020,2020-06-18,9280,2020-06-11,1030,017964,,4,1,9,5700,0,1,3,,2,034,"STATE ROUTE 16","RUMSEY CANYON RD",250.00,W,N,A,-,Y,,,16,,,,,,,N,3,0,2,2,A,-,03,22350,,F,C,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",38.893310546875,-122.24561309814453,YOLO,UNINCORPORATED,-122.24561309814453,38.893310546875
9423019,2022,2022-03-28,5704,2022-03-03,1450,06225,,4,5,4,5704,0,0,0,,0,002,"HARBOR BL","WEST CAPITOL AV",643.00,N,N,A,-,N,,,,,,,,,,,3,0,1,2,A,-,09,21804,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",38.579261779785156,-121.54868316650391,YOLO,"WEST SACRAMENTO",-121.54846954345703,38.580959320068359
9447665,2022,2022-10-06,5701,2022-08-18,1211,229,4,4,5,5,5701,0,0,0,,0,002,"E 8TH ST","B ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,3,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,2,1,0,0,0,0,0,0,"- ","- ",38.550678253173828,-121.74635314941406,YOLO,DAVIS,-121.74636077880859,38.550670623779297
9494669,2022,2022-09-29,5704,2022-09-20,0542,06234,,2,5,4,5704,0,0,0,,0,,"JEFFERSON BL","PARK BL",0.00,,Y,B,C,N,,,,,,,,,,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",38.576229095458984,-121.52481079101562,YOLO,"WEST SACRAMENTO",-121.52484130859375,38.576240539550781
9546950,2023,2023-03-03,5704,2023-01-18,1457,06700,,3,5,4,5704,0,0,0,,0,002,"INDUSTRIAL BL","BOATMAN AV",560.00,W,N,B,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21804,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",38.566608428955078,-121.5452880859375,YOLO,"WEST SACRAMENTO",-121.54679107666016,38.567676544189453
90692836,2018,2018-03-29,9280,2018-03-28,0800,017883,,3,1,9,5700,0,3,5,,2,002,"COUNTY ROAD 99","ASPEN ST",905.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.695461273193359,-121.78379821777344,YOLO,UNINCORPORATED,-121.78387451171875,38.695323944091797
90853357,2018,2018-11-05,9280,2018-10-22,0835,013927,,1,1,9,5700,0,1,1,,2,010,"I-80 W/B","REED AVE",1056.00,W,N,A,-,Y,,,,,,,,,,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.587600708007812,-121.55519866943359,YOLO,UNINCORPORATED,-121.55413055419922,38.589370727539062
8721764,2018,2019-01-18,5704,2018-10-16,1748,06052,WSPD,2,5,4,5704,0,0,0,,0,001,"REED AV","RT 80",0.00,,Y,A,-,Y,YOL,3,80,-,R,10.990,R,4,W,Y,4,0,2,4,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,2,0,0,0,0,0,0,"- ",WO,,,YOLO,"WEST SACRAMENTO",-121.55440521240234,38.589000701904297
8848668,2019,2019-04-30,5704,2019-04-10,1033,06197,,3,5,4,5704,0,0,0,,0,002,"JEFFERSON BL","TOWER BRIDGE GATEWAY W",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.578330993652344,-121.52568054199219,YOLO,"WEST SACRAMENTO",-121.525612,38.578291
8949835,2019,2020-09-17,5704,2019-09-20,1344,00166,5704,5,5,4,5704,0,0,0,,0,002,"HARBOR BL","RT 50",0.00,,Y,A,-,Y,YOL,3,50,-,-,1.342,R,4,E,Y,4,0,2,2,A,-,09,21453,C,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ",EO,38.572738647460938,-121.54855346679688,YOLO,"WEST SACRAMENTO",-121.54611968994141,38.574974060058594
9009148,2019,2020-02-14,5704,2019-12-10,1743,06197,,2,5,4,5704,0,0,0,,0,002,"ENTERPRISE BL","LAKE RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,21453,A,N,A,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",38.572158813476562,-121.57830047607422,YOLO,"WEST SACRAMENTO",-121.57833099365234,38.572208404541016
9163058,2020,2020-12-04,5704,2020-09-23,1059,06015,,3,5,4,5704,0,0,0,,0,002,"HARBOR BL","RT 50",0.00,,Y,A,-,Y,YOL,3,50,-,-,1.342,R,4,E,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,Y,Y,,G,25,0,0,1,0,0,0,0,0,0,"- ",EO,38.572738647460938,-121.54855346679688,YOLO,"WEST SACRAMENTO",-121.54611968994141,38.574974060058594
9353561,2021,2021-11-15,5704,2021-10-19,1216,06616,,2,5,4,5704,0,0,0,,0,002,"HARBOR BL","RT 50",60.00,S,N,A,-,Y,YOL,3,50,-,-,1.342,R,4,E,Y,4,0,1,2,A,-,08,22107,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ",EO,38.572288513183594,-121.54859161376953,YOLO,"WEST SACRAMENTO",-121.54611968994141,38.574974060058594
92163278,2023,2023-09-06,9280,2023-08-26,"740 ",018316,,6,1,4,5704,0,1,1,,2,010,"I-80 W/B","ENTERPRISE BLVD.",2534.00,E,N,A,-,Y,YOL,,80," ",R,9.711,H,,L,Y,4,0,1,1,C,-,18,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",38.575771331787109,-121.5684814453125,YOLO,"WEST SACRAMENTO",-121.56847381591797,38.575725555419922
92296989,2024,2024-01-25,9280,2024-01-18,"650 ",015353,,4,1,9,5700,0,1,3,,2,022,"SR-113 S/B","HUTCHINSON DR",1048.00,S,N,B,-,Y,YOL,,113," ",R,0.202,H,,L,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",38.533779144287109,-121.76866149902344,YOLO,UNINCORPORATED,-121.7686767578125,38.533779144287109
92335104,2024,2024-03-11,9280,2024-03-09,"412 ",021510,,6,3,4,5704,0,1,1,,2,010,"I-80 E/B","REED AVENUE",5808.00,W,N,A,-,Y,YOL,,80," ",R,10.127,H,,R,Y,4,0,1,1,A,-,08,22107,,N,E,J,A,A,D,-,D,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.577850341796875,-121.56160736083984,YOLO,"WEST SACRAMENTO",-121.56156921386719,38.577831268310547
92352430,2024,2024-04-02,9280,2024-04-01,"806 ",016042,,1,1,4,5704,0,1,2,,2,011,"US-50 W/B","1-80 E/B O/C",1561.00,E,N,A,-,Y,YOL,,50," "," ",0.749,H,,L,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,D,E,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",38.575199127197266,-121.55712127685547,YOLO,"WEST SACRAMENTO",-121.55711364746094,38.575241088867188
94846126,2025,2025-10-16,9280,2025-09-01,1833,021510,,1,2,9,5700,0,1,1,,2,020,"I-5 N/B",CR-22,2640.00,N,N,A,-,Y,YOL,,5," "," ",1.084,H,,R,Y,4,0,1,3,A,-,03,22350,,N,C,2,A,A,C,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.673519134521484,-121.6463623046875,YOLO,UNINCORPORATED,-121.6463623046875,38.673507690429688
94933554,2025,2025-11-17,9280,2025-11-15,1207,021740,,6,1,5,5701,0,1,1,,2,010,"I-80 E/B FROM MACE BLVD. S/B","MACE BLVD.",250.00,W,N,A,-,Y,,,,,,,,,,N,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",38.5518798828125,-121.69561767578125,YOLO,DAVIS,-121.69458770751953,38.552421569824219
90155571,2016,2016-04-12,9280,2016-03-25,2250,017963,,5,3,9,5700,0,1,1,,2,010,"I-80 E/B","WEBSTER RD",4224.00,E,N,A,-,Y,,,80,,,,,,E,Y,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",38.56588,-121.62403,YOLO,UNINCORPORATED,-121.62404324000001,38.565954599999998
90263611,2016,2016-09-08,9280,2016-09-01,1800,015168,,4,2,4,5704,0,1,1,,2,010,"I-80 W/B","ENTERPRISE BLVD",2112.00,E,N,A,-,Y,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",38.572789999999998,-121.51785,YOLO,"WEST SACRAMENTO",-121.57005344,38.57549582
