CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912143,2014,2015-12-21,9240,2014-01-13,0005,14788,,1,3,9,0400,0,3,5,,2,010,"PACIFIC HEIGHTS RD","OPHIR RD",1054.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",39.467010000000002,-121.57729,BUTTE,UNINCORPORATED,-121.58227595,39.463845300000003
5912171,2014,2014-04-03,9240,2014-01-08,1500,13276,,3,2,9,0400,0,1,3,,2,034,"RT 149","RT 99",15.00,N,N,B,-,Y,BUT,3,149,-,M,4.620,H,-,N,Y,1,1,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,TR,TO,39.619390000000003,-121.69079000000001,BUTTE,UNINCORPORATED,-121.68995511,39.620013589999999
5912200,2014,2014-03-11,9241,2014-01-19,1020,13887,,7,1,9,0400,0,2,4,,2,063,"COHASSET RD","MUD CREEK RD",11616.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,G,-,A,D,0,,,Y,,Y,,C,06,0,0,0,0,0,0,0,1,0,"- ","- ",39.97325,-121.70444000000001,BUTTE,UNINCORPORATED,-121.70437376,39.972527790000001
6290050,2014,2014-03-04,9241,2014-01-26,0038,17562,,7,3,9,0400,0,3,5,,2,008,"BIDWELL AV","ROSE AV",1680.00,W,N,A,-,N,,,,,,,,,,Y,1,2,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.724589999999999,-121.86781000000001,BUTTE,UNINCORPORATED,-121.86780362,39.724547450000003
6290060,2014,2014-03-07,9241,2014-02-02,0045,19043,,7,3,9,0400,0,1,3,,2,081,"RT 99","DURHAM-PENTZ RD",1142.00,N,N,A,-,Y,BUT,3,99,-,-,24.080,H,-,N,Y,1,2,3,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,Y,A,07,2,1,0,0,0,0,0,0,0,"- ","- ",39.645240000000001,-121.71988,BUTTE,UNINCORPORATED,-121.71871691,39.644627309999997
6290124,2014,2014-03-13,0402,2014-01-01,0311,3510,,3,5,5,0402,0,0,0,,0,005,"VALLOMBROSA AV","LILA LN",142.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,-,-,"- ",,,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",,,BUTTE,CHICO,-121.80157235999999,39.752654450000001
6290314,2014,2015-12-21,9240,2014-02-26,2500,18396,,3,4,9,0400,0,3,5,,2,010,"SWEDES FLAT RD","STONEY OAKS BL",2640.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,F,I,A,A,H,-,D,A,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.445799999999998,-121.384,BUTTE,UNINCORPORATED,-121.38855341,39.446564309999999
6290460,2014,2015-12-21,9240,2014-03-14,1851,18389,,5,2,9,0400,0,3,5,,2,030,"CHEROKEE RD","RT 70",747.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",39.650750000000002,-121.55101999999999,BUTTE,UNINCORPORATED,-121.55061653,39.651237989999998
6290626,2014,2014-11-25,9240,2014-05-19,1820,14788,,1,2,9,0400,0,1,3,,1,011,"RT 70","OPHIR RD",793.00,N,N,B,-,Y,BUT,3,70,-,-,11.700,H,-,W,Y,1,2,1,2,A,-,05,21651,B,N,A,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",39.46698,-121.57662000000001,BUTTE,UNINCORPORATED,-121.57741921,39.465685970000003
6290654,2014,2015-12-29,9240,2014-05-04,1250,12511,,7,1,9,0400,0,3,5,,2,020,"W EVANS REIMER RD","BLOCK RD",661.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,05,21650,,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.333599999999997,-121.72387000000001,BUTTE,UNINCORPORATED,-121.72284265,39.333636830000003
6291399,2014,2014-10-29,9240,2014-09-01,2125,018967,,1,2,9,0400,0,1,3,,1,011,"RT 70","GOLD RUN CT",137.00,S,N,A,-,Y,BUT,3,70,-,-,8.770,H,-,W,N,1,1,1,2,A,-,08,22107,,N,D,G,A,A,H,-,D,D,0,,Y,,,Y,Y,L,04,0,1,0,0,0,1,0,0,0,"- ","- ",39.430280000000003,-121.60521,BUTTE,UNINCORPORATED,-121.60515984,39.430399219999998
6291451,2014,2014-10-22,9240,2014-08-25,0050,18796,,1,3,9,0400,0,3,5,,2,020,"W LIBERTY RD","FARRIS RD",1353.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.34807,-121.77432,BUTTE,UNINCORPORATED,-121.77676466,39.348017839999997
6291544,2014,2016-01-07,9240,2014-09-06,1045,18796,,6,1,9,0400,0,3,5,,2,040,"FORBESTOWN RD","FORBESTOWN CIR",528.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",39.501359999999998,-121.40709,BUTTE,UNINCORPORATED,-121.40926156,39.501360630000001
6291664,2014,2015-12-30,9240,2014-10-23,1350,13161,,4,1,9,0400,0,1,3,,2,041,"RT 162","ARBOL AV",258.00,W,N,B,-,Y,BUT,3,162,-,-,19.230,H,-,W,Y,1,1,3,2,A,-,05,21460,A,N,A,C,A,B,H,-,A,D,0,,,,,Y,,D,22,3,0,0,0,0,0,0,0,0,"- ","- ",39.505540000000003,-121.51833999999999,BUTTE,UNINCORPORATED,-121.51835151,39.505534040000001
6291807,2014,2015-01-12,9241,2014-11-12,0935,16246,,3,1,9,0400,0,1,3,,1,060,"RT 32","HUMBOLDT RD",0.00,W,N,A,-,Y,BUT,3,32,-,-,14.710,H,-,E,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.755600000000001,-121.73839,BUTTE,UNINCORPORATED,-121.73855097000001,39.75547933
6291937,2014,2015-02-06,9241,2014-12-19,1126,015529,,5,1,9,0400,0,2,4,,2,090,SKYWAY,"MEDIA WY",2371.00,W,N,B,-,N,,,,,,,,,,Y,1,1,1,2,A,-,08,22107,,N,A,C,A,B,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",39.727260000000001,-121.68727,BUTTE,UNINCORPORATED,-121.68683057,39.727446069999999
6292169,2015,2017-04-25,9285,2015-03-11,1835,17393,,3,2,9,0400,0,2,4,,2,082,"LA PORTE RD","UPHAM RD",172.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.420299999999997,-121.36511,BUTTE,UNINCORPORATED,-121.36543795999999,39.420064699999998
6292170,2015,2015-05-15,9240,2015-03-11,1550,18578,,3,2,9,0400,0,3,5,,2,010,"FOOTHILL BL","ORO GARDEN RANCH RD",14.00,S,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.487450000000003,-121.50894,BUTTE,UNINCORPORATED,-121.50890440000001,39.48750313
6292190,2015,2015-05-21,9241,2015-03-28,2202,17319,,6,3,9,0400,0,2,4,,1,082,MIDWAY,"MCFADDEN LN",318.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.694299999999998,-121.7992,BUTTE,UNINCORPORATED,-121.79960584,39.695016590000002
6292215,2015,2015-06-02,0402,2015-03-28,2013,59,CHICO,6,5,5,0402,0,0,0,,0,002,"W 7TH ST","CHESTNUT ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,4,A,-,01,23153,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,Y,A,07,0,1,0,1,0,0,0,0,0,"- ","- ",,,BUTTE,CHICO,-121.84020995,39.724389960000003
