CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290635,2014,2014-06-12,9255,2014-05-24,0943,16918,,6,1,9,0500,0,1,3,,2,031,"RT 26","DEARDORFF RD",1808.00,E,N,A,-,Y,CAL,10,26,-,-,28.970,H,-,E,Y,1,1,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",38.363520000000001,-120.56018,CALAVERAS,UNINCORPORATED,-120.55973702999999,38.365019250000003
6291082,2014,2015-01-05,9255,2014-05-18,1810,20713,,7,2,9,0500,0,2,4,,2,042,"PARROTS FERRY RD","AIROLO RD",1056.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.049509999999998,-120.4704,CALAVERAS,UNINCORPORATED,-120.47187182,38.05428199
6291592,2014,2015-04-14,9255,2014-10-19,2500,16918,,7,4,9,0500,0,3,5,,2,003,"GOLD STRIKE RD","HAWVER RD",1023.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,A,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",38.214219999999997,-120.68769,CALAVERAS,UNINCORPORATED,-120.68690789999999,38.213226409999997
6291607,2014,2014-11-17,9255,2014-10-25,0210,13939,,6,3,9,0500,0,1,3,,1,011,"RT 26","HEINEMANN DR",528.00,W,N,A,-,Y,CAL,10,26,-,-,7.010,H,-,W,N,1,1,0,1,C,-,18,,,N,H,A,A,A,H,-,D,D,0,,,,,Y,Y,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",38.153869999999998,-120.85428,CALAVERAS,UNINCORPORATED,-120.85411408,38.153791679999998
6292138,2015,2017-04-25,9255,2015-02-22,0325,18873,,7,3,9,0500,0,1,3,,2,030,"RT 49","GOLD STRIKE RD",2112.00,S,N,A,-,Y,CAL,10,49,-,R,21.810,H,-,N,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.222799999999999,-120.70088,CALAVERAS,UNINCORPORATED,-120.70104238,38.223231329999997
6292176,2015,2017-04-25,9255,2015-03-25,1515,13556,,3,2,9,0500,0,1,3,,2,030,"RT 49","GOLD RUSH LN",1177.00,S,N,A,-,Y,CAL,10,49,-,-,28.930,H,-,S,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",38.29804,-120.72584000000001,CALAVERAS,UNINCORPORATED,-120.72633018000001,38.298047400000002
6292443,2015,2017-04-06,9255,2015-07-01,2500,20713,,3,4,9,0500,0,3,5,,2,006,"RT 4","BLACK SPRING RD",3696.00,E,N,A,-,Y,CAL,10,4,-,R,55.700,H,-,E,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,B,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.229129999999998,-120.1109,CALAVERAS,UNINCORPORATED,-120.18463438000001,38.382349779999998
6333465,2014,2016-03-05,9255,2014-01-20,1410,018022,,1,2,9,0500,0,1,3,,2,050,"RT 4","OLD HWY 4",0.00,,Y,A,-,Y,CAL,10,4,-,R,47.620,I,5,E,Y,3,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,1,0,0,0,0,0,0,"- ","- ",38.183599999999998,-120.16379999999999,CALAVERAS,UNINCORPORATED,-120.27784319,38.308348500000001
6336559,2014,2014-06-05,9255,2014-01-06,1840,19643,,1,2,9,0500,0,2,4,,2,034,"RAILROAD FLAT RD","JESUS MARIA RD",528.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",38.19173,-120.69607999999999,CALAVERAS,UNINCORPORATED,-120.50459404999999,38.283335950000001
6336678,2014,2016-03-02,9255,2014-01-06,2045,19525,,1,2,9,0500,0,1,3,,1,020,"RT 49","COSGROVE RD",6336.00,N,N,A,-,Y,CAL,10,49,-,-,12.880,H,-,N,Y,3,0,1,1,A,-,03,22350,,N,E,J,A,A,C,-,D,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",38.119340000000001,-120.62076999999999,CALAVERAS,UNINCORPORATED,-120.61971576000001,38.118317910000002
