CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290731,2014,2014-06-17,9155,2014-01-04,2200,16541,,6,3,9,0600,0,2,4,,2,010,"LONE STAR RD","MYERS RD",3904.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.09028,-122.07897,COLUSA,UNINCORPORATED,-122.07886816,39.090198620000002
6291426,2014,2014-10-30,9155,2014-08-23,1510,015996,,6,2,9,0600,0,1,3,,1,021,"RT 20","RT 45",3472.00,W,N,A,-,Y,COL,3,20,-,-,36.130,H,-,E,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.157060000000001,-121.9734,COLUSA,UNINCORPORATED,-121.97310271000001,39.156830900000003
6291542,2014,2014-11-05,0602,2014-09-02,0745,P32,,2,5,2,0602,0,0,0,,0,,"E ST","12TH ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,3,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,1,1,0,0,0,0,"- ","- ",,,COLUSA,WILLIAMS,-122.15626995,39.152439909999998
6326905,2014,2015-11-10,0601,2014-01-02,1720,8330,0601,4,5,2,0601,0,0,0,,0,,"RT 20","FREMONT ST",0.00,,Y,A,-,Y,COL,3,20,-,-,30.639,I,5,E,Y,4,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,D,22,0,0,3,0,0,0,0,0,0,"- ","- ",,,COLUSA,COLUSA,-122.01720345,39.20925476
6328155,2014,2016-02-22,9155,2014-01-01,1740,015996,,3,2,9,0600,0,1,3,,1,042,"RT 45","MAXWELL COLUSA RD",2640.00,S,N,A,-,Y,COL,3,45,-,-,24.030,H,-,N,Y,4,0,2,1,A,-,08,22107,,N,F,A,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",39.27675,-122.03519,COLUSA,UNINCORPORATED,-122.03436983,39.270655580000003
6337259,2014,2015-11-14,9155,2014-01-09,1515,015996,,4,2,9,0600,0,1,1,,2,051,"RT 5","FREEWAY UNDERCROSSING RD",250.00,N,N,A,-,Y,COL,3,5,-,R,7.770,H,-,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.024700000000003,-122.06232,COLUSA,UNINCORPORATED,-122.06312818000001,39.025129970000002
6341806,2014,2014-06-12,9155,2014-01-21,0750,017613,,2,1,9,0600,0,3,5,,2,001,"GRIMES-ARBUCKLE RD","HAHN RD",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21752,D,N,B,C,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.056489999999997,-122.01571,COLUSA,UNINCORPORATED,-122.01573990999999,39.056499879999997
6346553,2014,2014-06-04,9155,2014-01-16,2145,018750,,4,2,9,0600,0,3,5,,2,005,"MAXWELL COLUSA RD","TWO MILE RD",3168.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",39.276440000000001,-122.14122999999999,COLUSA,UNINCORPORATED,-122.14257089,39.276383520000003
6346557,2014,2015-11-14,9155,2014-01-18,0725,015996,,6,1,9,0600,0,1,1,,2,051,"RT 5","MYERS RD",2640.00,S,N,A,-,Y,COL,3,5,-,R,13.250,H,-,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.095590000000001,-122.10953000000001,COLUSA,UNINCORPORATED,-122.10934143,39.095509380000003
6365894,2014,2015-11-14,9155,2014-02-03,2219,18636,,1,3,9,0600,0,1,1,,2,052,"RT 5","LENAHAN RD",9.00,N,N,A,-,Y,COL,3,5,-,R,30.860,H,-,S,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,1,,,,Y,Y,,G,25,0,1,1,0,0,0,0,0,0,"- ","- ",39.334620000000001,-122.19499,COLUSA,UNINCORPORATED,-122.19499403,39.334677810000002
