CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912225,2014,2014-10-09,9320,2014-03-11,1333,10179,,2,1,3,0792,0,1,3,,2,240,RT4,"ST STEPHENS",311.00,E,N,A,-,Y,CC,4,24,-,R,3.550,H,-,W,N,1,1,1,1,-,-,"- ",,,N,E,I,A,A,H,-,A,D,1,,,Y,,Y,,-,"- ",0,1,0,0,0,0,0,1,1,"- ","- ",,,"CONTRA COSTA",ORINDA,-122.17015915,37.892130280000003
6290045,2014,2014-11-25,9320,2014-02-02,2500,19195,,7,4,4,0714,0,1,3,,2,402,RT4,"ALHAMBRA AV",540.00,E,N,C,-,Y,CC,4,4,-,R,8.716,R,2,E,Y,1,1,0,1,-,-,"- ",,,N,E,I,A,B,H,-,A,D,1,,,,,Y,,-,"- ",0,0,0,0,0,0,0,0,0,TR,FR,,,"CONTRA COSTA",MARTINEZ,-122.12741237,37.991134199999998
6290046,2014,2014-02-24,9320,2014-02-11,2240,19743,,2,3,9,0700,0,2,4,,2,071,"WILLOW PASS RD","GOBLE DR",33.00,S,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",UNINCORPORATED,-121.96226649,38.02525653
6290165,2014,2015-12-29,0712,2014-02-06,2336,P518,,4,5,5,0712,0,0,0,,0,,"YGNACIO VALLEY RD","NORTH CIVIC DR",680.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,-,-,"- ",,,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA","WALNUT CREEK",-122.05670250999999,37.907483259999999
6290259,2014,2015-12-21,9320,2014-03-04,1835,12853,,2,2,9,0700,0,2,4,,1,061,"DANVILLE BLVD","LAS TRAMPAS RD",215.00,S,N,B,-,N,,,,,,,,,,N,1,1,0,2,-,-,"- ",,,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,Y,-,"- ",0,0,0,1,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",UNINCORPORATED,-122.03094196000001,37.847576549999999
6290275,2014,2014-04-16,0708,2014-03-12,0448,157,,3,5,5,0708,0,0,0,,0,005,"LOVERIDGE RD","E LELAND",284.00,N,-,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,05,21651,B,N,H,G,A,A,H,-,C,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",,,"CONTRA COSTA",PITTSBURG,-121.870684,38.008908720000001
6290358,2014,2015-12-21,0708,2014-02-27,2337,P247,,4,5,5,0708,0,0,0,,0,001,"W 10TH ST","ENTERPRISE CIR",123.00,E,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,B,I,A,A,H,-,C,A,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",PITTSBURG,-121.89737287,38.02946
6290432,2014,2014-05-08,0710,2014-02-20,2345,1494,NORTH,4,5,5,0710,0,0,0,,0,008,"SAN PABLO AV","STANTON AV",0.00,N,N,A,-,N,,,,,,,,,,Y,1,1,3,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,2,0,1,0,0,0,0,0,0,"- ","- ",,,"CONTRA COSTA",RICHMOND,-122.33891986,37.980899979999997
6290444,2014,2015-12-29,0708,2014-04-02,2500,157,,3,5,5,0708,0,0,0,,0,003,"WEST LELAND RD","GOLF CLUB RD",864.00,W,N,B,C,N,,,,,,,,,,Y,1,1,0,1,A,-,07,21658,A,N,E,I,A,B,H,-,A,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.004600000000003,-121.54525,"CONTRA COSTA",PITTSBURG,-121.91441905000001,38.012944070000003
6290571,2014,2015-12-29,9320,2014-05-15,0650,17508,,4,1,9,0700,0,3,5,,2,070,"AVILA RD","AVILA RD 5060",16.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.129710000000003,-121.99357000000001,"CONTRA COSTA",UNINCORPORATED,,
