CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290290,2014,2014-10-09,9120,2014-03-14,2050,15557,,5,2,9,0800,0,1,2,,2,004,"RT 199","OREGON MOUNTAIN RD",2112.00,S,N,A,-,Y,DN,1,199,-,-,30.920,H,-,S,Y,1,1,4,1,A,-,03,22350,,N,E,I,A,A,H,-,D,A,0,,,,,Y,,A,01,2,1,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-123.75629596,41.934653220000001
6291234,2014,2014-10-20,9120,2014-07-18,1110,013388,,5,1,9,0800,0,1,2,,2,001,"RT 101","PELICAN BEACH VISTA",73.00,N,N,B,-,Y,DN,1,101,-,-,46.080,H,-,N,Y,3,0,2,2,C,-,18,,,N,A,C,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,1,1,0,0,0,0,0,0,"- ","- ",41.99521,-124.20811999999999,"DEL NORTE",UNINCORPORATED,-124.2078564,41.992458669999998
6291236,2014,2014-10-20,9120,2014-07-25,1250,013388,,5,1,9,0800,0,1,2,,2,003,"RT 199","ELK VALLEY CROSS RD",0.00,,Y,A,-,Y,DN,1,199,-,T,0.797,I,5,N,Y,1,1,5,3,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,1,,,,,Y,,A,01,0,4,1,0,0,0,0,0,0,"- ","- ",41.904290000000003,-124.14362,"DEL NORTE",UNINCORPORATED,-124.14325101999999,41.804303099999998
6291354,2014,2015-12-28,9120,2014-08-29,2325,18748,,5,3,9,0800,0,1,2,,2,002,"RT 101","WONDER STUMP RD",2270.00,S,N,B,-,Y,DN,1,101,-,-,33.040,H,-,S,Y,1,1,1,2,A,-,08,22107,,N,A,C,A,A,H,-,D,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,1,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.14423793,41.834602969999999
6291449,2014,2016-01-14,9120,2014-08-19,1014,13388,,2,1,9,0800,0,1,2,,2,002,"RT 101","LAKE EARL DR",383.00,N,N,B,-,Y,DN,1,101,-,-,36.030,H,-,N,Y,1,1,1,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,Y,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",41.074910000000003,-124.13914,"DEL NORTE",UNINCORPORATED,-124.13759432000001,41.877578049999997
6291817,2014,2015-12-28,9120,2014-11-25,2150,11916,,2,2,9,0800,0,1,2,,2,005,"RT 101","SANDMINE RD",442.00,S,N,A,-,Y,DN,1,101,-,-,24.330,H,-,S,N,1,1,0,2,A,-,03,22350,,F,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,A,07,0,0,0,1,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.16148093,41.739609139999999
6292435,2015,2017-05-09,9120,2015-05-20,1530,20638,,3,2,9,0800,0,1,2,,2,005,"RT 101","MILL CREEK",8976.00,S,N,B,-,Y,DN,1,101,-,-,18.450,H,-,S,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.11182015999999,41.684111440000002
6323449,2014,2014-06-03,9120,2014-01-01,0045,11916,,3,3,9,0800,0,2,4,,2,028,"FRED HAIGHT DR","MORRISON LN",1584.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.14651722000001,41.899070190000003
6323457,2014,2015-11-14,9120,2014-01-05,0915,13564,,7,1,9,0800,0,1,2,,2,006,"RT 101","KLAMATH BEACH RD",7920.00,S,N,A,-,Y,DN,1,101,-,R,2.040,H,-,S,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,C,H,-,A,D,1,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.04685204,41.491460539999999
6337250,2014,2014-06-03,9120,2014-01-09,1500,020703,,4,2,9,0800,0,2,4,,2,027,"NORTHCREST DR","ARNETT ST",110.00,S,N,B,C,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"DEL NORTE",UNINCORPORATED,-124.19985294,41.775393029999996
