CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290009,2014,2014-02-14,9245,2014-01-11,1140,15107,,6,1,9,0900,0,2,4,,2,011,"GREEN VALLEY RD","FRANCISCO DR",528.00,E,N,C,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.423299999999998,-121.0506,"EL DORADO",UNINCORPORATED,-121.08356603999999,38.709762400000002
6290580,2014,2015-12-29,9245,2014-04-11,1905,16451,,5,2,9,0900,0,3,5,,2,002,"MAIN ST","RICCI RD",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,A,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.896419999999999,-120.91254000000001,"EL DORADO",UNINCORPORATED,-120.91254000000001,38.896419999999999
6290622,2014,2014-06-05,9245,2014-03-18,1218,13463,,2,1,9,0900,0,3,5,,2,002,"WENTWORTH SPRINGS RD","STARWOOD LN",551.00,W,N,A,-,N,,,,,,,,,,Y,1,1,1,1,C,-,18,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",38.922150000000002,-120.80294000000001,"EL DORADO",UNINCORPORATED,-120.80283281,38.922362360000001
6291150,2014,2014-08-20,9245,2014-01-25,1335,15563,,6,1,9,0900,0,3,5,,2,002,"COLD SPRINGS RD","SALLY LN",175.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",38.740560000000002,-120.86859,"EL DORADO",UNINCORPORATED,-120.86739627999999,38.74112667
6291369,2014,2015-12-17,9245,2014-06-14,1330,18653,,6,1,9,0900,0,2,4,,1,013,"LOTUS RD","SPRINGVALE RD",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,3,4,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,Y,A,01,0,3,0,0,0,0,0,1,2,"- ","- ",38.748730000000002,-120.93241999999999,"EL DORADO",UNINCORPORATED,-120.93245989,38.748689919999997
6291370,2014,2015-12-18,9245,2014-06-23,1935,18624,9245,1,2,9,0900,0,3,5,,2,004,"MOUNT AUKUM RD","CANDLELIGHT VILLAGE",197.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",38.600740000000002,-120.71964,"EL DORADO",UNINCORPORATED,-120.7202673,38.600413959999997
6291491,2014,2014-10-31,9245,2014-08-23,1500,17728,,6,2,9,0900,0,1,3,,1,115,"RT 49","FORGOTTEN LOOP",1584.00,S,N,A,-,Y,ED,3,49,-,-,28.360,H,-,S,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.82779,-120.97207,"EL DORADO",UNINCORPORATED,-120.97320146,38.827563980000001
6291739,2014,2015-12-31,9245,2014-10-16,2025,17935,,4,2,9,0900,0,2,4,,1,042,"OMO RANCH RD","FAIRPLAY RD",315.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,05,21650,,N,E,I,A,A,H,-,D,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.574820000000003,-120.66125,"EL DORADO",UNINCORPORATED,-120.66141496,38.574749529999998
6291832,2014,2015-01-15,9245,2014-10-11,1214,15607,,6,1,9,0900,0,3,5,,2,004,"MORMON EMIGRANT TRL","US FOREST SERVICE RD FR 10N72",357.00,E,N,A,-,N,,,,,,,,,,Y,1,1,3,2,A,-,01,23152,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",38.70973,-120.54777,"EL DORADO",UNINCORPORATED,-120.54738075,38.709782109999999
6292185,2015,2015-05-27,9246,2015-03-13,2228,18916,,5,3,9,0900,0,1,2,,1,021,"RT 50","CHIAPA DR",1116.00,W,N,A,-,Y,ED,3,50,-,-,69.810,H,-,W,Y,1,1,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,A,07,2,0,0,0,0,0,0,0,0,"- ","- ",38.504100000000001,-120.0154,"EL DORADO",UNINCORPORATED,-120.03376323000001,38.8437701
6292221,2015,2016-01-11,9245,2015-04-11,1828,15607,,6,2,2,0901,0,1,2,,2,140,"RT 50","MOSQUITO RD",172.00,E,N,A,-,Y,ED,3,50,-,-,18.630,R,2,W,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,1,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,WF,"- ",38.731720000000003,-120.7897,"EL DORADO",PLACERVILLE,-120.7881513,38.731429509999998
6292523,2015,2015-08-21,9245,2015-05-21,1424,12382,,4,2,9,0900,0,1,2,,1,160,"RT 50","USFS ROAD 11N53",3696.00,W,N,B,C,Y,ED,3,50,-,-,43.120,H,-,W,Y,1,1,1,2,A,-,05,21460,A,N,A,C,A,B,H,-,A,D,0,,,,,Y,,D,23,1,0,0,0,0,0,0,0,0,"- ","- ",38.772750000000002,-120.38982,"EL DORADO",UNINCORPORATED,-120.38940202000001,38.772724179999997
6292620,2015,2015-09-10,9245,2015-08-10,1002,13463,,1,1,9,0900,0,2,4,,1,037,"PLEASANT VALLEY RD","CHURCH ST",175.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",38.68244,-120.84789000000001,"EL DORADO",UNINCORPORATED,-120.84794322,38.68243064
