CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912118,2014,2015-12-21,1005,2014-01-08,1420,P1131,SW245,3,5,7,1005,0,0,0,,0,00B,"N FULTON ST","BELMONT ST",174.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,08,22107,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",,,FRESNO,FRESNO,-119.80036,36.75090762
5912133,2014,2014-02-20,9495,2014-01-07,1625,19111,,2,2,9,1000,0,1,3,,2,005,"RT 33","NEBRASKA AV",124.00,S,N,B,-,Y,FRE,6,33,-,-,48.390,H,-,N,Y,1,2,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",36.559080000000002,-120.38890000000001,FRESNO,UNINCORPORATED,-120.38897708,36.559453990000002
6290074,2014,2015-04-15,9435,2014-01-04,2343,18935,,6,3,9,1000,0,3,5,,2,010,"CORNELIA AV","SHIELDS AV",121.00,N,N,A,-,N,,,,,,,,,,Y,1,1,1,3,A,-,01,23152,A,N,C,E,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",36.77948,-119.88030999999999,FRESNO,UNINCORPORATED,-119.88030165000001,36.779362149999997
6290169,2014,2015-03-16,9435,2014-02-17,0606,15669,,1,1,2,1008,0,1,3,,2,107,"RT 99","RT 201",1848.00,N,N,B,-,Y,FRE,6,99,-,R,1.300,H,-,S,Y,1,2,0,1,B,-,22,,,N,E,I,A,A,D,-,D,D,1,,,,,Y,,J,48,0,0,0,0,0,0,0,0,0,"- ","- ",36.521459999999998,-119.56607,FRESNO,KINGSBURG,-119.56591342999999,36.521478960000003
6290237,2014,2014-04-04,9435,2014-01-05,1758,18934,,7,2,9,1000,0,3,5,,2,010,"MARKS AV","BELMONT AV",1056.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,A,N,C,C,A,A,H,-,D,A,0,,,Y,,Y,Y,A,07,0,0,0,0,0,0,0,1,0,"- ","- ",36.747770000000003,-119.84923999999999,FRESNO,UNINCORPORATED,-119.84439,36.747256069999999
6290283,2014,2015-07-20,9435,2014-02-15,1906,18939,,6,2,9,1000,0,3,5,,2,020,"EXCELSIOR AVE","MARKS AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,5,1,2,A,-,12,22450,A,N,D,C,A,A,H,-,D,A,0,,,,,Y,,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",36.40202,-119.8518,FRESNO,UNINCORPORATED,-119.85123994,36.40202008
6290313,2014,2015-12-21,9435,2014-02-26,1725,13200,,3,2,9,1000,0,3,5,,2,010,"MONROE AV","BELMONT AV",0.00,,Y,B,C,N,,,,,,,,,,Y,1,3,3,2,A,-,01,23152,A,N,D,C,A,B,H,-,B,A,0,,,,,Y,Y,A,01,1,0,2,0,0,0,0,0,0,"- ","- ",,,FRESNO,UNINCORPORATED,-119.94318998,36.749750110000001
6290370,2014,2015-12-23,9461,2014-03-23,2339,18928,,7,3,9,1000,0,1,1,,2,305,"RT 5","SHIELDS AV",660.00,N,N,A,-,Y,FRE,6,5,-,-,60.090,H,-,N,Y,1,1,0,2,A,-,08,22107,,N,F,A,A,A,H,-,D,D,1,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",36.77955,-120.72499000000001,FRESNO,UNINCORPORATED,-120.72406316,36.778077840000002
6290436,2014,2015-04-15,9435,2014-03-06,1915,15387,,4,2,9,1000,0,1,3,,1,180,"RT 180","GRANTLAND AV",400.00,E,N,A,-,Y,FRE,6,180,-,-,50.680,H,-,E,Y,1,1,0,2,A,-,11,21956,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,FRESNO,UNINCORPORATED,-119.91515477999999,36.735314320000001
6290479,2014,2015-10-06,9435,2014-04-01,1716,17630,,2,2,9,1000,0,3,5,,2,040,"KAMM AV","CORNELIA AV",2.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",36.532589999999999,-119.88160999999999,FRESNO,UNINCORPORATED,-119.8812132,36.53252002
6290526,2014,2015-07-20,9435,2014-02-13,1829,14590,,4,2,9,1000,0,3,5,,2,034,"TEMPERANCE AV","JENSEN AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,D,A,0,,,,Y,Y,,A,07,1,0,1,0,0,0,0,0,0,"- ","- ",36.707560000000001,-119.66417,FRESNO,UNINCORPORATED,-119.66405995,36.707540010000002
6290531,2014,2015-04-15,9435,2014-03-21,0735,17215,,5,1,9,1000,0,3,5,,2,015,"GOLDENROD AV","JENSEN AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,2,4,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,2,2,0,0,0,0,0,0,0,"- ","- ",36.705880000000001,-119.04268,FRESNO,UNINCORPORATED,-120.04266985,36.705880020000002
6290556,2014,2015-04-15,9435,2014-03-10,0059,18865,,1,3,7,1005,0,1,3,,2,106,"RT 99","CHESTNUT AVE",550.00,E,N,A,-,Y,FRE,6,99,-,-,15.390,H,-,N,Y,1,1,1,3,A,-,05,21651,B,N,A,C,A,A,H,-,D,D,1,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",36.672849999999997,-119.73532,FRESNO,FRESNO,-119.73547847,36.673238689999998
6290561,2014,2015-12-29,9435,2014-04-08,0220,19032,,2,3,9,1000,0,3,5,,2,025,"ACADEMY AV","SIERRA AV",268.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",36.827719999999999,-119.55591,FRESNO,UNINCORPORATED,-119.55583787,36.827564510000002
