CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290481,2014,2015-12-30,9160,2014-04-10,1740,17692,,4,2,9,1100,0,1,1,,2,006,"RT 5","RT 32",0.00,N,N,A,-,Y,GLE,3,5,-,R,25.530,H,-,N,Y,1,10,39,3,-,-,"- ",,,N,B,C,A,A,H,-,A,D,1,,,,Y,Y,,-,"- ",8,28,3,0,0,0,0,0,0,"- ","- ",39.756619999999998,-122.20537,GLENN,UNINCORPORATED,-122.20537658000001,39.750639249999999
6291619,2014,2014-11-14,9160,2014-09-20,1504,17692,,6,2,9,1100,0,2,4,,2,016,"COUNTY ROAD 99","COUNTY ROAD 40",585.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",39.57479,-122.19372,GLENN,UNINCORPORATED,-122.19372,39.57479
6335106,2014,2014-06-02,9160,2014-01-09,1335,017577,,4,1,9,1100,0,3,5,,2,007,"COUNTY ROAD WW","COUNTY ROAD 34",797.00,N,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",,,GLENN,UNINCORPORATED,-122.03686909,39.618348660000002
6338344,2014,2016-02-22,9160,2014-01-11,1205,17577,,6,1,9,1100,0,1,3,,1,010,"RT 45","RT 162",1188.00,S,N,B,-,Y,GLE,3,45,-,-,7.300,H,-,N,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,E,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,GLENN,UNINCORPORATED,-122.01535036999999,39.518658119999998
6352190,2014,2015-11-14,9160,2014-01-19,1547,14761,,7,2,9,1100,0,1,1,,2,004,"RT 5","COUNTY RD 39",5808.00,S,N,A,-,Y,GLE,3,5,-,R,12.410,H,-,N,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",39.561399999999999,-122.21348,GLENN,UNINCORPORATED,-122.21363947,39.560960979999997
6363410,2014,2014-06-12,1101,2014-01-26,1508,SJ,ORLAN,7,5,2,1101,0,0,0,,0,CITY,"4TH ST","SUISUN ST",460.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,GLENN,ORLAND,-122.19410972,39.754493199999999
6363418,2014,2014-06-03,1101,2014-01-01,0629,506,ORLAN,3,5,2,1101,0,0,0,,0,ORLAND,"NEWVILLE RD","COUNTY ROAD HH",0.00,,Y,A,-,N,,,,,,,,,,,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,D,D,0,,,,,Y,,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",,,GLENN,ORLAND,-122.21569061,39.754762239999998
6363825,2014,2015-01-12,1101,2014-01-20,1929,505,ORLAN,1,5,2,1101,0,0,0,,0,CITY,"6TH ST","COLUSA ST",0.00,,Y,-,-,N,,,,,,,,,,N,3,0,1,2,A,-,01,23152,B,M,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,GLENN,ORLAND,-122.19755992,39.746290000000002
6371737,2014,2015-11-14,9160,2014-01-22,0010,013178,,3,3,9,1100,0,1,1,,2,004,"RT 5","COUNTY RD 39",460.00,N,N,A,-,Y,GLE,3,5,-,R,13.920,H,-,S,Y,3,0,1,1,A,-,08,22107,,N,E,J,A,A,H,-,D,D,1,,,,Y,Y,,G,25,0,1,0,0,0,0,0,0,0,"- ","- ",39.583829999999999,-122.21044000000001,GLENN,UNINCORPORATED,-122.21052859,39.582710630000001
6375827,2014,2015-02-09,9160,2014-02-06,1740,17692,,4,2,9,1100,0,2,4,,2,016,"COUNTY ROAD 99W","HAMBRIGHT CREEK",325.00,N,N,B,-,N,,,,,,,,,,Y,2,0,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",39.762039999999999,-122.19694,GLENN,UNINCORPORATED,-122.19694,39.762039999999999
