CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912031,2014,2015-12-21,1502,2014-01-03,0304,1100,,5,5,6,1502,0,0,0,,0,,"NEW STINE RD","MING AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,01,23152,A,F,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,KERN,BAKERSFIELD,-119.06098002,35.338230039999999
5912129,2014,2014-02-14,9420,2014-01-04,1445,15261,,6,2,9,1500,0,3,5,,2,540,"MCCOMBS AV","PALM AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,3,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,2,1,0,0,0,0,0,0,0,"- ","- ",35.349049999999998,-119.34905000000001,KERN,UNINCORPORATED,-119.34908994,35.616040079999998
5912145,2014,2015-12-21,9426,2014-01-14,1405,12330,,2,2,9,1500,0,3,5,,2,087,"COPUS RD","SHALLOCK RD",4224.00,E,N,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,05,21650,,N,A,C,A,A,H,-,A,D,0,,,,Y,Y,,A,07,1,0,1,0,0,0,0,0,0,"- ","- ",35.094709999999999,-119.0855,KERN,UNINCORPORATED,-119.08653738,35.094712430000001
5912148,2014,2015-12-21,9420,2014-01-17,2138,18813,,5,2,9,1500,0,3,5,,2,672,"CENTER ST","REMBRANDT ST",60.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,08,22107,,N,C,E,A,A,H,-,C,D,0,,,,Y,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",35.372230000000002,-118.95381999999999,KERN,UNINCORPORATED,-118.95507662999999,35.372235140000001
5912176,2014,2014-11-21,1502,2014-01-19,2215,784,,7,5,6,1502,0,0,0,,0,,"UNION AV","BERKSHIRE RD",25.00,S,N,A,-,N,,,,,,,,,,Y,1,1,3,2,A,-,01,23152,A,F,C,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,1,2,0,0,0,0,0,0,"- ","- ",,,KERN,BAKERSFIELD,-119.00314,35.288561399999999
6290127,2014,2015-12-21,1508,2014-02-09,0149,31,2B,7,5,2,1508,0,0,0,,0,,"PHILIPPINE ST","ARROYO WY",113.00,W,N,B,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23153,A,N,H,A,A,A,H,-,C,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",,,KERN,TAFT,-119.47880757999999,35.135048419999997
6290197,2014,2015-12-21,9420,2014-02-03,1736,19578,,1,2,9,1500,0,1,3,,2,588,"RT 58","BEALVILLE RD",7920.00,E,N,A,-,Y,KER,6,58,-,-,78.560,H,-,W,Y,1,1,1,2,A,-,05,21651,B,N,A,C,A,A,H,-,D,D,1,,,,Y,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",35.25526,-118.60861,KERN,UNINCORPORATED,-118.61002630999999,35.256003380000003
6290198,2014,2015-12-21,9420,2014-02-04,1812,17243,,2,2,4,1503,0,1,3,,2,091,"RT 99","WOOLLOMES AV",1506.00,N,N,A,-,Y,KER,6,99,-,-,54.770,H,-,S,Y,1,1,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,1,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",35.751249999999999,-119.24887,KERN,DELANO,-119.24565861000001,35.75092969
6290251,2014,2015-12-21,9426,2014-02-28,1300,17321,,5,1,9,1500,0,1,3,,1,461,"RT 46","ROWLEE RD",3696.00,W,N,B,C,Y,KER,6,46,-,-,43.340,H,-,E,Y,1,1,2,2,A,-,06,21751,,N,D,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",35.60042,-119.48383,KERN,UNINCORPORATED,-119.46793752000001,35.60113818
6290285,2014,2014-04-21,9420,2014-02-19,2000,18397,,3,2,6,1502,0,1,3,,2,095,"RT 99","WHITE LN",1166.00,N,N,A,-,Y,KER,6,99,-,-,21.290,H,-,S,Y,1,1,0,3,A,-,03,22350,,N,C,C,A,A,D,-,D,A,1,,,,Y,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",35.319420000000001,-119.03682000000001,KERN,BAKERSFIELD,-119.0371549,35.320623900000001
