CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5912220,2014,2014-04-18,9151,2014-02-01,0550,16093,,6,3,9,1700,0,1,3,,1,022,"RT 20","WALKER RIDGE RD",4224.00,E,N,A,-,Y,LAK,1,20,-,R,44.430,H,-,E,Y,1,1,0,1,A,-,08,22107,,N,F,A,A,C,H,-,D,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",39.015470000000001,-122.44207,LAKE,UNINCORPORATED,-122.44143690999999,39.01549833
6290576,2014,2014-05-28,9151,2014-04-01,0450,17141,,2,3,9,1700,0,1,3,,2,015,"RT 29","RT 281",5280.00,N,N,B,C,Y,LAK,1,29,-,-,28.900,H,-,S,Y,1,2,0,1,A,-,08,22107,,N,E,I,A,B,H,-,D,D,1,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.937330000000003,-122.75676,LAKE,UNINCORPORATED,-122.75722195,38.937574599999998
6291642,2014,2014-11-25,9151,2014-08-30,0338,19714,,6,3,9,1700,0,1,3,,1,011,"RT 20","BARTLETT SPRINGS RD",2640.00,E,N,A,-,Y,LAK,1,20,-,-,15.790,H,-,W,Y,1,1,0,1,A,-,01,23152,E,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",39.105519999999999,-122.81232,LAKE,UNINCORPORATED,-122.81440196,39.107375259999998
6292218,2015,2015-06-02,9151,2015-03-30,1817,17128,,1,2,9,1700,0,3,5,,2,008,"RIATA RD","CABALLERO CT",14.00,N,N,B,-,N,,,,,,,,,,N,1,1,0,1,A,-,03,22350,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",38.875100000000003,-122.60720000000001,LAKE,UNINCORPORATED,-122.60724384,38.875116900000002
6292220,2015,2015-06-10,9151,2015-04-05,1128,15435,,7,1,9,1700,0,1,3,,1,012,"RT 20","HILLSIDE LN",0.00,E,N,B,C,Y,LAK,1,20,-,-,27.090,H,-,E,Y,1,1,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.02046,-122.68536,LAKE,UNINCORPORATED,-122.68591141,39.019841020000001
6292309,2015,2017-04-04,9151,2015-04-30,0100,17141,,4,3,9,1700,0,1,3,,1,012,"RT 20","SCHINDLER ST",50.00,E,N,A,-,Y,LAK,1,20,-,-,28.500,H,-,W,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",39.027630000000002,-122.66525,LAKE,UNINCORPORATED,-122.66567864,39.02765462
6292807,2015,2017-03-30,9151,2015-06-15,2500,19430,,1,4,9,1700,0,1,3,,1,011,"RT 20","WITTER SPRINGS RD",1056.00,W,N,A,-,Y,LAK,1,20,-,-,5.360,H,-,E,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",39.164790000000004,-122.96722,LAKE,UNINCORPORATED,-122.96719275,39.164833819999998
6292826,2015,2016-02-29,9151,2015-07-02,0815,18337,,4,1,9,1700,0,1,3,,2,015,"RT 29","RT 175",5808.00,S,N,A,-,Y,LAK,1,29,-,-,29.920,H,-,S,Y,1,1,3,3,A,-,01,23152,E,N,A,C,A,A,H,-,A,D,1,,,,Y,Y,,A,01,1,1,1,0,0,0,0,0,0,"- ","- ",38.943049999999999,-122.77288,LAKE,UNINCORPORATED,-122.77383121,38.943167709999997
6292895,2017,2019-04-05,1702,2017-07-12,2054,196,B,3,5,3,1702,0,0,0,,0,,"OLYMPIC DR","RT 53",295.00,W,N,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,05,21460,A,N,A,C,A,A,H,-,B,D,0,,,,,Y,Y,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",38.961829999999999,-122.63129000000001,LAKE,CLEARLAKE,-122.61978877,38.964474850000002
6344062,2014,2015-11-14,9151,2014-01-09,0920,014431,,4,1,9,1700,0,1,3,,2,015,"RT 29","CRUICKSHANK RD",1584.00,S,N,A,-,Y,LAK,1,29,-,-,33.530,H,-,S,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.956800000000001,-122.82778999999999,LAKE,UNINCORPORATED,-122.82765046,38.956263
