CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9666299,2023,2024-09-18,1942,2023-12-10,1800,42779,0158,7,5,7,1942,0,0,0,A,0,1A28W5,EAST 6TH ST,CERES AV,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2,0,1,2,A,-,17,21657,NA,F,C,-,-,A,H,-,C,A,0,Y,NA,NA,NA,Y,NA,A,01,1,0,0,0,1,0,0,0,0,-,-,NA,NA,LOS ANGELES,LOS ANGELES,-118.24134826660156,34.03983688354492
9666301,2024,2024-06-25,1900,2024-02-06,1200,658321,1349,2,5,3,1903,0,0,0,NA,0,134,SOUTH ST,ELAINE AV,0,NA,Y,C,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,1,2,A,-,12,21453,NA,N,G,G,A,B,H,-,A,A,0,NA,Y,NA,NA,Y,NA,-,-,0,1,0,0,0,0,1,0,0,-,-,NA,NA,LOS ANGELES,ARTESIA,-118.07669830322266,33.85845184326172
9666302,2024,2024-04-05,1900,2024-02-07,731,647144,1320,3,5,5,1935,0,0,0,NA,0,132T2,CANDLEWOOD ST,HAYTER AV,0,NA,Y,B,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,2,2,A,-,12,22450,NA,N,D,C,A,B,H,-,A,A,0,NA,NA,NA,NA,Y,NA,A,01,0,1,1,0,0,0,0,0,0,-,-,33.85300064086914,-118.14600372314452,LOS ANGELES,LAKEWOOD,-118.1461181640625,33.853607177734375
9666303,2024,2024-04-05,1900,2024-02-07,1400,642100,1333,3,5,5,1908,0,0,0,NA,0,133H,WOODRUFF AV,SOMERSET AV,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,3,0,2,2,A,-,09,21800,D,N,A,C,A,A,H,-,A,B,0,NA,NA,NA,NA,Y,NA,A,01,0,2,0,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,BELLFLOWER,-118.11660003662108,33.896636962890625
9666304,2024,2024-04-05,1900,2024-02-09,1650,657959,1329,5,5,5,1935,0,0,0,NA,0,132W1,CANDLEWOOD AV,GRAYWOOD AV,130,E,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,1,2,A,-,04,21703,NA,N,C,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,LAKEWOOD,-118.13772583007813,33.853824615478516
9666305,2024,2024-04-05,1900,2024-02-15,1630,466331,1323,4,5,5,1935,0,0,0,NA,0,132T1P,DEL AMO BL,OLIVA AV,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,1,2,A,-,09,21801,NA,M,E,C,A,A,H,-,A,A,0,NA,NA,NA,NA,Y,NA,A,07,0,1,0,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,LAKEWOOD,-118.14452362060548,33.84671401977539
9666306,2024,2024-04-05,1900,2024-02-16,1924,642100,1336,5,5,5,1908,0,0,0,NA,0,133T2,BELLFLOWER BL,RAMONA ST,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,4,0,1,2,A,-,12,21453,NA,N,D,C,A,A,H,-,C,A,0,NA,NA,NA,NA,Y,NA,A,01,0,0,1,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,BELLFLOWER,-118.1251983642578,33.87300109863281
9666307,2024,2024-04-05,1900,2024-02-23,1051,642100,1332,5,5,5,1908,0,0,0,NA,0,133H,ROSECRANS AV,ARDIS AV,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,3,0,3,2,A,-,09,21802,A,N,A,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,07,0,3,0,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,BELLFLOWER,-118.12909698486328,33.9031982421875
9666308,2024,2024-04-05,1900,2024-02-23,1730,656309,1365,5,5,5,1952,0,0,0,NA,0,133T2,ROSECRANS AV,PARAMOUNT BL,425,W,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,4,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,D,0,NA,NA,NA,NA,Y,NA,A,07,0,0,2,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,PARAMOUNT,-118.16163635253906,33.90363311767578
9666310,2024,2024-04-05,1900,2024-02-24,14,656372,1335,6,5,5,1908,0,0,0,NA,0,133T1,CLARK AV,BEACH ST,91,S,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,1,1,A,-,03,22350,NA,N,E,I,A,A,H,-,C,A,0,NA,NA,NA,NA,Y,NA,A,07,0,1,0,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,BELLFLOWER,-118.13390350341795,33.877559661865234
9666311,2024,2024-04-05,1900,2024-02-25,1200,646909,1362,7,5,5,1952,0,0,0,NA,0,136D,ROSECRANS AV,ORANGE AV,400,W,N,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,3,0,1,2,A,-,03,22350,NA,N,D,C,A,A,H,-,A,D,0,NA,NA,NA,NA,Y,NA,A,01,0,1,0,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,PARAMOUNT,-118.17874145507813,33.90373229980469
9666312,2024,2024-04-05,1900,2024-02-28,1502,654793,1351,3,5,3,1927,0,0,0,NA,0,135B,CARSON ST,JUAN AV,0,NA,Y,A,-,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,3,0,1,3,A,-,03,22350,NA,N,C,C,A,A,H,-,A,A,0,NA,NA,NA,NA,Y,NA,A,01,0,1,0,0,0,0,0,0,0,-,-,NA,NA,LOS ANGELES,HAWAIIAN GARDENS,-118.07559967041016,33.8315315246582
