CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290190,2014,2014-03-26,2109,2014-01-27,1935,476,53,1,5,5,2109,0,0,0,,0,006,"SMITH RANCH RD","SMITH RANCH CT",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,J,A,A,H,-,C,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",37.990169999999999,-122.50009,MARIN,"SAN RAFAEL",-122.52938999,38.019009910000001
6291474,2014,2014-10-28,2109,2014-06-03,1617,364,17,2,5,5,2109,0,0,0,,0,004,"IRWIN ST","3RD ST",0.00,,Y,A,-,N,,,101,,,,,,,Y,1,1,0,2,A,-,11,21456,B,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",37.971159999999998,-122.52103,MARIN,"SAN RAFAEL",-122.52172059,37.97128833
6291712,2014,2016-01-04,9350,2014-10-04,0122,20225,,6,3,5,2109,0,1,2,,1,060,"RT 101","NORTH SAN PEDRO RD",25.00,S,N,A,-,Y,MRN,4,101,-,-,12.680,H,-,N,Y,1,1,2,2,A,-,01,23152,A,N,C,C,A,A,H,-,D,D,1,,,,,Y,Y,A,07,1,1,0,0,0,0,0,0,0,"- ","- ",37.994799999999998,-122.53243999999999,MARIN,"SAN RAFAEL",-122.53193398000001,37.99398892
6291798,2014,2016-01-05,9350,2014-11-01,0430,20613,,6,3,9,2100,0,1,2,,2,040,"RT 101","RT 131",1965.00,S,N,A,-,Y,MRN,4,101,-,-,5.320,H,-,N,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,B,H,-,C,D,1,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",37.89725,-122.5159,MARIN,UNINCORPORATED,-122.51601198,37.897328899999998
6318304,2014,2015-08-22,9350,2014-01-03,1644,017201,,5,2,2,2102,0,1,2,,2,050,"RT 101","SIR FRANCIS DRAKE BL",50.00,N,N,A,-,Y,MRN,4,101,-,-,8.610,H,-,N,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,3,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.944690000000001,-122.51521,MARIN,"CORTE MADERA",-122.51473735,37.944769350000001
6330706,2014,2015-11-20,9350,2014-01-09,1840,19000,,4,2,2,2102,0,1,2,,2,050,"RT 101",WORNUM,300.00,S,N,A,-,Y,MRN,4,101,-,-,7.960,H,-,N,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,1,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.935049999999997,-122.51634,MARIN,"CORTE MADERA",-122.51646622,37.93464075
6330710,2014,2016-03-02,9350,2014-01-02,1600,016406,,4,2,9,2100,0,1,2,,2,050,"RT 101","LUCKY DR",528.00,N,N,A,-,Y,MRN,4,101,-,-,8.451,R,1,N,Y,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,3,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,TO,"- ",,,MARIN,UNINCORPORATED,-122.51561571000001,37.941481889999999
6336436,2014,2015-01-05,2109,2014-01-09,1441,526,46,4,5,5,2109,0,0,0,,0,005,"LAS GALLINAS AV","NORTHGATE DR",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,2,0,0,0,0,0,0,"- ","- ",,,MARIN,"SAN RAFAEL",-122.54556995999999,38.006689969999996
6340495,2014,2015-01-06,2109,2014-01-02,1356,572,29,4,5,5,2109,0,0,0,,0,,"3RD ST","UNION ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,04,21703,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,MARIN,"SAN RAFAEL",-122.51655991,37.970429930000002
6340913,2014,2014-06-04,2109,2014-01-01,0000,476,46,3,5,5,2109,0,0,0,,0,005,"MANUEL T FREITAS PKWY","DEL PRESIDIO BL",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,2,3,A,-,17,21461,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,Y,A,01,1,0,1,0,0,0,0,0,0,"- ","- ",,,MARIN,"SAN RAFAEL",-122.54391991,38.007289970000002
