CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290174,2014,2014-03-28,9730,2014-01-19,2500,19569,,7,4,9,2700,0,1,3,,1,014,"RT 1","BIXBY  BRIDGE",162.00,S,N,A,-,Y,MON,5,1,-,-,59.490,H,-,N,Y,1,1,1,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.90217448,36.372229859999997
6290224,2014,2014-03-28,2708,2014-01-01,0500,18355,,3,5,6,2708,0,0,0,,0,,"E ALISAL ST","FRONT ST",215.00,E,N,A,-,N,,,,,,,,,,Y,1,1,1,1,A,-,01,23152,F,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.64842932000001,36.674689540000003
6290247,2014,2014-04-16,9735,2014-02-25,2500,16696,,2,4,9,2700,0,3,5,,2,003,"METZ RD","RT 146",3696.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,Y,,Y,Y,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",36.423189999999998,-121.28722,MONTEREY,UNINCORPORATED,-121.28695817000001,36.423015550000002
6290284,2014,2014-04-16,9730,2014-02-16,1709,19981,,7,2,9,2700,0,2,4,,1,023,"CARMEL VALLEY RD","RIO RD",554.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,C,-,18,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",,,MONTEREY,UNINCORPORATED,-121.88997784,36.542402510000002
6290351,2014,2015-12-21,2708,2014-02-04,1913,52823,,2,5,6,2708,0,0,0,,0,,"EAST LAUREL DR","SANBORN RD",200.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,MONTEREY,SALINAS,-121.62121964000001,36.683416510000001
6290354,2014,2015-12-21,9730,2014-02-11,1435,15160,,2,2,9,2700,0,2,4,,1,073,"SALINAS RD","TRAFTON RD",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,08,22100,B,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,0,0,0,1,0,0,0,"- ","- ",36.886670000000002,-121.74708,MONTEREY,UNINCORPORATED,-121.74710997,36.886790009999999
6290627,2014,2014-06-12,9730,2014-03-27,0610,18350,,4,1,9,2700,0,1,3,,1,068,"RT 68","TORERO DR",1056.00,E,N,B,-,Y,MON,5,68,-,-,14.890,H,-,W,Y,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",36.598050000000001,-121.69922,MONTEREY,UNINCORPORATED,-121.70184891,36.595294129999999
6290631,2014,2015-12-23,9730,2014-03-31,1956,19796,,1,2,9,2700,0,3,5,,2,007,"LAS LOMAS DR","THOMAS RD",160.00,S,N,C,-,N,,,,,,,,,,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,B,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",36.867759999999997,-121.73342,MONTEREY,UNINCORPORATED,-121.73360903,36.867982040000001
6290638,2014,2014-06-11,9730,2014-04-12,1435,17502,,6,2,9,2700,0,3,5,,2,002,"LAURELES GRADE","CARMEL VALLEY RD",1056.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,,N,A,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",36.502589999999998,-121.75318,MONTEREY,UNINCORPORATED,-121.75357369,36.502481240000002
6291197,2014,2014-10-01,9735,2014-07-13,2125,19965,,7,2,9,2700,0,1,2,,1,041,"RT 101","CENTRAL AV",0.00,,Y,A,-,Y,MON,5,101,-,-,45.750,I,5,S,N,1,1,0,2,A,-,09,21802,A,N,D,C,A,A,H,-,D,A,5,,,Y,Y,Y,Y,G,26,0,0,0,0,0,0,0,0,0,"- ","- ",36.233910000000002,-121.17484,MONTEREY,UNINCORPORATED,-121.1745104,36.233829630000002
