CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6290497,2014,2015-12-21,9325,2014-03-18,0707,13727,,2,1,9,2800,0,2,4,,1,023,"SILVERADO TRL","HARDMAN AV",4224.00,S,N,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,05,21460,A,N,A,C,A,A,H,-,B,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",38.340609999999998,-122.26361,NAPA,UNINCORPORATED,-122.27999787,38.333287890000001
6290742,2014,2014-06-19,9325,2014-04-06,1532,19024,,7,2,9,2800,0,1,3,,2,071,"RT 121","DUHIG RD",2938.00,S,N,A,-,Y,NAP,4,121,-,-,1.430,H,-,S,Y,1,1,4,2,A,-,05,21460,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,,A,07,4,0,0,0,0,0,0,0,0,"- ","- ",38.25808,-122.35793,NAPA,UNINCORPORATED,-122.35544732,38.258086890000001
6291430,2014,2014-10-31,9325,2014-08-09,1310,019811,,6,1,9,2800,0,1,3,,1,043,"RT 128","BENNETT LN",5280.00,W,N,A,-,Y,NAP,4,128,-,-,0.610,H,-,E,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",38.600729999999999,-122.63441,NAPA,UNINCORPORATED,-122.63471635000001,38.600798990000001
6291718,2014,2016-01-07,9325,2014-10-18,1229,19164,,6,1,5,2802,0,1,3,,1,022,"RT 29","TRANCAS ST",1584.00,S,N,A,-,Y,NAP,4,29,-,-,12.750,H,-,S,Y,1,1,0,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,1,,,,,Y,,A,07,0,0,0,0,0,0,0,0,0,"- ","- ",38.315869999999997,-122.30748,NAPA,NAPA,-122.30747527,38.316943100000003
6292298,2015,2015-06-24,9325,2015-04-18,2143,20261,,6,2,9,2800,0,3,5,,2,007,"OLD SONOMA RD","BUHMAN AV",528.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.273099999999999,-122.32850000000001,NAPA,UNINCORPORATED,-122.33058241000001,38.271465249999999
6292426,2015,2015-07-30,9325,2015-05-22,2208,19067,,5,3,9,2800,0,3,5,,1,008,"BUTTS CANYON RD","JAMES CREEK RD",6864.00,N,N,A,-,N,,,,,,,,,,Y,1,2,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",38.675809999999998,-122.44607999999999,NAPA,UNINCORPORATED,-122.44537876,38.67454927
6333528,2014,2015-11-16,9325,2014-01-04,1400,019024,,6,2,9,2800,0,1,3,,1,043,"RT 128","TUBBS LN",1584.00,W,N,A,-,Y,NAP,4,128,-,-,2.310,H,-,E,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,D,23,0,0,1,0,0,0,0,0,0,"- ","- ",38.592109999999998,-122.61118999999999,NAPA,UNINCORPORATED,-122.61174561,38.592484990000003
6333540,2014,2015-11-12,9325,2014-01-15,1710,013434,,3,2,9,2800,0,1,3,,1,031,"RT 29","MADISON ST",1584.00,N,N,A,-,Y,NAP,4,29,-,-,20.080,H,-,S,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",38.4099,-122.37527,NAPA,UNINCORPORATED,-122.37288988,38.40798564
6333552,2014,2014-06-04,9325,2014-01-14,1825,12689,,2,2,9,2800,0,3,5,,2,002,"OAK KNOLL AV","RT 29",2640.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,"- ",,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,NAPA,UNINCORPORATED,-122.32304071,38.355865850000001
6341121,2014,2015-11-12,9325,2014-01-04,1556,15350,,6,2,9,2800,0,1,3,,1,044,"RT 29","ROBERT LEWIS STEVENSON PARK",0.00,,Y,A,-,Y,NAP,4,29,-,-,46.290,H,-,N,N,4,0,4,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,0,4,0,0,0,0,0,0,"- ","- ",,,NAPA,UNINCORPORATED,-122.59524805,38.660236419999997
