CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6523871,2014,2014-08-05,9220,2014-05-06,1428,1481,,2,2,9,3100,0,3,5,,2,020,"OLD AUBURN RD","SIERRA COLLEGE BL",30.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,PLACER,UNINCORPORATED,-121.22593999999999,38.722119999999997
6592254,2014,2016-05-04,9220,2014-07-23,0920,013856,,3,1,9,3100,0,1,3,,1,249,"RT 49","MASTERS CT",0.00,,Y,A,-,Y,PLA,3,49,-,-,6.061,I,5,S,Y,4,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,PLACER,UNINCORPORATED,-121.09539758,38.937508819999998
6713329,2014,2016-07-05,9220,2014-11-16,1920,013794,,7,2,4,3104,0,1,1,,2,281,"RT 80","ROCKLIN RD",5280.00,W,N,B,-,Y,PLA,3,80,-,-,5.060,H,-,E,N,4,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,1,,,,,Y,Y,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",,,PLACER,ROCKLIN,-121.23560273,38.777981099999998
6748384,2014,2015-01-30,9220,2014-12-15,1455,13794,,1,2,9,3100,0,2,4,,2,027,"AUBURN FOLSOM RD","EUREKA RD",500.00,N,N,B,C,N,,,,,,,,,,Y,4,0,1,4,A,-,03,22350,,N,C,C,A,B,D,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,PLACER,UNINCORPORATED,-121.1705674,38.737462790000002
6883404,2015,2016-12-17,9220,2015-04-01,1835,012239,,3,2,9,3100,0,1,3,,1,249,"RT 49","ROCK CREEK RD",0.00,,Y,B,-,Y,PLA,3,49,-,-,6.635,I,5,N,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",38.564399999999999,-121.0552,PLACER,UNINCORPORATED,-121.09825801,38.945667219999997
8170907,2016,2016-12-12,3101,2016-10-28,1402,TURNER,3101,5,5,3,3101,0,0,0,,0,002,"LINCOLN WY","RT 49",150.00,W,N,C,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954,A,N,G,B,D,B,H,-,A,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,PLACER,AUBURN,-121.07474888,38.897837780000003
94654889,2025,2025-04-18,9220,2025-04-17,1252,015961,,4,1,5,3105,0,1,1,,2,281,"I-80 W/B","TAYLOR RD O/C",577.00,W,N,B,-,Y,PLA,,80," "," ",3.557,H,,L,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",38.764610290527344,-121.25747680664062,PLACER,ROSEVILLE,-121.25733947753906,38.764511108398438
94807467,2025,2025-08-18,9220,2025-08-12,1510,019133,,2,2,5,3105,0,1,1,,2,281,"I-80 E/B",SR-65,1056.00,W,N,A,-,Y,PLA,,80," "," ",3.954,H,,R,N,4,0,1,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,Y,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",38.767940521240234,-121.25161743164062,PLACER,ROSEVILLE,-121.25164794921875,38.767967224121094
94891658,2025,2025-11-13,9220,2025-10-13,1940,020392,,1,2,9,3100,0,1,3,,1,267,"STATE ROUTE 65","RIOSA ROAD",8976.00,S,N,C,-,Y,PLA,,65," ",R,21.484,H,,R,Y,4,0,1,2,A,-,08,22107,,N,A,C,A,B,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",38.955558776855469,-121.37188720703125,PLACER,UNINCORPORATED,-121.37192535400391,38.955551147460938
92439369,2024,2024-07-15,9220,2024-07-06,1810,021164,,6,2,9,3100,0,1,1,,2,283,"I-80 W/B","ILLINOISTOWN ROAD",4699.00,W,N,A,-,Y,PLA,,80," "," ",30.902,H,,L,N,4,0,1,1,C,-,18,,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",39.066310882568359,-120.96475219726562,PLACER,UNINCORPORATED,-120.96482086181641,39.066329956054688
