CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6553372,2014,2014-08-12,3501,2014-06-05,1929,10801,3501,4,5,4,3501,0,0,0,,0,GRA,"TRES PINOS RD","RANCHO DR",585.00,E,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.39489359,36.839463639999998
6857403,2015,2015-04-17,9725,2015-03-15,2010,020008,,7,2,9,3500,0,3,5,,2,007,"SAN JUAN HOLISTER RD","SAN JUAN RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.852580000000003,-121.44468999999999,"SAN BENITO",UNINCORPORATED,-121.44480989,36.852500040000002
9627345,2023,2023-10-02,3501,2023-08-02,1835,11047,3501,3,5,4,3501,0,0,0,,0,GRA,"SOUTH ST","WEST ST",75.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.40572357177734,36.848339080810547
90127704,2016,2016-03-02,9725,2016-02-25,1945,020854,,4,2,9,3500,0,2,4,,1,052,"FAIRVIEW ROAD","HILLCREST ROAD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21801,A,N,A,C,A,A,H,-,C,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",36.846539999999997,-121.36368,"SAN BENITO",UNINCORPORATED,-121.36363998,36.846510010000003
90262598,2016,2016-09-07,9725,2016-08-30,1220,013521,,2,1,9,3500,0,1,3,,2,053,SR-156,"FLINT ROAD",131.00,E,N,A,-,Y,,,156,,,,,,,Y,3,0,4,2,A,-,05,21460,A,N,B,C,A,A,H,-,A,D,0,,,,Y,Y,,A,01,0,3,1,0,0,0,0,0,0,"- ","- ",36.841529999999999,-121.47226999999999,"SAN BENITO",UNINCORPORATED,-121.47227131,36.841626669999997
90878247,2018,2018-12-07,9725,2018-11-24,0535,021774,,6,3,9,3500,0,1,2,,1,056,"US-101 N/B","ROCKS RD",3168.00,S,N,A,-,Y,,,101,,,,,,N,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.861251831054688,-121.61080932617188,"SAN BENITO",UNINCORPORATED,-121.61083221435547,36.861221313476562
95011352,2025,2026-01-13,9725,2025-12-12,1929,023949,,5,2,9,3500,0,1,3,,1,160,SR-152,"PRUNEDALE AVENUE",0.48,W,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,05,21650,,N,B,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",36.99884033203125,-121.50328063964844,"SAN BENITO",UNINCORPORATED,-121.39935302734375,36.836341857910156
90974745,2019,2019-04-25,9725,2019-04-21,1320,019887,,7,1,9,3500,0,3,5,,2,005,"SAN FELIPE RD",SR-156,50.00,S,N,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,21,22106,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",36.907669067382812,-121.40380859375,"SAN BENITO",UNINCORPORATED,-121.40389251708984,36.907733917236328
90993989,2019,2019-05-22,9725,2019-05-16,0610,014585,,4,1,9,3500,0,1,3,,2,053,SR-156,"FLINT RD.",2112.00,W,N,B,C,Y,,,156,,,,,,,N,4,0,1,2,A,-,05,21460,A,N,B,C,A,B,H,-,B,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.841590881347656,-121.47875213623047,"SAN BENITO",UNINCORPORATED,-121.47875213623047,36.841552734375
91213425,2020,2020-03-23,9725,2020-03-11,0735,014585,,3,1,9,3500,0,1,3,,2,053,"SR-156 W/B","BUSINESS ROUTE 156",1056.00,W,N,A,-,Y,,,156,,,,,,W,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,B,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.847309112548828,-121.45366668701172,"SAN BENITO",UNINCORPORATED,-121.45365142822266,36.847297668457031
92047619,2023,2023-04-18,9725,2023-04-13,1930,021321,,4,2,9,3500,0,3,5,,2,007,"CIENEGA RD","STATE ROUTE 25",45.00,W,N,A,-,Y,SBT,,25," "," ",38.404,H,,R,N,4,0,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,B,D,0,,,,,Y,Y,D,22,0,0,2,0,0,0,0,0,0,"- ","- ",36.712810516357422,-121.27725219726562,"SAN BENITO",UNINCORPORATED,-121.27700805664062,36.712833404541016
92091372,2023,2023-06-12,9725,2023-06-07,1544,021321,,3,2,9,3500,0,1,3,,1,051,"STATE ROUTE 25","BOLADO RD",1500.00,S,N,A,-,Y,SBT,,25," "," ",43.491,H,,R,N,4,0,1,1,A,-,08,22107,,N,B,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",36.776679992675781,-121.31072235107422,"SAN BENITO",UNINCORPORATED,-121.310791015625,36.776660919189453
94844000,2025,2025-09-15,9725,2025-09-06,1045,023919,,6,1,9,3500,0,3,5,,2,007,"LUCY BROWN LN","SAN JUSTO RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,,Y,Y,,G,27,0,0,2,0,0,0,0,0,0,"- ","- ",36.857101440429688,-121.50906372070312,"SAN BENITO",UNINCORPORATED,-121.50894165039062,36.856979370117188
6291891,2014,2015-02-02,3501,2014-10-01,1738,10785,3501,3,5,4,3501,0,0,0,,0,DAY,"SAN FELIPE RD","LGT POLE 881-100",645.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,B,-,22,,,N,F,J,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,0,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,,
6513466,2014,2014-07-08,9725,2014-04-26,2105,020742,,6,2,9,3500,0,3,5,,2,007,"SAN JUSTO RD","PRESCOTT RD",2112.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",36.86092,-121.5371,"SAN BENITO",UNINCORPORATED,-121.53359441000001,36.859814999999998
8636134,2018,2018-06-25,3501,2018-03-15,1502,10916,3501,4,5,4,3501,0,0,0,,0,DAY,"SAN FELIPE RD","GATEWAY DR",187.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,4,A,-,08,22107,,N,A,E,A,A,H,-,A,D,0,,,,,Y,,D,22,1,1,0,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.40167999267578,36.861396789550781
8876726,2019,2019-06-17,3501,2019-03-16,1013,11031,3501,6,5,4,3501,0,0,0,,0,DAY,"LADD LN","TRES PINOS RD",311.00,S,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.39272308349609,36.838504791259766
9431247,2022,2022-04-14,3501,2022-02-28,2132,11126,3501,1,5,4,3501,0,0,0,,0,GRA,"FOURTH ST","WEST ST",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,3,2,A,-,16,23135,,N,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.40560150146484,36.852588653564453
9468842,2023,2023-09-12,3501,2023-06-25,"143 ",11159,3501,7,5,4,3501,0,0,0,,0,GRA,"BUENA VISTA RD","GONZALEZ DR",20.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,1,D,-,00,,,N,H,A,A,A,H,-,C,D,0,,,Y,,Y,Y,-,"- ",1,0,0,0,0,0,0,0,1,"- ","- ",,,"SAN BENITO",HOLLISTER,-121.42216491699219,36.857479095458984
91689604,2022,2022-01-31,9725,2022-01-23,1130,021665,,7,1,4,3501,0,3,5,,2,005,"PANOCHE RD","COTTONWOOD RD",11616.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",36.667839050292969,-121.75747680664062,"SAN BENITO",HOLLISTER,-121.20292663574219,36.675884246826172
