CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6346632,2014,2016-03-14,9330,2014-01-17,1230,20297,,5,1,4,4109,0,1,2,,2,058,"RT 101","UNIVERSITY AV",50.00,N,N,A,-,Y,SM,4,101,-,-,0.951,R,1,S,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,1,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,TO,"- ",,,"SAN MATEO","MENLO PARK",-122.14176289,37.460848230000003
6370161,2014,2015-11-16,4117,2014-01-01,1239,4JL03,21AL,3,5,5,4117,0,0,0,,0,003,"RT 82","HICKEY BL",528.00,S,N,A,-,Y,SM,4,82,-,-,21.810,H,-,N,N,4,0,1,1,A,-,03,22350,,N,H,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,"- ","- ",37.666559999999997,-122.45084,"SAN MATEO","SOUTH SAN FRANCISCO",-122.45007248,37.665315049999997
8030229,2016,2016-04-29,4116,2016-03-26,1351,16850,IJ,6,5,5,4116,0,0,0,,0,003,"WOODSIDE RD","PORTOLA RD",98.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,"- ","- ",,,"SAN MATEO","SAN MATEO",-122.25720441999999,37.407700490000003
8129888,2016,2016-09-23,4113,2016-08-25,1610,416,8,4,5,5,4113,0,0,0,,0,008,"EMERALD HILL RD","RED OAK WY",17.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,C,E,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.45834,-122.25645,"SAN MATEO","REDWOOD CITY",-122.2564718,37.458382729999997
8135304,2016,2016-10-06,4114,2016-09-19,1800,0035,B8,1,5,4,4114,0,0,0,,0,002,"S SAN ANSELMO AV","SANTA LUCIA AV",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",,,"SAN MATEO","SAN BRUNO",-122.40442992,37.615999960000003
8203843,2016,2017-01-09,4111,2016-12-13,1820,P5143,P16,2,5,4,4111,0,0,0,,0,0P3,"TERRA NOVA BL","VICTORIA WY",215.00,S,N,C,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954,A,N,G,B,D,B,H,-,C,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN MATEO",PACIFICA,-122.480593,37.596722149999998
94472197,2024,2024-11-18,9330,2024-10-22,"745 ",023974,,2,1,4,4127,0,1,2,,2,058,"US-101 S/B","UNIVERSITY AVENUE",316.00,S,N,B,-,Y,SM,,101," "," ",0.819,H,,L,N,4,0,1,3,A,-,03,22350,,M,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.459720611572266,-122.13979339599609,"SAN MATEO","EAST PALO ALTO",-122.13981628417969,37.459693908691406
94641585,2025,2025-04-08,9330,2025-03-28,2240,023570,,5,3,9,4100,0,1,3,,1,010,"SR-1 S/B","1ST STREET",1930.00,N,N,A,-,Y,SM,,1," "," ",37.007,H,,L,Y,4,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.551361083984375,-122.51210784912109,"SAN MATEO",UNINCORPORATED,-122.51204681396484,37.551364898681641
94828605,2025,2025-09-03,9330,2025-08-22,1345,024443,,5,1,9,4100,0,3,5,,2,511,"ALPINE ROAD","LA MESA DRIVE",482.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.401500701904297,-122.19268035888672,"SAN MATEO",UNINCORPORATED,-122.19257354736328,37.400169372558594
92362470,2024,2024-04-11,9335,2024-04-03,1111,022703,,3,1,9,4100,0,1,1,,2,038,"I-380 EASTBOUND TO NORTH ACCESS ROAD","NORTH ACCESS ROAD",425.00,W,N,A,-,Y,SM,,380," "," ",6.694,H,,R,N,4,0,1,2,A,-,07,21658,A,N,B,2,A,A,H,-,A,D,0,,,,,Y,,I,09,0,0,1,0,0,0,0,0,0,"- ","- ",37.638538360595703,-122.39904022216797,"SAN MATEO",UNINCORPORATED,-122.39904022216797,37.638553619384766
92377506,2023,2024-04-29,9335,2023-11-19,"126 ",023111,,7,3,5,4117,0,1,2,,2,012,"US-101 N/B","SOUTH AIRPORT BLVD UNDERCROSSING",1120.00,S,N,A,-,Y,SM,,101," "," ",21.464,H,,R,Y,4,0,1,1,A,-,01,23152,A,N,A,I,A,B,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.646659851074219,-122.40599822998047,"SAN MATEO","SOUTH SAN FRANCISCO",-122.40631866455078,37.646644592285156
92388566,2024,2024-05-13,9330,2024-05-01,"814 ",022785,,3,1,4,4109,0,1,2,,2,058,"US-101 NB","WILLOW RD",3168.00,N,N,A,-,Y,SM,,101," "," ",2.494,H,,R,N,3,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.474781036376953,-122.16523742675781,"SAN MATEO","MENLO PARK",-122.16517639160156,37.474845886230469
92395502,2024,2024-05-21,9330,2024-05-18,1945,023011,,6,2,9,4100,0,1,3,,1,021,"SR-84 (LA HONDA ROAD)","HILDEBRAND ROAD",2112.00,E,N,A,-,Y,SM,,84," "," ",9.640,H,,R,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,B,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.329669952392578,-122.26966094970703,"SAN MATEO",UNINCORPORATED,-122.26959228515625,37.329612731933594
94368158,2024,2024-08-23,9335,2024-08-21,"545 ",022703,,3,3,2,4103,0,1,2,,2,012,"US-101 SOUTHBOUND","OYSTER POINT BOULEVARD",4715.00,N,N,A,-,Y,SM,,101," "," ",23.653,H,,L,N,4,0,1,1,A,-,08,22107,,N,B,I,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.674739837646484,-122.38954925537109,"SAN MATEO",BRISBANE,-122.38946533203125,37.674713134765625
