CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8034766,2016,2016-05-16,4403,2016-04-25,2113,390,"4 03",1,5,4,4403,0,0,0,,0,004,"FREEDOM BL","BLANCA LN",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.76908991000001,36.931190059999999
8181028,2016,2017-03-04,4402,2016-11-14,1228,170,4402,1,5,5,4402,0,0,0,,0,000,"RT 1","WESTERN DR",283.00,S,N,B,-,Y,SCR,5,1,-,-,20.040,H,-,S,Y,4,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ","SANTA CRUZ",-122.05576603,36.960835009999997
8482377,2017,2018-07-13,4403,2017-10-06,2108,281,2-23,5,5,4,4403,0,0,0,,0,002,"MAIN ST","GREEN VALLEY RD",80.00,S,N,A,-,Y,SCR,5,152,-,T,1.180,H,-,E,Y,2,0,1,2,A,-,09,21453,B,N,B,C,A,A,H,-,C,A,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.78409155,36.918696689999997
8483355,2017,2017-11-17,4403,2017-10-31,0634,296,2-24,2,5,4,4403,0,0,0,,0,002,"BEACH ST","LEE RD",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21801,B,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.77846987,36.897140030000003
8976712,2019,2020-01-24,4403,2019-11-11,1145,335,5-39,1,5,4,4403,0,0,0,,0,005,"AIRPORT BL","FREEDOM BL",50.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.77785491943359,36.9384765625
9222262,2021,2021-03-24,4403,2021-03-05,1653,358,2-23,5,5,4,4403,0,0,0,,0,002,"MAIN ST",CROSSROADS,50.00,N,N,A,-,Y,SCR,5,152,-,T,1.360,H,-,E,Y,4,0,1,3,C,-,18,,,N,B,C,A,A,H,-,A,A,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CRUZ",WATSONVILLE,-121.78120422363281,36.918197631835938
94684361,2025,2025-05-12,9720,2025-05-02,1610,024376,,5,2,9,4400,0,2,4,,1,016,"GRAHAM HILL RD","ROARING CAMP RD",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",37.047920227050781,-122.06427764892578,"SANTA CRUZ",UNINCORPORATED,-122.06410217285156,37.047634124755859
94760701,2025,2025-07-14,9720,2025-06-30,1900,024053,,1,2,9,4400,0,3,5,,2,100,"EMPIRE GRADE RD","FELTON QUARRY RD",2904.00,N,N,A,-,N,,,,,,,,,,N,3,0,2,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",37.032001495361328,-122.10987091064453,"SANTA CRUZ",UNINCORPORATED,-122.10984802246094,37.031806945800781
94776305,2025,2025-07-25,9720,2025-07-13,1254,024549,,7,1,9,4400,0,1,3,,2,020,"SR-1 N/B","STATE PARK",4488.00,S,N,A,-,Y,SCR,,1," "," ",9.580,H,,R,N,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",36.975200653076172,-121.89401245117188,"SANTA CRUZ",UNINCORPORATED,-121.89401245117188,36.975231170654297
94790397,2025,2025-08-05,9720,2025-06-30,1542,023331,,1,2,9,4400,0,2,4,,1,024,"EAST CLIFF DR","PORTOLA DR",205.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,1,D,-,00,,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,0,1,0,0,0,1,0,0,"- ","- ",36.962188720703125,-121.98848724365234,"SANTA CRUZ",UNINCORPORATED,-121.98838806152344,36.962314605712891
94896864,2025,2025-10-22,9720,2025-10-15,1528,023959,,3,2,9,4400,0,2,4,,1,024,"CAPITOLA RD","HARBORVIEW CT",170.00,W,N,A,-,N,,,,,,,,,,Y,4,0,2,1,A,-,08,22107,,N,E,8,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",36.980400085449219,-121.99565124511719,"SANTA CRUZ",UNINCORPORATED,-121.99557495117188,36.980297088623047
90219344,2016,2016-07-11,9720,2016-06-30,2250,020562,,4,3,9,4400,0,3,5,,2,200,"CUNNISON LN","SOQUEL DR",115.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,21,22106,,N,H,B,D,A,H,-,C,D,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",36.988309999999998,-121.94284,"SANTA CRUZ",UNINCORPORATED,-121.94285144,36.988165590000001
90287380,2016,2016-10-10,9720,2016-09-21,0205,021178,,3,3,9,4400,0,3,5,,2,200,"BRANCIFORTE DR","MYSTERY SPOT RD",600.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107,,N,C,E,A,A,H,-,D,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",37.011200000000002,-122.0012,"SANTA CRUZ",UNINCORPORATED,-122.00157356,37.010663149999999
90292627,2016,2016-10-17,9720,2016-10-06,1304,18239,,4,1,9,4400,0,1,3,,1,010,SR-1,"DIMEO LN.",0.00,,Y,A,-,Y,,,1,,,,,,,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",36.964559999999999,-122.10481,"SANTA CRUZ",UNINCORPORATED,-122.10483041000001,36.96452712
90340788,2016,2016-12-08,9720,2016-11-19,1932,021211,,6,2,9,4400,0,1,3,,1,034,SR-152,"CASSERLY RD",10560.00,E,N,C,-,Y,,,152,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",36.975850000000001,-121.71503,"SANTA CRUZ",UNINCORPORATED,-121.71500996,36.975865650000003
91274452,2020,2020-07-27,9720,2020-07-22,1220,018171,,3,1,9,4400,0,1,3,,1,010,"BONNY DOON RD","SMITH GRADE",2000.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,F,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.032390594482422,-122.1561279296875,"SANTA CRUZ",UNINCORPORATED,-122.15595245361328,37.032524108886719
91373387,2020,2020-12-22,9720,2020-12-12,1019,022542,,6,1,9,4400,0,1,3,,1,015,"LOMPICO RD","CARROL AVE",300.00,S,N,B,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,B,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.103069305419922,-122.05165100097656,"SANTA CRUZ",UNINCORPORATED,-122.0517578125,37.102977752685547
6981299,2015,2015-07-14,9720,2015-06-13,0330,020807,,6,3,9,4400,0,3,5,,2,200,"TREASURE ISLAND DR","WINFIELD WY",170.00,E,N,B,F,N,,,,,,,,,,N,2,0,1,3,A,-,08,22107,,F,G,B,F,A,H,-,C,D,0,Y,,,,Y,,A,07,1,0,0,0,1,0,0,0,0,"- ","- ",36.972290000000001,-121.90481,"SANTA CRUZ",UNINCORPORATED,-121.90374,36.971260000000001
