CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6728172,2014,2015-01-13,9135,2014-11-19,0840,012978,,3,1,9,4500,0,3,5,,2,004,"BALLS FERRY RD","DAVEY WY",40.00,W,N,C,-,N,,,,,,,,,,Y,4,0,2,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,08,0,0,2,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.27435723000001,40.455177419999998
6984242,2015,2017-01-14,9135,2015-07-06,1240,12864,,1,1,9,4500,0,1,1,,2,056,"RT 5","OBRIEN INLET RD",53.00,N,N,A,-,Y,SHA,2,5,-,R,32.090,H,-,S,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,1,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.32245498,40.807880969999999
7150013,2014,2016-01-09,4502,2014-04-17,1500,195,,4,5,5,4502,0,0,0,,0,004,"SOUTH BONNYVIEW RD","EASTSIDE RD",30.00,W,N,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.38044076,40.52991042
8019074,2015,2016-05-03,4502,2015-08-23,1321,186,REDDI,7,5,5,4502,0,0,0,,0,001,"CHURN CREEK RD","PALACIO DR",2112.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,F,I,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.34733919999999,40.600169770000001
8351847,2016,2017-06-27,4502,2016-12-08,1005,141,,4,5,5,4502,0,0,0,,0,005,"RT 273","PLACER ST",0.00,,Y,B,C,Y,SHA,2,273,-,R,16.450,I,5,N,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.38873949000001,40.582663310000001
8467696,2017,2017-10-23,4502,2017-08-09,1445,181,SAME,3,5,5,4502,0,0,0,,0,003,"CYPRESS AV","BECHELLI LN",49.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,F,C,C,A,A,H,-,A,A,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.36291644000001,40.571050810000003
92237879,2023,2023-11-16,9135,2023-11-06,"140 ",017698,,1,3,9,4500,0,1,3,,1,201,SR-299,"OAK RUN ROAD",1800.00,W,N,B,C,Y,SHA,,299," "," ",46.452,H,,R,Y,4,0,1,1,A,-,01,23152,F,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",40.753971099853516,-122.03070831298828,SHASTA,UNINCORPORATED,-122.03079986572266,40.754055023193359
92493207,2024,2024-08-14,9135,2024-07-15,"858 ",018388,,1,1,9,4500,0,1,3,,2,040,SR-44,SILVERBRIDGE,0.00,,Y,A,-,Y,SHA,,44," ",R,8.047,H,,R,Y,4,0,2,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",40.553489685058594,-122.21981048583984,SHASTA,UNINCORPORATED,-122.21981048583984,40.553451538085938
94636425,2025,2025-04-03,9135,2025-03-30,1148,018890,,7,1,9,4500,0,3,5,,2,002,"OLD ALTURAS RD","DESCHUTES RD",898.00,W,N,B,C,N,,,,,,,,,,Y,4,0,1,2,A,-,05,21460,A,N,A,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",40.636638641357422,-122.24373626708984,SHASTA,UNINCORPORATED,-122.24365997314453,40.636714935302734
94718016,2025,2025-06-09,9135,2025-06-02,"330 ",024410,,1,3,9,4500,0,3,5,,2,003,"SADDLE TRAIL ROAD","BLUE HORSE ROAD",190.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,N,E,8,A,A,H,-,D,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",40.463901519775391,-122.43560028076172,SHASTA,UNINCORPORATED,-122.43551635742188,40.464012145996094
94828313,2025,2025-09-03,9135,2025-08-28,1540,020363,,4,2,9,4500,0,3,5,,2,003,"WEST ANDERSON DR.","DAVIDSON LN.",4224.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",40.423618316650391,-122.33213043212891,SHASTA,UNINCORPORATED,-122.33293914794922,40.423183441162109
94909656,2025,2025-10-31,9135,2025-10-19,"15  ",021571,,7,3,9,4500,0,1,3,,2,651,SR-299,"MUCK VALLEY RD",15.00,E,N,A,-,Y,LAS,,299," "," ",8.792,H,,R,Y,2,0,1,1,A,-,08,22107,,N,E,8,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.063468933105469,-121.20861053466797,SHASTA,UNINCORPORATED,-121.20868682861328,41.063507080078125
84772169,2024,2025-07-22,4502,2024-11-03,1325,537,,7,5,5,4502,0,0,0,,0,R05,"PLACER ST.","WEST ST.",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21802,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.39633178710938,40.580818176269531
84790706,2025,2025-08-05,4502,2025-05-03,"345 ",181,,6,5,5,4502,0,0,0,,0,R05,"PINE STREET","SHASTA STREET",0.00,,Y,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,A,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.39044189453125,40.586677551269531
84878101,2025,2025-10-08,4502,2025-09-17,1644,541,,3,5,5,4502,0,0,0,,0,,"CHURN CREEK RD","LOMA VISTA DR",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,G,G,A,A,H,-,A,A,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",,,SHASTA,REDDING,-122.35289764404297,40.549240112304688
90006393,2015,2015-10-19,9135,2015-07-27,1710,016087,,1,2,9,4500,0,3,5,,2,004,"MAIN ST.","TREFOIL LN.",9.00,S,N,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,2,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.28075045999999,40.396395290000001
91441808,2021,2021-04-02,9135,2021-04-01,1707,018829,,4,2,5,4502,0,1,3,,2,040,"SR-44 E/B",I-5,1637.00,W,N,A,-,Y,,,44,,,,,,E,Y,3,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",40.585750579833984,-122.36678314208984,SHASTA,REDDING,-122.36678314208984,40.585739135742188
91606442,2021,2021-10-26,9135,2021-10-23,1430,018829,,6,2,9,4500,0,1,1,,2,056,"I-5 N/B","STATTON RD UNDERCROSSING",250.00,S,N,B,C,Y,,,5,,,,,,N,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",40.849868774414062,-122.34152984619141,SHASTA,UNINCORPORATED,-122.34146118164062,40.849918365478516
9520341,2022,2023-02-10,4502,2022-07-20,0147,151,,3,5,5,4502,0,0,0,,0,002,"HARTNELL AV","SHOTWICK TRL",21.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,B,N,F,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.36758422851562,40.564449310302734
9786222,2024,2025-05-03,4502,2024-08-27,1554,110,,2,5,5,4502,0,0,0,,0,R02,"CHURN CREEK RD","MARAGLIA ST",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,03,22350,,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,1,0,"- ","- ",,,SHASTA,REDDING,-122.35308837890625,40.567428588867188
84761146,2024,2025-07-14,4502,2024-02-17,1944,123,,6,5,5,4502,0,0,0,,0,R07,"TWIN VIEW BOULEVARD","CROOKED OAK LANE",0.00,,Y,B,C,N,,,,,,,,,,Y,3,0,3,2,C,-,18,,,N,D,C,A,B,H,-,D,D,0,,,,,Y,,-,"- ",0,1,2,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.35881805419922,40.650775909423828
84767965,2024,2025-07-18,4502,2024-07-03,"844 ",537,,3,5,5,4502,0,0,0,,0,R05,"COURT ST.","S. CURB PROLONGATION LINE OF TERRACE ST.",169.00,S,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,,
84768724,2024,2025-07-18,4502,2024-08-30,"941 ",507,,5,5,5,4502,0,0,0,,0,R04,"FREEBRIDGE STREET","PARKVIEW AVENUE",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,07,0,0,1,0,1,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.37785339355469,40.570732116699219
84768769,2024,2025-07-18,4502,2024-09-21,1610,537,,6,5,5,4502,0,0,0,,0,R05,"PLACER ST.","WILLIS ST.",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21802,A,N,D,C,A,A,D,-,A,A,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.39894104003906,40.580173492431641
91211169,2020,2020-03-18,9135,2020-03-18,1025,016480,,3,1,5,4502,0,1,1,,2,055,"I-5 N/B","OASIS RD.",1584.00,S,N,B,C,Y,,,5,,,,,,N,Y,3,0,3,4,A,-,03,22350,,N,C,C,A,B,H,-,A,D,0,,,,Y,Y,,D,22,0,1,2,0,0,0,0,0,0,"- ","- ",40.637401580810547,-122.36630249023438,SHASTA,REDDING,-122.36637878417969,40.637428283691406
91245654,2020,2020-06-01,9135,2020-05-27,1240,016087,,3,1,9,4500,0,3,5,,2,003,"HAWTHORNE AVE","HAPPY VALLEY RD.",4224.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",40.477909088134766,-122.40814208984375,SHASTA,UNINCORPORATED,-122.41256713867188,40.477954864501953
91305197,2020,2020-09-15,9135,2020-09-06,1420,017698,,7,2,9,4500,0,3,5,,2,003,"HAPPY VALLEY ROAD","SHAWN DRIVE",110.00,N,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,Y,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.40258026123047,40.450283050537109
9079548,2019,2020-05-13,4502,2019-11-09,1222,537,R03,6,5,5,4502,0,0,0,,0,003,"CHURN CREEK RD","LOMA VISTA ST",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.35289764404297,40.549240112304688
9232522,2020,2021-03-17,4502,2020-05-07,0849,R526,R02,4,5,5,4502,0,0,0,,0,002,"VICTOR AV","RT 44",0.00,,Y,A,-,Y,SHA,2,44,-,R,1.117,R,4,E,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,1,0,0,0,1,0,0,0,0,"- ",EF,40.578350067138672,-122.33866882324219,SHASTA,REDDING,-122.338684,40.578687000000002
9273223,2020,2021-06-18,4502,2020-11-16,1525,537,R07,1,5,5,4502,0,0,0,,0,007,"OLD OREGON TRL","BEAR MOUNTAIN RD",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21800,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",40.672740936279297,-122.32228851318359,SHASTA,REDDING,-122.32229614257812,40.672740936279297
8717090,2018,2018-10-12,4502,2018-07-05,1655,538,,4,5,5,4502,0,0,0,,0,004,"GIRVAN RD","PIT RD",354.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.37665557861328,40.513221740722656
90129311,2016,2016-03-04,9135,2016-02-25,1737,016790,,4,2,5,4502,0,3,5,,2,002,"DRY CREEK RD S/B","SAGEBRUSH TRAIL",1305.00,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,07,2,0,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.2425119,40.67922883
90185233,2016,2016-05-23,9135,2016-05-21,2255,018133,,6,3,9,4500,0,3,5,,2,003,"RHONDA RD","RATCHETT LN",45.00,W,N,B,-,N,,,,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,C,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.28417157,40.397713150000001
90378517,2017,2017-01-26,9135,2017-01-20,2314,018133,,5,3,9,4500,0,1,1,,2,054,"I-5 N/B","SMITH RD.",450.00,N,N,B,-,Y,,,5,,,,,,N,Y,4,0,1,2,A,-,08,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",40.52158,-122.34569,SHASTA,UNINCORPORATED,-122.34555191,40.521623980000001
90622769,2017,2017-12-21,9135,2017-12-18,1045,016339,,1,1,9,4500,0,3,5,,2,002,"DESCHUTES RD","OLD DESCHUTES RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",40.59281,-122.23827,SHASTA,UNINCORPORATED,-122.23835996,40.592809969999998
90819703,2018,2018-09-24,9135,2018-09-05,1650,015627,,3,2,9,4500,0,1,3,,2,601,SR-299,"WEBSTER WAY",350.00,W,N,A,-,Y,,,299,,,,,,,Y,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",40.852920532226562,-121.90415954589844,SHASTA,UNINCORPORATED,-121.90422821044922,40.852931976318359
6412673,2014,2014-06-26,9135,2014-03-20,0804,015133,,4,1,9,4500,0,3,5,,2,004,"PENROD WY","CHRISTOPHER LN",363.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,F,24,0,0,1,0,0,0,0,0,0,"- ","- ",40.547400000000003,-122.31189999999999,SHASTA,UNINCORPORATED,-122.31094569,40.547409479999999
6731964,2014,2016-06-16,9135,2014-11-29,1245,015667,,6,1,5,4502,0,1,1,,2,054,"RT 5","RT 44",575.00,N,N,B,C,Y,SHA,2,5,-,R,15.660,H,-,S,Y,3,0,2,1,C,-,18,,,N,E,I,A,B,H,-,A,D,1,,,,,Y,,-,"- ",0,2,0,0,0,0,0,0,0,"- ",FR,,,SHASTA,REDDING,-122.36076903999999,40.588449689999997
6799964,2015,2016-09-02,9135,2015-01-24,2107,016191,,6,2,9,4500,0,1,1,,2,056,"RT 5","TURNTABLE BAY RD",528.00,S,N,A,-,Y,SHA,2,5,-,R,29.190,H,-,S,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,1,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,UNINCORPORATED,-122.31334157000001,40.771251380000002
7153856,2014,2016-02-20,4502,2014-01-24,2006,127,,5,5,5,4502,0,0,0,,0,005,"SHASTA ST","PINE ST",0.00,,Y,A,-,Y,SHA,2,44,-,L,0.169,I,5,W,N,4,0,2,2,A,-,12,21453,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.39042435,40.5866927
8006446,2015,2016-04-05,4502,2015-02-26,1227,105,,4,5,5,4502,0,0,0,,0,001,"CHURN CREEK RD","DANA DR",375.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,0,1,"- ","- ",,,SHASTA,REDDING,-122.35078973,40.587006700000003
8006470,2015,2016-04-05,4502,2015-03-04,2019,180,,3,5,5,4502,0,0,0,,0,005,"COURT ST","SONOMA ST",261.00,S,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,01,23152,,N,A,C,A,A,H,-,D,A,0,,,,,Y,Y,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",,,SHASTA,REDDING,-122.39254320000001,40.574937980000001
