CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6672325,2014,2016-06-13,9145,2014-10-10,0822,18485,,5,1,2,4709,0,1,3,,1,061,"RT 96","ASH CREEK RD",5280.00,W,N,A,-,Y,SIS,2,96,-,-,100.560,H,-,E,Y,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,,Y,Y,,G,25,1,0,0,0,0,0,0,0,0,"- ","- ",,,SISKIYOU,YREKA,-122.63605192999999,41.835332260000001
9128501,2019,2020-07-21,4709,2019-04-30,2126,S-3,,2,5,2,4709,0,0,0,,0,,"GREENHORN RD","GREENHORN RD 400 BLK",0.00,,N,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,0,Y,,Y,,Y,Y,N,60,0,3,0,0,1,0,0,0,2,"- ","- ",,,SISKIYOU,YREKA,,
90045531,2015,2015-11-05,9145,2015-10-24,2205,019030,,6,3,9,4700,0,1,3,,1,021,"SR-3 N/B","HOLZHAUSER RD",7392.00,S,N,A,-,Y,,,,,,,,,,N,3,0,1,1,A,-,01,23152,A,M,F,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,SISKIYOU,UNINCORPORATED,-122.89985856,41.47361051
90225552,2016,2016-07-19,9146,2016-07-13,1605,013820,,3,2,2,4708,0,1,1,,2,010,"I-5 N/B","VISTA DRIVE",326.00,S,N,A,-,Y,,,5,,,,,,N,Y,2,0,1,1,C,-,18,,,N,E,J,A,A,D,-,A,D,0,,,,,Y,,-,"- ",1,0,0,0,0,0,0,0,0,"- ","- ",41.396039999999999,-122.37916,SISKIYOU,WEED,-122.37919103,41.395995710000001
90587216,2017,2017-11-06,9145,2017-11-03,1115,017540,,5,1,2,4709,0,1,1,,2,071,"I-5 N/B TO STATE ROUTE 3","RT 3",1056.00,S,N,C,-,Y,,,5,,,,R,,N,N,3,0,1,1,C,-,18,,,N,E,I,A,B,H,-,A,A,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",41.739490000000004,-122.62663000000001,SISKIYOU,YREKA,-122.62663000000001,41.739490000000004
91299389,2020,2020-09-04,9145,2020-09-02,1015,016580,,3,1,2,4709,0,3,5,,2,003,"EDGEWOOD RD","OLD HIGHWAY 99",2375.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,1,B,-,22,,,N,F,A,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",41.436988830566406,-122.42990112304688,SISKIYOU,YREKA,,
91514820,2021,2021-07-07,9145,2021-06-24,0357,021333,,4,3,9,4700,0,3,5,,2,005,"AGER ROAD","SHELLEY RD",15.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.771560668945312,-122.52462768554688,SISKIYOU,UNINCORPORATED,-122.52478790283203,41.771450042724609
91700485,2022,2022-02-14,9145,2022-02-04,0705,017793,,5,1,9,4700,0,3,5,,2,005,"KUCK RD","BETTY WAY",1584.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",41.777599334716797,-122.50543212890625,SISKIYOU,UNINCORPORATED,-122.50498199462891,41.778221130371094
92205788,2023,2023-10-23,9146,2023-10-13,1045,018398,,5,1,9,4700,0,3,5,,2,001,"W A BARR ROAD","REAM AVENUE",0.00,,Y,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",41.297981262207031,-122.32289886474609,SISKIYOU,UNINCORPORATED,-122.3228759765625,41.297977447509766
92401267,2024,2024-05-29,9145,2024-05-24,1630,019863,,5,2,9,4700,0,1,3,,1,021,"MCADAMS CREEK RD",SR-3,5.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,D,C,A,A,H,-,A,A,0,,Y,,,Y,,M,91,0,0,1,0,0,0,1,0,0,"- ","- ",41.624168395996094,-122.82733154296875,SISKIYOU,UNINCORPORATED,-122.82706451416016,41.624298095703125
94705554,2025,2025-05-29,9145,2025-05-21,"0   ",019614,,3,3,9,4700,0,3,5,,2,001,"ELK CREEK ROAD","CURLY JACK ROAD",50.00,E,N,A,-,N,,,,,,,,,,Y,2,0,2,2,A,-,05,21460,,N,A,C,A,A,H,-,D,D,0,,,,,Y,,A,01,2,0,0,0,0,0,0,0,0,"- ","- ",41.786861419677734,-123.38363647460938,SISKIYOU,UNINCORPORATED,-123.38356018066406,41.786907196044922
8998957,2018,2019-12-16,4709,2018-04-13,1250,157,,5,5,2,4709,0,0,0,,0,,"LANE ST","LANE ST 800",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350,,N,C,E,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,SISKIYOU,YREKA,-122.64667511,41.731725879999999
90173931,2016,2016-05-05,9145,2016-05-05,0715,017540,,4,1,9,4700,0,1,3,,1,060,"RT 263","HUDSON RD",528.00,S,N,A,-,Y,,,263,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",41.819139999999997,-122.59152,SISKIYOU,UNINCORPORATED,-122.59146813,41.819199300000001
90448207,2017,2017-05-03,9145,2017-05-02,0835,014553,,2,1,9,4700,0,2,4,,1,031,"OLD HIGHWAY 99","COUNTY ROAD A-12",5280.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",41.651789999999998,-122.55625999999999,SISKIYOU,UNINCORPORATED,-122.55625999999999,41.651789999999998
90590784,2017,2017-11-08,9145,2017-11-07,0815,016340,,2,1,2,4709,0,1,1,,2,071,"INTERSTATE 5 N/B","FOOTHILL DRIVE",2112.00,S,N,B,-,Y,,,5,,,,,,N,Y,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",41.725299999999997,-122.6354,SISKIYOU,YREKA,-122.63537281000001,41.725287899999998
91220917,2020,2020-04-06,9146,2020-04-05,0822,015592,,7,1,9,4700,0,1,3,,1,021,"STATE ROUTE 89","W. COLOMBERO DRIVE",2640.00,N,N,C,D,Y,,,89,,,,,,,Y,4,0,1,1,A,-,03,22350,,N,F,A,A,C,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",41.262901306152344,-122.16159820556641,SISKIYOU,UNINCORPORATED,-122.16158294677734,41.263004302978516
91829437,2022,2022-08-01,9145,2022-07-14,2230,021333,,4,3,9,4700,0,1,3,,1,060,"STATE ROUTE 263","OLD SHASTA RIVER ROAD",1519.00,N,N,A,-,Y,SIS,,263,,,52.437,H,,R,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",41.777481079101562,-122.59705352783203,SISKIYOU,UNINCORPORATED,-122.59712219238281,41.777538299560547
91938192,2022,2022-12-09,9146,2022-12-02,1233,016580,,5,1,9,4700,0,1,3,,1,021,"N/B SR-89","HAUL RD.",3538.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,N,F,A,A,C,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",41.252079010009766,-122.10980224609375,SISKIYOU,UNINCORPORATED,-122.10980224609375,41.252159118652344
