CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6471558,2014,2016-05-09,5102,2014-04-20,1006,4034,5102,7,5,4,5102,0,0,0,,0,004,"PLUMAS ST","RT 20",18.00,S,N,A,-,Y,SUT,3,20,-,-,16.520,I,6,E,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,A,0,,,,,Y,Y,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.61743805,39.140715550000003
6711543,2014,2016-06-21,5102,2014-11-12,0837,4083,,3,5,4,5102,0,0,0,,0,,"RT 20","THARP RD",65.00,W,N,A,-,Y,SUT,3,20,-,R,14.840,H,-,E,N,4,0,1,2,A,-,21,22106,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.6487065,39.141519019999997
6777798,2014,2015-02-12,9285,2014-12-04,1200,15855,,4,1,9,5100,0,2,4,,1,073,"FRANKLIN RD","TOWNSHIP RD",7920.00,W,N,B,-,N,,,,,,,,,,Y,3,0,1,2,A,-,06,21750,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",39.127279999999999,-121.70828,SUTTER,UNINCORPORATED,-121.7169815,39.12729891
6835046,2015,2016-09-22,5102,2015-02-17,1833,4091,5102,2,5,4,5102,0,0,0,,0,002,"RT 99","BRIDGE ST",30.00,N,N,A,-,Y,SUT,3,99,-,-,30.040,H,-,S,N,4,0,1,3,A,-,03,22350,,F,C,C,A,A,H,-,B,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.63457922000001,39.132556960000002
7018609,2015,2017-01-13,5102,2015-08-09,1608,4046,5102,7,5,4,5102,0,0,0,,0,002,"RT 99","BRIDGE ST",150.00,N,N,A,-,Y,SUT,3,99,-,-,30.060,H,-,S,Y,4,0,3,5,A,-,07,21658,A,N,B,C,A,A,H,-,A,A,0,,,,Y,Y,,D,22,0,0,3,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.63458885999999,39.132856050000001
7174608,2016,2016-02-05,5102,2016-01-23,1240,4094,5102,6,5,4,5102,0,0,0,,0,001,"BUTTE HOUSE RD","N TOWNSHIP RD",1650.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,2,C,-,18,,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.68318063,39.158944300000002
9627553,2023,2023-10-06,5102,2023-08-23,2317,4138,3,3,5,4,5102,0,0,0,,0,003,"QUEENS AV","CLARK AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,F,D,G,A,A,H,-,C,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.62602996826172,39.151798248291016
9812711,2025,2025-11-14,5102,2025-10-10,1037,4129,3,5,5,4,5102,0,0,0,,0,003,"RT 20","STAFFORD WY",0.00,,Y,A,-,Y,SUT,3,20,-,-,15.950,H,-,W,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.627685546875,39.141754150390625
9829850,2025,2025-07-09,5102,2025-05-16,2249,4154,2,5,5,4,5102,0,0,0,,0,002,"RT 99","BRIDGE ST",0.00,,Y,A,-,Y,SUT,3,99,-,-,29.920,H,-,S,N,4,0,1,2,A,-,11,21954,A,N,E,J,E,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,SUTTER,"YUBA CITY",-121.63459014892578,39.130836486816406
90398812,2017,2017-02-23,9285,2017-02-20,1425,017163,,1,2,9,5100,0,3,5,,1,001,"RIEGO RD","NATOMAS RD",2640.00,W,N,B,C,N,,,,,,,,,,Y,4,0,3,2,A,-,08,22107,,N,D,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",38.751109999999997,-121.50448,SUTTER,UNINCORPORATED,-121.50356555,38.751067390000003
