CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6697006,2014,2014-12-31,9130,2014-10-27,1520,15400,,1,2,9,5200,0,3,5,,2,010,"BAKER RD","PARK AV",528.00,S,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,06,21750,,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",40.177700000000002,-122.2608,TEHAMA,UNINCORPORATED,-122.26091623000001,40.177860199999998
91830382,2022,2022-08-01,9130,2022-07-24,1250,019792,,7,1,9,5200,0,2,4,,2,043,"HWY 99W","GERBER RD",75.00,N,N,A,-,N,,,,,,,,,,Y,4,0,3,2,A,-,05,21460,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",40.047660827636719,-122.17044830322266,TEHAMA,UNINCORPORATED,-122.17042541503906,40.047580718994141
94381065,2024,2024-09-04,9130,2024-09-01,"820 ",020212,,7,1,9,5200,0,3,5,,2,020,"CAPAY ROAD","BEAUCHAMP RD",1225.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,05,21650,,N,B,2,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.840351104736328,-122.14642333984375,TEHAMA,UNINCORPORATED,-122.14645385742188,39.84039306640625
94406487,2024,2024-09-24,9130,2024-09-23,"730 ",020158,,1,1,9,5200,0,1,3,,1,041,"STATE HIGHWAY 99E","TEHAMA AND VINA RD",100.00,S,N,A,-,Y,TEH,,99," "," ",6.899,H,,R,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.958499908447266,-122.06073760986328,TEHAMA,UNINCORPORATED,-122.06067657470703,39.958534240722656
94538140,2025,2025-01-15,9130,2025-01-08,2218,020848,,3,3,9,5200,0,2,4,,2,042,"SOUTH AVENUE","WOODSON AVENUE",439.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21956,A,N,G,B,E,A,H,-,D,D,0,Y,,,,Y,Y,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",39.90631103515625,-122.18184661865234,TEHAMA,UNINCORPORATED,-122.18189239501953,39.906333923339844
9215500,2021,2021-03-11,5202,2021-01-11,1601,1380,RBPD,1,5,3,5202,0,0,0,,0,,"ALOHA ST","ALOHA CT",43.00,E,N,B,-,N,,,,,,,,,,N,3,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",40.167350769042969,-122.24257659912109,TEHAMA,"RED BLUFF",-122.24249267578125,40.167381286621094
90075994,2015,2016-01-05,9130,2015-11-23,2032,014975,,1,2,9,5200,0,2,4,,2,034,"HIGHWAY 99W","OLIVEWOOD AVENUE",440.00,N,N,A,-,N,,,,,,,,,,Y,1,1,1,2,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",39.8795,-122.1974,TEHAMA,UNINCORPORATED,-122.19742863,39.879008259999999
90469095,2017,2017-06-01,9130,2017-05-23,1845,018812,,2,2,9,5200,0,2,4,,2,043,"ROAD 99W","SONOMA AVE",1320.00,N,N,A,-,Y,,,,,,,,,,Y,3,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",39.980289999999997,-122.17659999999999,TEHAMA,UNINCORPORATED,-122.17681785000001,39.978602029999998
90598396,2017,2017-11-20,9130,2017-11-12,1440,013996,,7,2,9,5200,0,1,1,,2,051,"I-5 S/B OFF-RAMP","BOWMAN ROAD",528.00,N,N,B,-,Y,,,5,,,,,,S,Y,4,0,1,1,A,-,01,23152,A,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",40.368679999999998,-122.28501,TEHAMA,UNINCORPORATED,-122.28441263000001,40.368718819999998
91274638,2020,2020-07-27,9130,2020-06-24,0100,020580,,3,3,9,5200,0,3,5,,2,020,"GYLE RD.","PASKENTA RD",1584.00,E,N,A,-,N,,,,,,,,,,Y,1,1,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,0,0,0,0,0,0,0,"- ","- ",40.001129150390625,-122.29415130615234,TEHAMA,UNINCORPORATED,-122.29322814941406,40.001483917236328
91299816,2020,2020-09-07,9130,2020-08-28,1718,019110,,5,2,9,5200,0,3,5,,2,040,"CAPAY RD","HALL RD",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",39.854881286621094,-122.15463256835938,TEHAMA,UNINCORPORATED,-122.15469360351562,39.854900360107422
91331497,2020,2020-10-26,9130,2020-10-15,0515,018812,,4,3,9,5200,0,3,5,,2,040,"HALL ROAD","ORANGEWOOD RD",650.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,D,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",39.961589813232422,-122.12245941162109,TEHAMA,UNINCORPORATED,-122.12237548828125,39.962345123291016
6824399,2015,2015-03-23,9130,2015-02-15,0610,15565,,7,1,9,5200,0,2,4,,2,042,"SOUTH AV","HOUGHTON AV",91.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",39.906329999999997,-122.18695,TEHAMA,UNINCORPORATED,-122.18792564,39.906403169999997
92206050,2023,2023-10-23,9130,2023-10-09,1322,015824,,1,1,3,5202,0,1,1,,2,051,"INTERSTATE 5 NORTHBOUND","HOOKER CREEK RD",6864.00,N,N,A,-,Y,TEH,,5," "," ",37.703,H,,R,Y,2,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,1,2,0,0,0,0,0,0,0,"- ","- ",40.312328338623047,-122.28009033203125,TEHAMA,"RED BLUFF",-122.28005218505859,40.312332153320312
