CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6291849,2014,2015-01-14,5600,2014-10-31,0231,4045,9008,5,5,6,5607,0,0,0,,0,9A01,"SUNSET HILLS DR","AVENIDA VERANO",320.00,E,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.85388811,34.231200000000001
6359031,2014,2014-06-03,9770,2014-01-31,1730,018942,,5,2,9,5600,0,3,5,,2,003,"READ RD","MOORPARK RD",1056.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",34.249899999999997,-118.86228,VENTURA,UNINCORPORATED,-118.86657,34.249470000000002
6513141,2014,2016-04-19,9770,2014-05-29,1630,017638,,4,2,6,5607,0,1,2,,2,074,"RT 101","RANCHO RD",500.00,S,N,A,-,Y,VEN,7,101,-,-,2.940,H,-,N,Y,4,0,6,5,A,-,03,22350,,N,C,C,A,A,D,-,A,D,1,,,,,Y,,A,01,0,0,6,0,0,0,0,0,0,"- ","- ",34.17624,-118.85875,VENTURA,"THOUSAND OAKS",-118.85681434,34.176014070000001
6567687,2014,2014-09-12,5608,2014-07-16,1212,430,,3,5,6,5608,0,0,0,,0,,"THOMPSON BL","BORCHARD DR",0.00,,Y,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,,0,0,1,0,1,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.26030986000001,34.272370039999998
6609311,2014,2016-05-17,9770,2014-08-23,1740,020238,,6,2,6,5607,0,1,2,,2,071,"RT 101","WENDY DR",2640.00,N,N,A,-,Y,VEN,7,101,-,-,8.390,H,-,S,N,4,0,1,2,A,-,07,21658,A,F,B,C,A,A,H,-,A,D,1,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",34.19567,-118.95081,VENTURA,"THOUSAND OAKS",-118.94721591,34.193257580000001
7093361,2015,2015-11-03,5609,2015-10-06,2131,389,,2,5,6,5609,0,0,0,,0,001,"SIMI TOWN CENTER WY","JEFFERSON WY",10.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,22450,A,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"SIMI VALLEY",-118.77471299,34.283188289999998
94930776,2025,2025-11-14,9765,2025-11-07,1445,020345,,5,2,9,5600,0,3,5,,2,006,"SR-1 (PACIFIC CPAST HIGHWAY)","SAYCAMORE CANYON ROAD",500.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.083820343017578,-119.03639984130859,VENTURA,UNINCORPORATED,,
91847412,2022,2022-08-24,9770,2022-08-15,1625,019057,,1,2,9,5600,0,1,3,,1,045,"SR-126 E/B (EAST TELEGRAPH ROAD)","TORREY RD",0.00,,Y,A,-,Y,VEN,,126,,R,28.334,H,,R,Y,3,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,,G,25,0,1,0,0,0,0,0,0,0,"- ","- ",34.405029296875,-118.79464721679688,VENTURA,UNINCORPORATED,-118.79465484619141,34.405036926269531
91917236,2022,2022-11-14,9765,2022-08-16,1435,016549,,2,2,9,5600,0,1,3,,1,022,"SR-150 (CASITAS VISTA ROAD)","RAMELI RANCH RD",600.00,W,N,A,-,Y,VEN,,150,,,3.092,H,,R,Y,1,1,0,2,A,-,01,23152,F,N,A,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,0,0,0,0,0,0,1,0,"- ","- ",34.385089874267578,-119.41085815429688,VENTURA,UNINCORPORATED,-119.41088104248047,34.38507080078125
91969412,2023,2023-01-17,9765,2023-01-09,1125,016549,,1,1,6,5604,0,1,2,,2,302,"US-101 N/B (VENTURA FWY)","OXNARD BLVD.",1056.00,S,N,B,C,Y,VEN,,101," "," ",22.461,H,,R,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.237190246582031,-119.1776123046875,VENTURA,OXNARD,-119.17748260498047,34.237285614013672
