CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6475808,2014,2014-07-21,9285,2014-04-19,0317,19168,,6,3,9,5800,0,3,5,,1,002,"LINDHURST AV","OLIVEHURST AV",116.00,S,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",39.103279999999998,-121.54958000000001,YUBA,UNINCORPORATED,-121.54974893000001,39.10338204
91219289,2020,2020-04-01,9285,2020-03-22,2143,018632,,7,2,9,5800,0,1,3,,1,020,SR-70,"1ST STREET UNDERCROSSING",1080.00,S,N,A,-,Y,,,70,,,,,,,Y,2,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,2,0,0,0,0,0,0,"- ","- ",39.132640838623047,-121.58859252929688,YUBA,UNINCORPORATED,-121.58860778808594,39.13262939453125
91242107,2020,2020-05-26,9285,2020-05-16,1640,020106,,6,2,9,5800,0,1,3,,1,062,SR-20,"HALLWOOD BLVD",0.00,,Y,A,-,Y,,,20,,,,,,,Y,2,0,3,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,Y,D,22,1,0,2,0,0,0,0,0,0,"- ","- ",39.203060150146484,-121.5166015625,YUBA,UNINCORPORATED,-121.51669311523438,39.203083038330078
92036650,2023,2023-04-04,9285,2023-03-27,1720,020507,,1,2,9,5800,0,2,4,,1,022,"LINDHURST AVENUE","NORTH BEALE ROAD",340.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,09,21804,A,F,D,G,A,A,H,-,A,D,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",39.123878479003906,-121.56945037841797,YUBA,UNINCORPORATED,-121.57005310058594,39.124240875244141
94547359,2025,2025-01-23,9285,2025-01-10,1755,021599,,5,2,9,5800,0,1,3,,1,010,"SR-70 N/B","FEATHER RIVER BLVD",2376.00,N,N,A,-,Y,YUB,,70," "," ",13.463,H,,R,N,4,0,1,2,A,-,03,22350,,N,B,C,A,A,H,-,C,D,0,,,Y,,Y,,C,02,0,0,1,0,0,0,0,0,1,"- ","- ",39.128501892089844,-121.58364868164062,YUBA,UNINCORPORATED,-121.58362579345703,39.128520965576172
94600828,2025,2025-03-18,9285,2025-02-28,2030,024019,,5,2,9,5800,0,2,4,,1,022,"ARBOGA RD","7TH AVE",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,01,23152,A,N,D,C,A,A,H,-,C,D,0,,,Y,,Y,Y,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.095470428466797,-121.56076049804688,YUBA,UNINCORPORATED,-121.56078338623047,39.095485687255859
94825153,2025,2025-09-01,9285,2025-08-20,"251 ",024541,,3,3,9,5800,0,3,5,,1,002,"FORTY MILE ROAD","STATE ROUTE 65",4580.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,01,23152,F,N,D,C,A,A,H,-,C,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",39.052150726318359,-121.51500701904297,YUBA,UNINCORPORATED,-121.51423645019531,39.064620971679688
94987672,2025,2025-12-26,9285,2025-12-22,1030,019085,,1,1,9,5800,0,2,4,,1,041,"NORTH BEALE RD","WIGET AVE",90.00,E,N,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21804,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",39.127788543701172,-121.55068969726562,YUBA,UNINCORPORATED,-121.55072021484375,39.127742767333984
90331152,2016,2016-12-27,9285,2016-11-15,2253,018636,,2,3,9,5800,0,2,4,,2,081,"MARYSVILLE ROAD","CO ROAD 270",1742.00,W,N,A,-,N,,,,,,,,,,Y,1,1,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,D,22,1,0,1,0,0,0,0,0,0,"- ","- ",39.361629999999998,-121.30838,YUBA,UNINCORPORATED,-121.30852342999999,39.361618900000003
90843090,2018,2018-10-24,9285,2018-10-12,0750,017900,,5,1,9,5800,0,3,5,,1,002,"MCGOWAN PARKWAY","OLIVE AVENUE",100.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22103,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",39.077468872070312,-121.53061676025391,YUBA,UNINCORPORATED,-121.53091430664062,39.077468872070312
