"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-01",,,,,,"49","59","44",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-02",,,,,,"52","66","44",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-03",,,,,,"52","61","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-04",,,,,,"52","62","41",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-05",,,,,,"60","71","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-06",,,,,,"64","73","57",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-07",,,,,,"55","62","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-08",,,,,,"51","59","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-09",,,,,,"60","70","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-10",,,,,,"62","69","58",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-11",,,,,,"65","73","60",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-12",,,,,,"67","78","61",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-13",,,,,,"64","69","60",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-14",,,,,,"65","75","59",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-15",,,,,,"63","65","58",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-16",,,,,,"62","70","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-17",,,,,,"56","63","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-18",,,,,,"53","61","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-19",,,,,,"54","63","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-20",,,,,,"61","72","54",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-21",,,,,,"58","66","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-22",,,,,,"58","66","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-23",,,,,,"59","69","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-24",,,,,,"58","69","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-25",,,,,,"56","65","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-26",,,,,,"58","70","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-27",,,,,,"59","69","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-28",,,,,,"59","65","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-29",,,,,,"58","68","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-30",,,,,,"56","70","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-01-31",,,,,,"54","66","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-02-01",,,,,,"50","58","44",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-02-02",,,,,,"51","63","41",,,,,,,,,,,
